exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,5.0,3.0,1.0,2.0,6.0,3.0,2.0,3.0,2.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,4.0,7.0,14.0,12.0,11.0,6.0,16.0,5.0,7.0,2.0,2.0,2.0,2.0
apricot,5.0,20.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,9.0,4.0,7.0,9.0,14.0,2.0,16.0,6.0,8.0,8.0,17.0,3.0,1.0,15.0,2.0,2.0,3.0,3.0
banana,3.0,4.0,20.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,15.0,15.0,1.0,4.0,4.0,4.0,15.0,2.0,2.0,2.0,2.0,1.0
blackberry,1.0,3.0,2.0,20.0,16.0,16.0,2.0,6.0,2.0,16.0,2.0,4.0,3.0,1.0,8.0,2.0,2.0,2.0,6.0,3.0,,3.0,3.0,2.0,2.0,4.0,2.0,16.0,17.0,7.0
blueberry,2.0,4.0,2.0,16.0,20.0,15.0,1.0,5.0,2.0,18.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,7.0,2.0,3.0,3.0,2.0,2.0,15.0,2.0,17.0,16.0,6.0
cherry,6.0,3.0,2.0,16.0,15.0,20.0,2.0,6.0,5.0,15.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,10.0,2.0,2.0,12.0,2.0,2.0,5.0,2.0,7.0,16.0,16.0
coconut,3.0,3.0,1.0,2.0,1.0,2.0,20.0,2.0,5.0,1.0,6.0,13.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,6.0,1.0,1.0,9.0,2.0,1.0,1.0,16.0,7.0
dates,2.0,3.0,1.0,6.0,5.0,6.0,2.0,20.0,16.0,14.0,1.0,5.0,2.0,2.0,16.0,5.0,2.0,5.0,10.0,3.0,2.0,2.0,3.0,3.0,2.0,15.0,1.0,6.0,1.0,8.0
fig,3.0,3.0,3.0,2.0,2.0,5.0,5.0,16.0,20.0,13.0,3.0,2.0,4.0,3.0,6.0,3.0,5.0,3.0,2.0,3.0,3.0,6.0,4.0,2.0,1.0,7.0,2.0,11.0,6.0,2.0
grape,2.0,3.0,1.0,16.0,18.0,15.0,1.0,14.0,13.0,20.0,2.0,4.0,2.0,2.0,17.0,5.0,2.0,3.0,2.0,2.0,4.0,8.0,5.0,2.0,1.0,18.0,1.0,6.0,6.0,4.0
grapefruit,6.0,5.0,1.0,2.0,1.0,3.0,6.0,1.0,3.0,2.0,20.0,1.0,11.0,11.0,1.0,16.0,6.0,13.0,7.0,18.0,8.0,14.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0
kiwi,5.0,6.0,1.0,4.0,3.0,3.0,13.0,5.0,2.0,4.0,1.0,20.0,1.0,3.0,6.0,2.0,6.0,2.0,3.0,2.0,1.0,16.0,6.0,1.0,2.0,6.0,2.0,3.0,2.0,1.0
lemon,6.0,9.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,11.0,1.0,20.0,18.0,6.0,12.0,5.0,6.0,6.0,16.0,2.0,16.0,2.0,3.0,13.0,3.0,1.0,2.0,3.0,1.0
lime,6.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,11.0,3.0,18.0,20.0,2.0,15.0,4.0,6.0,8.0,14.0,6.0,7.0,5.0,3.0,6.0,2.0,2.0,2.0,7.0,2.0
lychee,4.0,7.0,3.0,8.0,2.0,3.0,3.0,16.0,6.0,17.0,1.0,6.0,6.0,2.0,20.0,2.0,8.0,2.0,2.0,4.0,2.0,6.0,12.0,3.0,10.0,8.0,1.0,6.0,5.0,8.0
mandarine,5.0,9.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,16.0,2.0,12.0,15.0,2.0,20.0,4.0,4.0,6.0,20.0,11.0,6.0,16.0,2.0,3.0,4.0,6.0,3.0,2.0,4.0
mango,5.0,14.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,6.0,6.0,5.0,4.0,8.0,4.0,20.0,4.0,15.0,12.0,12.0,16.0,6.0,5.0,6.0,5.0,1.0,2.0,3.0,3.0
melon,4.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,13.0,2.0,6.0,6.0,2.0,4.0,4.0,20.0,6.0,8.0,5.0,5.0,5.0,3.0,13.0,3.0,13.0,2.0,2.0,2.0
