exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,3.0,1.0,2.0,5.0,1.0,5.0,7.0,8.0,1.0,2.0,2.0,4.0,3.0,6.0,1.0,2.0,1.0,6.0,5.0,7.0,4.0,1.0,6.0,1.0,5.0,10.0,3.0,,3.0
apricot,3.0,20.0,1.0,1.0,2.0,2.0,1.0,9.0,6.0,1.0,4.0,3.0,4.0,2.0,8.0,3.0,2.0,4.0,1.0,5.0,10.0,4.0,2.0,18.0,1.0,16.0,2.0,5.0,,5.0
banana,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,,2.0
blackberry,2.0,1.0,1.0,20.0,17.0,9.0,2.0,2.0,4.0,2.0,4.0,14.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,10.0
blueberry,5.0,2.0,1.0,17.0,20.0,9.0,2.0,5.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,3.0,6.0,4.0,4.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,4.0,,5.0
cherry,1.0,2.0,1.0,9.0,9.0,20.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,15.0
coconut,5.0,1.0,1.0,2.0,2.0,2.0,20.0,6.0,5.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,,2.0
dates,7.0,9.0,1.0,2.0,5.0,2.0,6.0,20.0,17.0,2.0,1.0,2.0,6.0,1.0,10.0,1.0,1.0,4.0,3.0,10.0,4.0,1.0,3.0,10.0,2.0,5.0,3.0,3.0,,4.0
fig,8.0,6.0,1.0,4.0,2.0,2.0,5.0,17.0,20.0,1.0,4.0,3.0,7.0,3.0,14.0,1.0,1.0,5.0,5.0,15.0,6.0,4.0,1.0,16.0,1.0,4.0,1.0,4.0,,4.0
grape,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,1.0,2.0,4.0,2.0,2.0,17.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,2.0
grapefruit,2.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,4.0,1.0,20.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,8.0,4.0,1.0,2.0,3.0,3.0,,1.0
