exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
kiwi,2.0,3.0,2.0,14.0,7.0,5.0,3.0,2.0,3.0,2.0,2.0,20.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,,8.0
lemon,4.0,4.0,1.0,4.0,2.0,1.0,5.0,6.0,7.0,4.0,4.0,4.0,20.0,1.0,19.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,10.0,1.0,2.0,3.0,3.0,,3.0
lime,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,20.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,,2.0
lychee,6.0,8.0,1.0,1.0,1.0,1.0,5.0,10.0,14.0,2.0,4.0,4.0,19.0,4.0,20.0,1.0,4.0,7.0,11.0,16.0,4.0,6.0,4.0,10.0,1.0,3.0,2.0,2.0,,3.0
mandarine,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,1.0
mango,2.0,2.0,4.0,4.0,6.0,6.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,20.0,5.0,1.0,2.0,2.0,4.0,7.0,3.0,5.0,1.0,2.0,6.0,,4.0
melon,1.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,7.0,2.0,5.0,20.0,8.0,6.0,2.0,7.0,2.0,10.0,1.0,5.0,4.0,2.0,,4.0
nectarine,6.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,5.0,1.0,11.0,1.0,1.0,8.0,20.0,12.0,2.0,7.0,2.0,5.0,1.0,6.0,1.0,5.0,,1.0
orange,5.0,5.0,1.0,2.0,1.0,1.0,4.0,10.0,15.0,2.0,2.0,2.0,4.0,3.0,16.0,1.0,2.0,6.0,12.0,20.0,4.0,10.0,4.0,8.0,1.0,4.0,2.0,2.0,,2.0
papaya,7.0,10.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,20.0,2.0,4.0,7.0,1.0,16.0,2.0,4.0,,4.0
passion fruit,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,6.0,1.0,4.0,7.0,7.0,10.0,2.0,20.0,1.0,1.0,1.0,6.0,1.0,1.0,,4.0
peach,1.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,2.0,4.0,4.0,1.0,20.0,3.0,4.0,5.0,5.0,1.0,,3.0
pear,6.0,18.0,2.0,1.0,4.0,2.0,4.0,10.0,16.0,1.0,4.0,2.0,10.0,3.0,10.0,1.0,3.0,10.0,5.0,8.0,7.0,1.0,3.0,20.0,1.0,18.0,3.0,4.0,,4.0
pineapple,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,20.0,1.0,1.0,1.0,,4.0
plum,5.0,16.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,6.0,4.0,16.0,6.0,5.0,18.0,1.0,20.0,4.0,3.0,,4.0
pumpkin,10.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,4.0,20.0,2.0,,1.0
raspberry,3.0,5.0,1.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,6.0,6.0,2.0,5.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,20.0,,4.0
red currant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
strawberry,3.0,5.0,2.0,10.0,5.0,15.0,2.0,4.0,4.0,2.0,1.0,8.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,,20.0
