exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,13.0,13.0,10.0,13.0,12.0,9.0,10.0,11.0,13.0,15.0,15.0,15.0,14.0,12.0,15.0,14.0,12.0,15.0,16.0,13.0,12.0,16.0,19.0,10.0,14.0,14.0,10.0,12.0,10.0
apricot,13.0,20.0,10.0,10.0,11.0,12.0,11.0,13.0,13.0,11.0,1.0,12.0,13.0,16.0,10.0,17.0,12.0,13.0,15.0,14.0,14.0,11.0,19.0,11.0,11.0,16.0,11.0,10.0,11.0,10.0
banana,13.0,10.0,20.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,14.0,10.0,10.0,8.0,10.0,10.0,10.0
blackberry,10.0,10.0,10.0,20.0,17.0,15.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,19.0,17.0,16.0
blueberry,13.0,11.0,10.0,17.0,20.0,16.0,9.0,10.0,10.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.0,9.0,17.0,19.0,14.0
cherry,12.0,12.0,10.0,15.0,16.0,20.0,8.0,10.0,10.0,18.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,15.0,9.0,17.0,18.0,17.0
coconut,9.0,11.0,7.0,9.0,9.0,8.0,20.0,12.0,12.0,9.0,9.0,15.0,10.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,14.0,9.0,9.0,9.0,9.0,9.0
dates,10.0,13.0,10.0,10.0,10.0,10.0,12.0,20.0,19.0,11.0,10.0,13.0,10.0,10.0,12.0,12.0,11.0,10.0,13.0,10.0,13.0,10.0,11.0,13.0,10.0,15.0,10.0,10.0,10.0,10.0
fig,11.0,13.0,10.0,10.0,10.0,10.0,12.0,19.0,20.0,11.0,10.0,14.0,11.0,15.0,15.0,12.0,10.0,10.0,12.0,10.0,12.0,16.0,13.0,12.0,10.0,14.0,10.0,10.0,10.0,10.0
grape,13.0,11.0,10.0,12.0,13.0,18.0,9.0,11.0,11.0,20.0,11.0,13.0,10.0,10.0,17.0,11.0,12.0,12.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,14.0,9.0,10.0,16.0,11.0
grapefruit,15.0,1.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,20.0,10.0,18.0,17.0,10.0,16.0,10.0,16.0,14.0,19.0,17.0,10.0,15.0,10.0,10.0,10.0,13.0,10.0,10.0,10.0
kiwi,15.0,12.0,10.0,10.0,10.0,11.0,15.0,13.0,14.0,13.0,10.0,20.0,10.0,14.0,11.0,10.0,13.0,10.0,10.0,10.0,10.0,14.0,11.0,14.0,10.0,12.0,9.0,10.0,10.0,10.0
lemon,15.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,18.0,10.0,20.0,19.0,10.0,18.0,14.0,12.0,12.0,18.0,10.0,12.0,12.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0
lime,14.0,16.0,10.0,10.0,10.0,10.0,9.0,10.0,15.0,10.0,17.0,14.0,19.0,20.0,10.0,12.0,12.0,13.0,12.0,17.0,14.0,10.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0
lychee,12.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,15.0,17.0,10.0,11.0,10.0,10.0,20.0,11.0,10.0,10.0,10.0,10.0,12.0,14.0,11.0,10.0,11.0,10.0,10.0,12.0,12.0,10.0
mandarine,15.0,17.0,11.0,10.0,10.0,10.0,8.0,12.0,12.0,11.0,16.0,10.0,18.0,12.0,11.0,20.0,11.0,12.0,13.0,18.0,12.0,10.0,5.0,11.0,10.0,13.0,9.0,10.0,10.0,10.0
mango,14.0,12.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,12.0,10.0,13.0,14.0,12.0,10.0,11.0,20.0,15.0,14.0,13.0,18.0,14.0,15.0,11.0,11.0,13.0,12.0,10.0,10.0,10.0
melon,12.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,16.0,10.0,12.0,13.0,10.0,12.0,15.0,20.0,13.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,18.0,10.0,10.0,10.0
nectarine,15.0,15.0,10.0,10.0,10.0,11.0,10.0,13.0,12.0,10.0,14.0,10.0,12.0,12.0,10.0,13.0,14.0,13.0,20.0,15.0,13.0,13.0,19.0,10.0,10.0,17.0,13.0,10.0,12.0,11.0
orange,16.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,19.0,10.0,18.0,17.0,10.0,18.0,13.0,12.0,15.0,20.0,12.0,10.0,16.0,12.0,11.0,12.0,14.0,10.0,10.0,10.0
papaya,13.0,14.0,10.0,10.0,10.0,10.0,9.0,13.0,12.0,10.0,17.0,10.0,10.0,14.0,12.0,12.0,18.0,10.0,13.0,12.0,20.0,11.0,14.0,15.0,11.0,12.0,11.0,10.0,10.0,10.0
passion fruit,12.0,11.0,10.0,10.0,10.0,11.0,11.0,10.0,16.0,10.0,10.0,14.0,12.0,10.0,14.0,10.0,14.0,10.0,13.0,10.0,11.0,20.0,11.0,12.0,12.0,13.0,10.0,10.0,10.0,10.0
peach,16.0,19.0,11.0,10.0,10.0,10.0,11.0,11.0,13.0,12.0,15.0,11.0,12.0,11.0,11.0,5.0,15.0,12.0,19.0,16.0,14.0,11.0,20.0,13.0,10.0,16.0,14.0,12.0,10.0,10.0
pear,19.0,11.0,14.0,10.0,10.0,10.0,9.0,13.0,12.0,10.0,10.0,14.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,15.0,12.0,13.0,20.0,10.0,12.0,12.0,10.0,10.0,10.0
pineapple,10.0,11.0,10.0,10.0,10.0,10.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,20.0,10.0,8.0,10.0,10.0,10.0
plum,14.0,16.0,10.0,12.0,16.0,15.0,9.0,15.0,14.0,14.0,10.0,12.0,12.0,12.0,10.0,13.0,13.0,10.0,17.0,12.0,12.0,13.0,16.0,12.0,10.0,20.0,10.0,10.0,14.0,10.0
pumpkin,14.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,13.0,9.0,11.0,11.0,10.0,9.0,12.0,18.0,13.0,14.0,11.0,10.0,14.0,12.0,8.0,10.0,20.0,8.0,9.0,9.0
raspberry,10.0,10.0,10.0,19.0,17.0,17.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,8.0,20.0,16.0,17.0
red currant,12.0,11.0,10.0,17.0,19.0,18.0,9.0,10.0,10.0,16.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,9.0,16.0,20.0,14.0
strawberry,10.0,10.0,10.0,16.0,14.0,17.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,17.0,14.0,20.0
