exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,13.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,8.0,14.0,10.0,8.0,9.0,,8.0,9.0,14.0,7.0,11.0,,1.0,11.0,15.0,4.0,5.0,12.0,3.0,,5.0
apricot,13.0,20.0,3.0,5.0,4.0,5.0,7.0,5.0,7.0,3.0,7.0,7.0,8.0,9.0,,15.0,17.0,7.0,17.0,9.0,,15.0,20.0,8.0,6.0,10.0,13.0,1.0,,6.0
banana,1.0,3.0,20.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,,3.0,6.0,3.0,3.0,6.0,,5.0,5.0,6.0,6.0,3.0,1.0,1.0,,6.0
blackberry,3.0,5.0,4.0,20.0,20.0,6.0,3.0,9.0,7.0,2.0,1.0,5.0,1.0,,,3.0,1.0,2.0,4.0,2.0,,1.0,3.0,1.0,3.0,8.0,2.0,15.0,,18.0
blueberry,4.0,4.0,2.0,20.0,20.0,13.0,5.0,9.0,6.0,6.0,1.0,3.0,2.0,3.0,,3.0,4.0,2.0,4.0,2.0,,2.0,4.0,1.0,3.0,6.0,2.0,18.0,,12.0
cherry,5.0,5.0,1.0,6.0,13.0,20.0,2.0,7.0,10.0,14.0,3.0,2.0,3.0,5.0,,8.0,3.0,3.0,5.0,5.0,,1.0,3.0,3.0,2.0,4.0,1.0,6.0,,16.0
coconut,4.0,7.0,1.0,3.0,5.0,2.0,20.0,7.0,4.0,3.0,10.0,8.0,6.0,6.0,,5.0,5.0,15.0,5.0,7.0,,3.0,4.0,3.0,18.0,6.0,9.0,5.0,,1.0
dates,5.0,5.0,1.0,9.0,9.0,7.0,7.0,20.0,16.0,6.0,6.0,13.0,3.0,2.0,,13.0,5.0,3.0,5.0,4.0,,1.0,4.0,3.0,1.0,9.0,2.0,14.0,,9.0
fig,2.0,7.0,1.0,7.0,6.0,10.0,4.0,16.0,20.0,13.0,2.0,5.0,3.0,7.0,,4.0,5.0,2.0,3.0,4.0,,2.0,6.0,1.0,1.0,4.0,6.0,7.0,,4.0
grape,8.0,3.0,1.0,2.0,6.0,14.0,3.0,6.0,13.0,20.0,9.0,3.0,8.0,7.0,,3.0,6.0,12.0,9.0,6.0,,2.0,3.0,5.0,1.0,6.0,3.0,6.0,,8.0
grapefruit,14.0,7.0,5.0,1.0,1.0,3.0,10.0,6.0,2.0,9.0,20.0,7.0,7.0,9.0,,8.0,6.0,17.0,19.0,18.0,,6.0,6.0,6.0,5.0,8.0,20.0,2.0,,1.0
kiwi,10.0,7.0,2.0,5.0,3.0,2.0,8.0,13.0,5.0,3.0,7.0,20.0,10.0,13.0,,9.0,15.0,6.0,10.0,8.0,,16.0,8.0,6.0,6.0,16.0,6.0,5.0,,6.0
