exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,5.0,2.0,1.0,4.0,5.0,1.0,5.0,3.0,12.0,1.0,3.0,2.0,2.0,1.0,4.0,6.0,3.0,2.0,5.0,1.0,1.0,2.0
apricot,1.0,20.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,7.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0
banana,2.0,2.0,20.0,1.0,3.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0
blackberry,2.0,5.0,1.0,20.0,18.0,18.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,14.0,1.0,3.0
blueberry,3.0,1.0,3.0,18.0,20.0,2.0,1.0,1.0,5.0,5.0,5.0,6.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,12.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,17.0,7.0
cherry,5.0,1.0,1.0,18.0,2.0,20.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,5.0,2.0,2.0,6.0,19.0,6.0
coconut,2.0,1.0,2.0,2.0,1.0,1.0,20.0,3.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,5.0,8.0,5.0,6.0,5.0,6.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0
dates,4.0,3.0,1.0,4.0,1.0,2.0,3.0,20.0,1.0,1.0,3.0,2.0,14.0,1.0,12.0,5.0,2.0,2.0,5.0,1.0,7.0,4.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,1.0
fig,5.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,20.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0
grape,2.0,5.0,6.0,3.0,5.0,2.0,5.0,1.0,1.0,20.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,6.0,2.0,2.0,4.0,3.0
grapefruit,1.0,5.0,1.0,3.0,5.0,6.0,1.0,3.0,4.0,4.0,20.0,3.0,3.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,6.0,6.0,1.0,5.0,2.0,1.0,2.0,2.0
