exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,16.0,4.0,2.0,3.0,4.0,18.0,13.0,15.0,16.0,18.0,16.0,18.0,16.0,3.0,18.0,17.0,17.0,18.0,18.0,13.0,13.0,15.0,17.0,6.0,18.0,16.0,2.0,5.0,2.0
apricot,16.0,20.0,8.0,2.0,13.0,12.0,16.0,3.0,18.0,14.0,13.0,14.0,17.0,17.0,16.0,18.0,15.0,12.0,18.0,16.0,17.0,16.0,18.0,16.0,9.0,18.0,9.0,2.0,6.0,2.0
banana,4.0,8.0,20.0,3.0,2.0,4.0,8.0,18.0,2.0,2.0,2.0,3.0,2.0,9.0,2.0,2.0,3.0,3.0,3.0,11.0,3.0,4.0,3.0,10.0,5.0,3.0,3.0,3.0,6.0,6.0
blackberry,2.0,2.0,3.0,20.0,17.0,16.0,2.0,7.0,6.0,16.0,4.0,4.0,12.0,14.0,13.0,4.0,2.0,3.0,3.0,9.0,3.0,3.0,6.0,3.0,3.0,11.0,1.0,16.0,17.0,15.0
blueberry,3.0,13.0,2.0,17.0,20.0,13.0,3.0,9.0,9.0,17.0,2.0,3.0,3.0,3.0,16.0,16.0,3.0,12.0,7.0,9.0,3.0,5.0,8.0,11.0,3.0,8.0,3.0,14.0,17.0,15.0
cherry,4.0,12.0,4.0,16.0,13.0,20.0,15.0,8.0,13.0,19.0,6.0,17.0,15.0,14.0,17.0,9.0,3.0,13.0,12.0,6.0,12.0,11.0,16.0,9.0,2.0,14.0,2.0,14.0,14.0,12.0
coconut,18.0,16.0,8.0,2.0,3.0,15.0,20.0,2.0,14.0,11.0,16.0,16.0,16.0,15.0,11.0,15.0,17.0,16.0,15.0,14.0,14.0,16.0,16.0,8.0,15.0,17.0,3.0,3.0,3.0,3.0
dates,13.0,3.0,18.0,7.0,9.0,8.0,2.0,20.0,13.0,17.0,2.0,14.0,2.0,15.0,16.0,6.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,13.0,6.0,10.0,3.0,9.0,10.0,16.0
fig,15.0,18.0,2.0,6.0,9.0,13.0,14.0,13.0,20.0,16.0,16.0,17.0,18.0,18.0,11.0,17.0,16.0,14.0,17.0,17.0,12.0,18.0,17.0,11.0,3.0,18.0,6.0,12.0,6.0,17.0
grape,16.0,14.0,2.0,16.0,17.0,19.0,11.0,17.0,16.0,20.0,13.0,16.0,14.0,16.0,16.0,15.0,11.0,14.0,16.0,16.0,13.0,11.0,16.0,10.0,3.0,11.0,9.0,16.0,16.0,15.0
grapefruit,18.0,13.0,2.0,4.0,2.0,6.0,16.0,2.0,16.0,13.0,20.0,15.0,17.0,16.0,10.0,18.0,15.0,18.0,18.0,18.0,17.0,17.0,17.0,13.0,6.0,14.0,16.0,6.0,4.0,5.0
kiwi,16.0,14.0,3.0,4.0,3.0,17.0,16.0,14.0,17.0,16.0,15.0,20.0,18.0,17.0,16.0,16.0,16.0,15.0,15.0,12.0,15.0,17.0,17.0,16.0,3.0,16.0,13.0,8.0,13.0,14.0
lemon,18.0,17.0,2.0,12.0,3.0,15.0,16.0,2.0,18.0,14.0,17.0,18.0,20.0,18.0,14.0,17.0,16.0,16.0,18.0,18.0,15.0,17.0,17.0,11.0,4.0,17.0,12.0,4.0,6.0,12.0
lime,16.0,17.0,9.0,14.0,3.0,14.0,15.0,15.0,18.0,16.0,16.0,17.0,18.0,20.0,13.0,18.0,16.0,15.0,17.0,18.0,10.0,16.0,17.0,16.0,4.0,18.0,17.0,3.0,5.0,5.0
lychee,3.0,16.0,2.0,13.0,16.0,17.0,11.0,16.0,11.0,16.0,10.0,16.0,14.0,13.0,20.0,6.0,4.0,11.0,16.0,3.0,3.0,14.0,6.0,15.0,9.0,2.0,3.0,13.0,15.0,17.0
mandarine,18.0,18.0,2.0,4.0,16.0,9.0,15.0,6.0,17.0,15.0,18.0,16.0,17.0,18.0,6.0,20.0,15.0,16.0,18.0,18.0,16.0,17.0,18.0,13.0,2.0,18.0,16.0,3.0,7.0,12.0
mango,17.0,15.0,3.0,2.0,3.0,3.0,17.0,2.0,16.0,11.0,15.0,16.0,16.0,16.0,4.0,15.0,20.0,15.0,14.0,16.0,17.0,9.0,17.0,13.0,4.0,17.0,17.0,6.0,10.0,10.0
melon,17.0,12.0,3.0,3.0,12.0,13.0,16.0,2.0,14.0,14.0,18.0,15.0,16.0,15.0,11.0,16.0,15.0,20.0,16.0,17.0,16.0,16.0,12.0,7.0,10.0,16.0,17.0,9.0,10.0,10.0
nectarine,18.0,18.0,3.0,3.0,7.0,12.0,15.0,3.0,17.0,16.0,18.0,15.0,18.0,17.0,16.0,18.0,14.0,16.0,20.0,19.0,11.0,17.0,19.0,14.0,12.0,18.0,15.0,5.0,6.0,11.0
orange,18.0,16.0,11.0,9.0,9.0,6.0,14.0,3.0,17.0,16.0,18.0,12.0,18.0,18.0,3.0,18.0,16.0,17.0,19.0,20.0,15.0,12.0,17.0,9.0,3.0,16.0,18.0,3.0,3.0,4.0
papaya,13.0,17.0,3.0,3.0,3.0,12.0,14.0,2.0,12.0,13.0,17.0,15.0,15.0,10.0,3.0,16.0,17.0,16.0,11.0,15.0,20.0,9.0,15.0,16.0,14.0,16.0,16.0,5.0,3.0,8.0
passion fruit,13.0,16.0,4.0,3.0,5.0,11.0,16.0,3.0,18.0,11.0,17.0,17.0,17.0,16.0,14.0,17.0,9.0,16.0,17.0,12.0,9.0,20.0,16.0,16.0,3.0,17.0,16.0,4.0,13.0,8.0
peach,15.0,18.0,3.0,6.0,8.0,16.0,16.0,2.0,17.0,16.0,17.0,17.0,17.0,17.0,6.0,18.0,17.0,12.0,19.0,17.0,15.0,16.0,20.0,16.0,10.0,17.0,15.0,8.0,3.0,6.0
pear,17.0,16.0,10.0,3.0,11.0,9.0,8.0,13.0,11.0,10.0,13.0,16.0,11.0,16.0,15.0,13.0,13.0,7.0,14.0,9.0,16.0,16.0,16.0,20.0,14.0,7.0,5.0,9.0,3.0,2.0
pineapple,6.0,9.0,5.0,3.0,3.0,2.0,15.0,6.0,3.0,3.0,6.0,3.0,4.0,4.0,9.0,2.0,4.0,10.0,12.0,3.0,14.0,3.0,10.0,14.0,20.0,5.0,14.0,3.0,3.0,5.0
plum,18.0,18.0,3.0,11.0,8.0,14.0,17.0,10.0,18.0,11.0,14.0,16.0,17.0,18.0,2.0,18.0,17.0,16.0,18.0,16.0,16.0,17.0,17.0,7.0,5.0,20.0,12.0,2.0,3.0,3.0
pumpkin,16.0,9.0,3.0,1.0,3.0,2.0,3.0,3.0,6.0,9.0,16.0,13.0,12.0,17.0,3.0,16.0,17.0,17.0,15.0,18.0,16.0,16.0,15.0,5.0,14.0,12.0,20.0,3.0,1.0,2.0
raspberry,2.0,2.0,3.0,16.0,14.0,14.0,3.0,9.0,12.0,16.0,6.0,8.0,4.0,3.0,13.0,3.0,6.0,9.0,5.0,3.0,5.0,4.0,8.0,9.0,3.0,2.0,3.0,20.0,6.0,18.0
red currant,5.0,6.0,6.0,17.0,17.0,14.0,3.0,10.0,6.0,16.0,4.0,13.0,6.0,5.0,15.0,7.0,10.0,10.0,6.0,3.0,3.0,13.0,3.0,3.0,3.0,3.0,1.0,6.0,20.0,4.0
strawberry,2.0,2.0,6.0,15.0,15.0,12.0,3.0,16.0,17.0,15.0,5.0,14.0,12.0,5.0,17.0,12.0,10.0,10.0,11.0,4.0,8.0,8.0,6.0,2.0,5.0,3.0,2.0,18.0,4.0,20.0
