exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,4.0,10.0,1.0,5.0,1.0,1.0,1.0,12.0,2.0,5.0,5.0,7.0,1.0,1.0,1.0,5.0,5.0,7.0,1.0,6.0,5.0,2.0,1.0,2.0,7.0,15.0,8.0,1.0,9.0
apricot,4.0,20.0,6.0,1.0,2.0,12.0,8.0,8.0,6.0,5.0,4.0,4.0,1.0,4.0,12.0,1.0,5.0,11.0,9.0,8.0,15.0,1.0,12.0,19.0,4.0,18.0,1.0,4.0,2.0,1.0
banana,10.0,6.0,20.0,5.0,1.0,4.0,8.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,5.0,4.0,12.0
blackberry,1.0,1.0,5.0,20.0,12.0,14.0,1.0,12.0,1.0,1.0,5.0,15.0,5.0,1.0,1.0,1.0,6.0,1.0,5.0,4.0,1.0,4.0,2.0,10.0,4.0,1.0,1.0,9.0,1.0,1.0
blueberry,5.0,2.0,1.0,12.0,20.0,9.0,4.0,1.0,1.0,4.0,7.0,12.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0
cherry,1.0,12.0,4.0,14.0,9.0,20.0,5.0,1.0,7.0,4.0,4.0,1.0,2.0,1.0,7.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,15.0,1.0,19.0
coconut,1.0,8.0,8.0,1.0,4.0,5.0,20.0,1.0,1.0,5.0,15.0,5.0,5.0,1.0,9.0,1.0,4.0,18.0,1.0,1.0,5.0,1.0,8.0,6.0,12.0,8.0,4.0,9.0,2.0,5.0
dates,1.0,8.0,5.0,12.0,1.0,1.0,1.0,20.0,15.0,1.0,9.0,6.0,9.0,4.0,1.0,1.0,4.0,5.0,8.0,1.0,3.0,1.0,5.0,18.0,1.0,1.0,2.0,6.0,1.0,8.0
fig,12.0,6.0,5.0,1.0,1.0,7.0,1.0,15.0,20.0,1.0,7.0,1.0,16.0,1.0,16.0,4.0,18.0,9.0,9.0,15.0,8.0,4.0,1.0,19.0,9.0,9.0,4.0,8.0,4.0,10.0
grape,2.0,5.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,20.0,8.0,1.0,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0
grapefruit,5.0,4.0,2.0,5.0,7.0,4.0,15.0,9.0,7.0,8.0,20.0,4.0,8.0,5.0,7.0,4.0,9.0,19.0,10.0,1.0,1.0,1.0,14.0,9.0,9.0,8.0,14.0,9.0,1.0,13.0
kiwi,5.0,4.0,5.0,15.0,12.0,1.0,5.0,6.0,1.0,1.0,4.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,5.0,1.0,14.0
lemon,7.0,1.0,1.0,5.0,5.0,2.0,5.0,9.0,16.0,1.0,8.0,5.0,20.0,1.0,19.0,1.0,1.0,5.0,6.0,10.0,1.0,1.0,10.0,1.0,4.0,1.0,1.0,4.0,1.0,9.0
lime,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,1.0,1.0,1.0,5.0,11.0,1.0,2.0,1.0,1.0
lychee,1.0,12.0,2.0,1.0,1.0,7.0,9.0,1.0,16.0,1.0,7.0,1.0,19.0,1.0,20.0,1.0,14.0,4.0,1.0,2.0,12.0,1.0,1.0,8.0,1.0,4.0,1.0,7.0,2.0,1.0
mandarine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,4.0,1.0,1.0,1.0,1.0,20.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0
mango,5.0,5.0,4.0,6.0,2.0,7.0,4.0,4.0,18.0,1.0,9.0,1.0,1.0,1.0,14.0,4.0,20.0,9.0,3.0,1.0,5.0,7.0,14.0,1.0,2.0,8.0,1.0,13.0,1.0,4.0
melon,5.0,11.0,3.0,1.0,5.0,4.0,18.0,5.0,9.0,2.0,19.0,1.0,5.0,1.0,4.0,4.0,9.0,20.0,6.0,1.0,4.0,8.0,14.0,18.0,5.0,16.0,7.0,5.0,1.0,6.0
nectarine,7.0,9.0,4.0,5.0,1.0,1.0,1.0,8.0,9.0,1.0,10.0,2.0,6.0,10.0,1.0,1.0,3.0,6.0,20.0,1.0,4.0,1.0,1.0,1.0,4.0,8.0,1.0,3.0,1.0,1.0
orange,1.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0
papaya,6.0,15.0,1.0,1.0,2.0,1.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,5.0,4.0,4.0,5.0,20.0,1.0,1.0,9.0,1.0,1.0,7.0,5.0,1.0,3.0
passion fruit,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
peach,2.0,12.0,1.0,2.0,1.0,5.0,8.0,5.0,1.0,1.0,14.0,4.0,10.0,1.0,1.0,4.0,14.0,14.0,1.0,4.0,1.0,2.0,20.0,11.0,1.0,1.0,3.0,1.0,1.0,2.0
pear,1.0,19.0,1.0,10.0,1.0,1.0,6.0,18.0,19.0,4.0,9.0,4.0,1.0,1.0,8.0,4.0,1.0,18.0,1.0,1.0,9.0,1.0,11.0,20.0,8.0,1.0,4.0,8.0,4.0,7.0
pineapple,2.0,4.0,2.0,4.0,1.0,1.0,12.0,1.0,9.0,1.0,9.0,1.0,4.0,5.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,8.0,20.0,8.0,1.0,1.0,1.0,8.0
plum,7.0,18.0,9.0,1.0,2.0,5.0,8.0,1.0,9.0,5.0,8.0,2.0,1.0,11.0,4.0,1.0,8.0,16.0,8.0,5.0,1.0,1.0,1.0,1.0,8.0,20.0,5.0,9.0,4.0,4.0
pumpkin,15.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,14.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,7.0,1.0,3.0,4.0,1.0,5.0,20.0,1.0,1.0,4.0
raspberry,8.0,4.0,5.0,9.0,4.0,15.0,9.0,6.0,8.0,1.0,9.0,5.0,4.0,2.0,7.0,5.0,13.0,5.0,3.0,1.0,5.0,1.0,1.0,8.0,1.0,9.0,1.0,20.0,10.0,15.0
red currant,1.0,2.0,4.0,1.0,9.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,10.0,20.0,1.0
strawberry,9.0,1.0,12.0,1.0,1.0,19.0,5.0,8.0,10.0,1.0,13.0,14.0,9.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,3.0,1.0,2.0,7.0,8.0,4.0,4.0,15.0,1.0,20.0
