exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,12.0,15.0,6.0,5.0,14.0,13.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,9.0,14.0,15.0,17.0,12.0,18.0,9.0,15.0,16.0,18.0,14.0,14.0,13.0,13.0,9.0,15.0
apricot,12.0,20.0,14.0,14.0,10.0,16.0,15.0,13.0,11.0,15.0,15.0,15.0,15.0,12.0,16.0,18.0,14.0,14.0,15.0,16.0,15.0,18.0,18.0,14.0,15.0,17.0,16.0,12.0,8.0,15.0
banana,15.0,14.0,20.0,10.0,15.0,14.0,9.0,13.0,15.0,15.0,15.0,11.0,14.0,16.0,8.0,14.0,15.0,16.0,11.0,14.0,11.0,16.0,14.0,15.0,7.0,10.0,11.0,11.0,8.0,11.0
blackberry,6.0,14.0,10.0,20.0,16.0,14.0,12.0,16.0,12.0,14.0,12.0,14.0,8.0,15.0,16.0,11.0,9.0,12.0,12.0,14.0,11.0,15.0,14.0,12.0,12.0,12.0,16.0,19.0,17.0,16.0
blueberry,5.0,10.0,15.0,16.0,20.0,17.0,10.0,16.0,15.0,18.0,15.0,16.0,12.0,10.0,15.0,13.0,14.0,15.0,17.0,11.0,11.0,15.0,11.0,11.0,16.0,16.0,15.0,17.0,15.0,16.0
cherry,14.0,16.0,14.0,14.0,17.0,20.0,10.0,12.0,15.0,18.0,14.0,9.0,13.0,15.0,10.0,8.0,15.0,15.0,12.0,8.0,15.0,15.0,12.0,8.0,14.0,14.0,14.0,15.0,18.0,17.0
coconut,13.0,15.0,9.0,12.0,10.0,10.0,20.0,12.0,13.0,13.0,10.0,14.0,13.0,14.0,11.0,14.0,15.0,9.0,15.0,14.0,18.0,16.0,13.0,4.0,11.0,12.0,14.0,11.0,12.0,4.0
dates,14.0,13.0,13.0,16.0,16.0,12.0,12.0,20.0,17.0,14.0,14.0,14.0,14.0,10.0,15.0,11.0,15.0,16.0,13.0,14.0,17.0,15.0,14.0,13.0,12.0,17.0,15.0,12.0,14.0,16.0
fig,15.0,11.0,15.0,12.0,15.0,15.0,13.0,17.0,20.0,17.0,10.0,15.0,11.0,15.0,14.0,11.0,17.0,16.0,16.0,15.0,16.0,7.0,8.0,11.0,12.0,17.0,13.0,15.0,15.0,16.0
grape,14.0,15.0,15.0,14.0,18.0,18.0,13.0,14.0,17.0,20.0,15.0,17.0,10.0,14.0,17.0,16.0,18.0,16.0,12.0,15.0,10.0,15.0,12.0,8.0,11.0,17.0,14.0,15.0,16.0,17.0
