feature,freq
bepaalt je sociale status,10
bron van stress / frustraties,4
er zijn verschillende soorten van,14
heb je een speciale outfit voor nodig,2
heeft sterke invloed op de rest van je leven,5
is bij wet geregeld,2
is een activiteit,3
is een job,4
is iets dat je elke dag uitoefent,5
is iets voor volwassenen,5
is verschillend voor mannen en vrouwen,2
is voordelig voor staat/economie,5
moet je graag doen om het vol te houden,3
neemt veel tijd in beslag,7
oefen je je hele leven uit,8
oefen je niet thuis uit,2
oefen je uit,5
verdien je geld mee,20
vereist opleiding,20
vereist specifieke kennis,4
vereist specifieke vaardigheden,3
