feature,freq
angstaanjagend,3
eet insecten,2
er zijn verschillende soorten,2
gaat dood,2
gevaarlijk,6
heeft een lange tong,2
heeft een staart,3
heeft geen poten,2
heeft longen,4
heeft schubben,15
heeft tanden,2
heeft vier poten,3
houdt winterslaap,2
is een dier,12
is een exotisch dier,4
is een schildpad,2
is gewerveld,3
is glibberig,2
is griezelig,3
is groen,8
is lelijk,2
is vies,2
kan bijten,2
kan gevaarlijk zijn,4
kan giftig zijn,3
koudbloedig,12
leeft in de zoo,6
leeft in water,2
leeft op het land,4
leeft op het land en in het water,5
legt eieren,17
soort slang,4
soort van krokodil,4
stamt af van de dinosauriërs,3
wordt soms als huisdier gehouden,6
