feature,freq
bestaat in verschillende groottes,9
bestaat in verschillende soorten,5
bestaat in verschillende vormen,8
dient om mee te werken,5
eventueel geautomatiseerd,3
gebruikt in de bouw,3
gemaakt uit hout,3
gemaakt uit metaal,6
heeft een handvat,2
heeft een technische evolutie doorgemaakt,3
is bedoeld voor de handige harry,4
is duur,4
is een goede uitvinding,2
is een hamer,2
is een handwerktuig,3
is een hulpmiddel,5
is een kraan,2
is een tractor,2
is een verzamelnaam,2
is elektronisch,8
is er in verschillende materialen,2
is gereedschap,3
is groot,2
is handig,7
is multifunctioneel,2
is onmisbaar,2
je kan er iemand mee verwonden,2
kan gevaarlijk zijn,8
maakt lawaai,2
vergemakkelijkt het werk,9
werd al gebruikt in de oertijd,5
wordt bestuurd,2
wordt gebruikt door een vakman,2
wordt gebruikt door iedereen,2
wordt gebruikt om iets te maken,6
wordt gebruikt om mee te werken,6
wordt vooral door mannen gebruikt,10
