feature,freq
ademen onder water,2
ademt door kieuwen,4
bedreigde diersoort,3
bevat omega 3,2
er zijn verschillende soorten,4
graten,9
heeft een staart,2
heeft kieuwen,15
heeft ogen,2
heeft schubben,14
heeft vinnen,13
in aquarium,3
is een dier,4
is een haai,3
is een sterrebeeld,3
is een zoet- of zoutwatervis,6
is er in verschillende groottes,2
is gezond,5
is glad,3
is glibberig,5
is lekker,9
kan verschillende kleuren hebben,5
kan zwemmen,10
leeft in de zee,4
leeft in water,19
leeft niet op het land,2
legt eieren,4
ruikt niet lekker,2
stinkt soms,4
wordt soms als huisdier gehouden,4
wordt soms door mensen gegeten,7
zwemt in scholen,4
