feature,freq
bestaat al lang,4
bestaat in verschillende groottes,6
bestaat in verschillende kleuren,3
bestaat in verschillende soorten,7
bestaat in verschillende vormen,4
gemaakt uit hout,4
gemaakt uit metaal,2
heeft snaren,10
heeft toetsen,2
is bedoeld om muziek mee te maken,9
is breekbaar,2
is duur,8
is een blokfluit,2
is een gitaar,3
is een harp,2
is een soort piano,3
is een soort viool,4
is er in alle prijsklassen,2
is er in verschillende materialen,6
is moeilijk te bespelen,3
is te koop in een muziekwinkel,2
je moet er noten voor kunnen lezen,5
je moet erop blazen,3
kan je op spelen,10
kan je zelf maken,5
klinkt mooi,3
komt voor in een fanfare,2
maakt een apart geluid,2
maakt geluid,13
maakt verschillende geluiden,4
moet je leren bespelen,3
werd al gebruikt in de oertijd,5
wordt alleen door mensen gebruikt,2
wordt bespeeld door muzikant,3
wordt gebruikt in orkesten,9
wordt gecombineerd met andere instrumenten,2
wordt met de hand gemaakt,2
wordt soms gebruikt om zang te begeleiden,3
zorgt voor ontspanning,6
