feature,freq
bestaat al lang,2
bestaat in verschillende groottes,4
bestaat in verschillende kleuren,4
bestaat in verschillende merken,2
bestaat in verschillende soorten,4
bestaat in verschillende vormen,4
er zijn verschillende types van,2
geeft je vrijheid,3
gemaakt uit metaal,2
heeft een motor,9
heeft een stuur,7
heeft een technische evolutie doorgemaakt,4
heeft wielen,14
is duur,11
is een auto,8
is handig,7
is milieuvervuilend,9
is milieuvriendelijk,2
is onmisbaar,2
is snel,4
je kan er dingen mee vervoeren,6
je kan je ermee verplaatsen,17
kan bewegen,2
kan je met meerdere personen inzitten,2
kan ongelukken veroorzaken,7
kan statussymbool zijn,3
koop je in de winkel,2
maakt lawaai,6
verbruikt brandstof,4
verplaats je je sneller mee dan te voet,8
wordt bestuurd,5
wordt gebruikt voor lange afstanden,2
wordt mechanisch aangedreven,2
wordt veel gebruikt,3
