feature,freq
bestaat al lang,4
bestaat in verschillende groottes,4
bestaat in verschillende soorten,7
bestaat in verschillende vormen,6
bevat kogels,10
dient om je te beschermen,13
gebruiksvoorwerp,2
gemaakt uit metaal,9
heeft een handvat,5
heeft een loop,2
is gevaarlijk,14
is gewelddadig,3
is hard,2
is onderhevig aan regels,3
is populair in Amerika,2
is verboden,2
is zwaar,4
is zwart,7
je kan er iemand mee doden,14
je kan er iemand mee verwonden,11
kan je mee schieten,2
komt vaak voor in films,2
moet je een wapenvergunning voor hebben,6
vernielt,4
vind je vaak in actiefilms,2
wordt alleen door mensen gebruikt,3
wordt gebruikt bij sport,2
wordt gebruikt door criminelen,3
wordt gebruikt door politie,11
wordt gebruikt door soldaten,4
wordt gebruikt om oorlog te voeren,13
wordt gebruikt om te jagen,5
