exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,14.0,9.0,10.0,12.0,10.0,4.0,10.0,8.0,13.0,6.0,2.0,12.0,7.0,16.0,10.0,11.0,8.0,6.0,9.0,12.0,16.0,12.0,7.0,15.0,16.0,12.0,5.0,14.0
bloes,14.0,20.0,12.0,6.0,14.0,7.0,16.0,7.0,12.0,16.0,15.0,4.0,10.0,8.0,15.0,11.0,13.0,7.0,9.0,6.0,8.0,12.0,6.0,17.0,18.0,18.0,15.0,6.0,12.0
broek,9.0,12.0,20.0,9.0,12.0,8.0,10.0,19.0,18.0,15.0,12.0,6.0,9.0,4.0,17.0,12.0,13.0,17.0,8.0,18.0,8.0,12.0,9.0,13.0,13.0,11.0,14.0,6.0,10.0
das,10.0,6.0,9.0,20.0,12.0,9.0,9.0,10.0,7.0,8.0,11.0,9.0,13.0,5.0,8.0,10.0,4.0,4.0,6.0,7.0,15.0,12.0,11.0,8.0,8.0,6.0,10.0,9.0,3.0
hemd,12.0,14.0,12.0,12.0,20.0,9.0,16.0,11.0,11.0,14.0,18.0,2.0,9.0,5.0,14.0,7.0,13.0,13.0,7.0,8.0,8.0,8.0,4.0,16.0,17.0,14.0,16.0,8.0,12.0
hoed,10.0,7.0,8.0,9.0,9.0,20.0,11.0,7.0,6.0,6.0,7.0,11.0,18.0,13.0,5.0,12.0,11.0,5.0,12.0,5.0,9.0,4.0,4.0,8.0,9.0,9.0,6.0,11.0,4.0
jas,4.0,16.0,10.0,9.0,16.0,11.0,20.0,10.0,12.0,8.0,14.0,7.0,13.0,5.0,15.0,9.0,7.0,12.0,12.0,8.0,14.0,7.0,7.0,16.0,15.0,14.0,15.0,17.0,6.0
jeans,10.0,7.0,19.0,10.0,11.0,7.0,10.0,20.0,14.0,13.0,11.0,4.0,9.0,4.0,12.0,14.0,14.0,16.0,6.0,17.0,8.0,7.0,7.0,9.0,10.0,5.0,9.0,4.0,8.0
jogging,8.0,12.0,18.0,7.0,11.0,6.0,12.0,14.0,20.0,11.0,14.0,4.0,4.0,4.0,16.0,4.0,8.0,17.0,7.0,15.0,6.0,6.0,9.0,15.0,8.0,8.0,13.0,11.0,11.0
kleed,13.0,16.0,15.0,8.0,14.0,6.0,8.0,13.0,11.0,20.0,16.0,9.0,3.0,2.0,14.0,11.0,17.0,15.0,9.0,14.0,14.0,13.0,6.0,13.0,11.0,15.0,15.0,4.0,12.0
kostuum,6.0,15.0,12.0,11.0,18.0,7.0,14.0,11.0,14.0,16.0,20.0,4.0,4.0,3.0,8.0,11.0,8.0,16.0,13.0,9.0,6.0,11.0,6.0,11.0,12.0,13.0,10.0,6.0,14.0
laarzen,2.0,4.0,6.0,9.0,2.0,11.0,7.0,4.0,4.0,9.0,4.0,20.0,7.0,8.0,1.0,8.0,3.0,4.0,19.0,3.0,5.0,2.0,18.0,3.0,8.0,4.0,4.0,14.0,1.0
muts,12.0,10.0,9.0,13.0,9.0,18.0,13.0,9.0,4.0,3.0,4.0,7.0,20.0,18.0,8.0,8.0,4.0,5.0,10.0,6.0,15.0,7.0,12.0,11.0,4.0,6.0,9.0,17.0,5.0
pet,7.0,8.0,4.0,5.0,5.0,13.0,5.0,4.0,4.0,2.0,3.0,8.0,18.0,20.0,4.0,12.0,4.0,2.0,10.0,7.0,11.0,11.0,9.0,4.0,3.0,7.0,4.0,7.0,2.0
pyjama,16.0,15.0,17.0,8.0,14.0,5.0,15.0,12.0,16.0,14.0,8.0,1.0,8.0,4.0,20.0,4.0,12.0,17.0,4.0,16.0,10.0,15.0,13.0,17.0,15.0,16.0,15.0,4.0,11.0
riem,10.0,11.0,12.0,10.0,7.0,12.0,9.0,14.0,4.0,11.0,11.0,8.0,8.0,12.0,4.0,20.0,9.0,14.0,11.0,6.0,7.0,14.0,8.0,4.0,6.0,8.0,7.0,12.0,5.0
rok,11.0,13.0,13.0,4.0,13.0,11.0,7.0,14.0,8.0,17.0,8.0,3.0,4.0,4.0,12.0,9.0,20.0,7.0,12.0,16.0,11.0,12.0,2.0,8.0,8.0,11.0,11.0,5.0,6.0
salopet,8.0,7.0,17.0,4.0,13.0,5.0,12.0,16.0,17.0,15.0,16.0,4.0,5.0,2.0,17.0,14.0,7.0,20.0,7.0,17.0,6.0,2.0,6.0,9.0,14.0,8.0,14.0,7.0,13.0
schoenen,6.0,9.0,8.0,6.0,7.0,12.0,12.0,6.0,7.0,9.0,13.0,19.0,10.0,10.0,4.0,11.0,12.0,7.0,20.0,7.0,11.0,3.0,16.0,7.0,6.0,11.0,6.0,11.0,2.0
short,9.0,6.0,18.0,7.0,8.0,5.0,8.0,17.0,15.0,14.0,9.0,3.0,6.0,7.0,16.0,6.0,16.0,17.0,7.0,20.0,8.0,17.0,8.0,11.0,13.0,12.0,12.0,6.0,10.0
sjaal,12.0,8.0,8.0,15.0,8.0,9.0,14.0,8.0,6.0,14.0,6.0,5.0,15.0,11.0,10.0,7.0,11.0,6.0,11.0,8.0,20.0,14.0,14.0,7.0,12.0,12.0,11.0,16.0,8.0
slip,16.0,12.0,12.0,12.0,8.0,4.0,7.0,7.0,6.0,13.0,11.0,2.0,7.0,11.0,15.0,14.0,12.0,2.0,3.0,17.0,14.0,20.0,16.0,10.0,12.0,6.0,6.0,12.0,16.0
sokken,12.0,6.0,9.0,11.0,4.0,4.0,7.0,7.0,9.0,6.0,6.0,18.0,12.0,9.0,13.0,8.0,2.0,6.0,16.0,8.0,14.0,16.0,20.0,8.0,6.0,8.0,12.0,11.0,4.0
sweater,7.0,17.0,13.0,8.0,16.0,8.0,16.0,9.0,15.0,13.0,11.0,3.0,11.0,4.0,17.0,4.0,8.0,9.0,7.0,11.0,7.0,10.0,8.0,20.0,16.0,15.0,18.0,8.0,13.0
t-shirt,15.0,18.0,13.0,8.0,17.0,9.0,15.0,10.0,8.0,11.0,12.0,8.0,4.0,3.0,15.0,6.0,8.0,14.0,6.0,13.0,12.0,12.0,6.0,16.0,20.0,3.0,11.0,7.0,14.0
topje,16.0,18.0,11.0,6.0,14.0,9.0,14.0,5.0,8.0,15.0,13.0,4.0,6.0,7.0,16.0,8.0,11.0,8.0,11.0,12.0,12.0,6.0,8.0,15.0,3.0,20.0,18.0,16.0,7.0
trui,12.0,15.0,14.0,10.0,16.0,6.0,15.0,9.0,13.0,15.0,10.0,4.0,9.0,4.0,15.0,7.0,11.0,14.0,6.0,12.0,11.0,6.0,12.0,18.0,11.0,18.0,20.0,18.0,18.0
wanten,5.0,6.0,6.0,9.0,8.0,11.0,17.0,4.0,11.0,4.0,6.0,14.0,17.0,7.0,4.0,12.0,5.0,7.0,11.0,6.0,16.0,12.0,11.0,8.0,7.0,16.0,18.0,20.0,6.0
zwempak,14.0,12.0,10.0,3.0,12.0,4.0,6.0,8.0,11.0,12.0,14.0,1.0,5.0,2.0,11.0,5.0,6.0,13.0,2.0,10.0,8.0,16.0,4.0,13.0,14.0,7.0,18.0,6.0,20.0
