exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,2.0,12.0,8.0,3.0,1.0,17.0,4.0,2.0,16.0,8.0,3.0,1.0,5.0,7.0,5.0,7.0,5.0,6.0,18.0,8.0,6.0,5.0,7.0,4.0,1.0,4.0,8.0,9.0
bloes,2.0,20.0,11.0,12.0,13.0,4.0,2.0,3.0,5.0,2.0,3.0,11.0,11.0,2.0,8.0,11.0,17.0,11.0,2.0,15.0,8.0,11.0,6.0,2.0,1.0,12.0,6.0,1.0,4.0
broek,12.0,11.0,20.0,16.0,5.0,4.0,1.0,1.0,2.0,10.0,4.0,6.0,16.0,5.0,8.0,3.0,6.0,12.0,7.0,11.0,11.0,2.0,3.0,9.0,3.0,16.0,12.0,3.0,4.0
das,8.0,12.0,16.0,20.0,10.0,5.0,2.0,7.0,3.0,3.0,17.0,7.0,4.0,3.0,14.0,5.0,13.0,4.0,4.0,6.0,5.0,17.0,16.0,16.0,17.0,4.0,15.0,6.0,3.0
hemd,3.0,13.0,5.0,10.0,20.0,8.0,5.0,12.0,12.0,7.0,3.0,7.0,6.0,14.0,9.0,2.0,16.0,4.0,11.0,7.0,2.0,14.0,13.0,3.0,5.0,8.0,12.0,6.0,8.0
hoed,1.0,4.0,4.0,5.0,8.0,20.0,18.0,5.0,3.0,4.0,17.0,9.0,8.0,5.0,19.0,6.0,3.0,6.0,2.0,4.0,12.0,4.0,17.0,2.0,9.0,5.0,3.0,6.0,2.0
jas,17.0,2.0,1.0,2.0,5.0,18.0,20.0,15.0,9.0,17.0,17.0,4.0,3.0,12.0,15.0,8.0,2.0,3.0,4.0,14.0,4.0,3.0,16.0,7.0,13.0,6.0,1.0,17.0,8.0
jeans,4.0,3.0,1.0,7.0,12.0,5.0,15.0,20.0,4.0,3.0,2.0,5.0,11.0,6.0,10.0,6.0,12.0,5.0,10.0,8.0,3.0,4.0,3.0,3.0,9.0,14.0,6.0,3.0,2.0
jogging,2.0,5.0,2.0,3.0,12.0,3.0,9.0,4.0,20.0,2.0,4.0,16.0,15.0,8.0,12.0,5.0,8.0,14.0,2.0,3.0,6.0,17.0,17.0,13.0,8.0,8.0,2.0,3.0,7.0
kleed,16.0,2.0,10.0,3.0,7.0,4.0,17.0,3.0,2.0,20.0,3.0,5.0,17.0,4.0,8.0,3.0,4.0,6.0,3.0,16.0,3.0,13.0,1.0,17.0,4.0,2.0,13.0,11.0,4.0
kostuum,8.0,3.0,4.0,17.0,3.0,17.0,17.0,2.0,4.0,3.0,20.0,15.0,6.0,7.0,8.0,9.0,2.0,9.0,7.0,3.0,4.0,5.0,8.0,5.0,9.0,5.0,7.0,7.0,13.0
laarzen,3.0,11.0,6.0,7.0,7.0,9.0,4.0,5.0,16.0,5.0,15.0,20.0,16.0,3.0,3.0,15.0,3.0,1.0,2.0,4.0,9.0,16.0,4.0,4.0,3.0,12.0,4.0,9.0,4.0
muts,1.0,11.0,16.0,4.0,6.0,8.0,3.0,11.0,15.0,17.0,6.0,16.0,20.0,12.0,5.0,3.0,5.0,9.0,9.0,17.0,4.0,15.0,14.0,3.0,7.0,4.0,17.0,7.0,7.0
pet,5.0,2.0,5.0,3.0,14.0,5.0,12.0,6.0,8.0,4.0,7.0,3.0,12.0,20.0,6.0,4.0,17.0,7.0,3.0,15.0,11.0,4.0,11.0,14.0,17.0,3.0,9.0,6.0,4.0
pyjama,7.0,8.0,8.0,14.0,9.0,19.0,15.0,10.0,12.0,8.0,8.0,3.0,5.0,6.0,20.0,4.0,7.0,4.0,7.0,2.0,5.0,14.0,2.0,6.0,11.0,3.0,4.0,4.0,3.0
riem,5.0,11.0,3.0,5.0,2.0,6.0,8.0,6.0,5.0,3.0,9.0,15.0,3.0,4.0,4.0,20.0,6.0,11.0,3.0,2.0,3.0,4.0,13.0,4.0,2.0,3.0,7.0,3.0,5.0
rok,7.0,17.0,6.0,13.0,16.0,3.0,2.0,12.0,8.0,4.0,2.0,3.0,5.0,17.0,7.0,6.0,20.0,5.0,3.0,3.0,3.0,4.0,18.0,7.0,18.0,4.0,4.0,3.0,3.0
salopet,5.0,11.0,12.0,4.0,4.0,6.0,3.0,5.0,14.0,6.0,9.0,1.0,9.0,7.0,4.0,11.0,5.0,20.0,12.0,8.0,7.0,6.0,15.0,3.0,1.0,4.0,2.0,11.0,9.0
schoenen,6.0,2.0,7.0,4.0,11.0,2.0,4.0,10.0,2.0,3.0,7.0,2.0,9.0,3.0,7.0,3.0,3.0,12.0,20.0,4.0,3.0,6.0,3.0,2.0,5.0,5.0,7.0,11.0,5.0
short,18.0,15.0,11.0,6.0,7.0,4.0,14.0,8.0,3.0,16.0,3.0,4.0,17.0,15.0,2.0,2.0,3.0,8.0,4.0,20.0,15.0,4.0,6.0,12.0,17.0,6.0,11.0,4.0,11.0
sjaal,8.0,8.0,11.0,5.0,2.0,12.0,4.0,3.0,6.0,3.0,4.0,9.0,4.0,11.0,5.0,3.0,3.0,7.0,3.0,15.0,20.0,8.0,3.0,6.0,7.0,17.0,7.0,5.0,5.0
slip,6.0,11.0,2.0,17.0,14.0,4.0,3.0,4.0,17.0,13.0,5.0,16.0,15.0,4.0,14.0,4.0,4.0,6.0,6.0,4.0,8.0,20.0,14.0,7.0,9.0,4.0,4.0,11.0,5.0
sokken,5.0,6.0,3.0,16.0,13.0,17.0,16.0,3.0,17.0,1.0,8.0,4.0,14.0,11.0,2.0,13.0,18.0,15.0,3.0,6.0,3.0,14.0,20.0,2.0,4.0,4.0,4.0,8.0,6.0
sweater,7.0,2.0,9.0,16.0,3.0,2.0,7.0,3.0,13.0,17.0,5.0,4.0,3.0,14.0,6.0,4.0,7.0,3.0,2.0,12.0,6.0,7.0,2.0,20.0,14.0,4.0,1.0,11.0,3.0
t-shirt,4.0,1.0,3.0,17.0,5.0,9.0,13.0,9.0,8.0,4.0,9.0,3.0,7.0,17.0,11.0,2.0,18.0,1.0,5.0,17.0,7.0,9.0,4.0,14.0,20.0,9.0,9.0,5.0,12.0
topje,1.0,12.0,16.0,4.0,8.0,5.0,6.0,14.0,8.0,2.0,5.0,12.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,17.0,4.0,4.0,4.0,9.0,20.0,12.0,2.0,8.0
trui,4.0,6.0,12.0,15.0,12.0,3.0,1.0,6.0,2.0,13.0,7.0,4.0,17.0,9.0,4.0,7.0,4.0,2.0,7.0,11.0,7.0,4.0,4.0,1.0,9.0,12.0,20.0,5.0,5.0
wanten,8.0,1.0,3.0,6.0,6.0,6.0,17.0,3.0,3.0,11.0,7.0,9.0,7.0,6.0,4.0,3.0,3.0,11.0,11.0,4.0,5.0,11.0,8.0,11.0,5.0,2.0,5.0,20.0,1.0
zwempak,9.0,4.0,4.0,3.0,8.0,2.0,8.0,2.0,7.0,4.0,13.0,4.0,7.0,4.0,3.0,5.0,3.0,9.0,5.0,11.0,5.0,5.0,6.0,3.0,12.0,8.0,5.0,1.0,20.0
