exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,10.0,9.0,6.0,6.0,3.0,1.0,4.0,3.0,10.0,1.0,5.0,3.0,9.0,3.0,6.0,1.0,2.0,1.0,2.0,6.0,15.0,1.0,2.0,2.0,15.0,7.0,6.0,8.0
bloes,10.0,20.0,16.0,6.0,14.0,12.0,6.0,2.0,5.0,7.0,6.0,1.0,3.0,1.0,1.0,7.0,8.0,2.0,12.0,9.0,5.0,2.0,10.0,8.0,6.0,2.0,1.0,1.0,3.0
broek,9.0,16.0,20.0,1.0,7.0,15.0,5.0,7.0,9.0,9.0,2.0,2.0,3.0,5.0,2.0,3.0,12.0,15.0,15.0,12.0,1.0,5.0,10.0,6.0,9.0,8.0,3.0,1.0,3.0
das,6.0,6.0,1.0,20.0,5.0,6.0,20.0,10.0,3.0,3.0,1.0,3.0,2.0,10.0,4.0,2.0,1.0,1.0,3.0,3.0,9.0,1.0,3.0,3.0,2.0,1.0,2.0,6.0,4.0
hemd,6.0,14.0,7.0,5.0,20.0,11.0,6.0,6.0,3.0,5.0,8.0,1.0,7.0,9.0,5.0,3.0,9.0,3.0,6.0,15.0,1.0,5.0,5.0,9.0,9.0,4.0,1.0,9.0,11.0
hoed,3.0,12.0,15.0,6.0,11.0,20.0,1.0,3.0,2.0,6.0,6.0,8.0,12.0,5.0,2.0,1.0,9.0,3.0,10.0,9.0,1.0,3.0,4.0,2.0,2.0,8.0,2.0,5.0,3.0
jas,1.0,6.0,5.0,20.0,6.0,1.0,20.0,15.0,9.0,2.0,3.0,11.0,7.0,3.0,10.0,5.0,8.0,6.0,1.0,4.0,12.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0
jeans,4.0,2.0,7.0,10.0,6.0,3.0,15.0,20.0,11.0,6.0,6.0,2.0,9.0,3.0,5.0,7.0,13.0,1.0,3.0,15.0,10.0,9.0,3.0,12.0,8.0,3.0,1.0,3.0,4.0
jogging,3.0,5.0,9.0,3.0,3.0,2.0,9.0,11.0,20.0,4.0,3.0,3.0,3.0,1.0,6.0,2.0,1.0,3.0,9.0,17.0,9.0,10.0,7.0,4.0,8.0,9.0,3.0,6.0,3.0
kleed,10.0,7.0,9.0,3.0,5.0,6.0,2.0,6.0,4.0,20.0,9.0,3.0,1.0,10.0,9.0,4.0,3.0,1.0,1.0,10.0,3.0,3.0,3.0,5.0,9.0,8.0,2.0,3.0,2.0
kostuum,1.0,6.0,2.0,1.0,8.0,6.0,3.0,6.0,3.0,9.0,20.0,1.0,15.0,2.0,2.0,3.0,7.0,2.0,6.0,8.0,3.0,3.0,8.0,2.0,1.0,2.0,5.0,3.0,3.0
laarzen,5.0,1.0,2.0,3.0,1.0,8.0,11.0,2.0,3.0,3.0,1.0,20.0,6.0,3.0,3.0,1.0,4.0,1.0,10.0,2.0,1.0,2.0,10.0,5.0,2.0,3.0,1.0,2.0,1.0
muts,3.0,3.0,3.0,2.0,7.0,12.0,7.0,9.0,3.0,1.0,15.0,6.0,20.0,6.0,8.0,6.0,2.0,1.0,4.0,2.0,15.0,6.0,7.0,2.0,7.0,2.0,9.0,2.0,2.0
pet,9.0,1.0,5.0,10.0,9.0,5.0,3.0,3.0,1.0,10.0,2.0,3.0,6.0,20.0,8.0,1.0,10.0,20.0,5.0,10.0,3.0,1.0,2.0,3.0,2.0,5.0,6.0,1.0,5.0
pyjama,3.0,1.0,2.0,4.0,5.0,2.0,10.0,5.0,6.0,9.0,2.0,3.0,8.0,8.0,20.0,6.0,2.0,1.0,3.0,4.0,5.0,2.0,2.0,5.0,3.0,1.0,2.0,6.0,3.0
riem,6.0,7.0,3.0,2.0,3.0,1.0,5.0,7.0,2.0,4.0,3.0,1.0,6.0,1.0,6.0,20.0,3.0,5.0,2.0,4.0,3.0,6.0,2.0,4.0,5.0,1.0,11.0,4.0,7.0
rok,1.0,8.0,12.0,1.0,9.0,9.0,8.0,13.0,1.0,3.0,7.0,4.0,2.0,10.0,2.0,3.0,20.0,5.0,9.0,12.0,4.0,4.0,11.0,7.0,1.0,9.0,7.0,1.0,3.0
salopet,2.0,2.0,15.0,1.0,3.0,3.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,20.0,1.0,5.0,5.0,20.0,10.0,6.0,7.0,8.0,8.0,9.0,4.0,3.0,3.0,2.0,6.0
schoenen,1.0,12.0,15.0,3.0,6.0,10.0,1.0,3.0,9.0,1.0,6.0,10.0,4.0,5.0,3.0,2.0,9.0,10.0,20.0,14.0,10.0,2.0,13.0,9.0,3.0,3.0,6.0,4.0,3.0
short,2.0,9.0,12.0,3.0,15.0,9.0,4.0,15.0,17.0,10.0,8.0,2.0,2.0,10.0,4.0,4.0,12.0,6.0,14.0,20.0,16.0,3.0,11.0,9.0,19.0,9.0,3.0,20.0,1.0
sjaal,6.0,5.0,1.0,9.0,1.0,1.0,12.0,10.0,9.0,3.0,3.0,1.0,15.0,3.0,5.0,3.0,4.0,7.0,10.0,16.0,20.0,8.0,9.0,1.0,2.0,1.0,6.0,6.0,3.0
slip,15.0,2.0,5.0,1.0,5.0,3.0,3.0,9.0,10.0,3.0,3.0,2.0,6.0,1.0,2.0,6.0,4.0,8.0,2.0,3.0,8.0,20.0,7.0,8.0,12.0,6.0,7.0,1.0,3.0
sokken,1.0,10.0,10.0,3.0,5.0,4.0,3.0,3.0,7.0,3.0,8.0,10.0,7.0,2.0,2.0,2.0,11.0,8.0,13.0,11.0,9.0,7.0,20.0,8.0,4.0,4.0,3.0,1.0,3.0
