exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,16.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,18.0,2.0,1.0,5.0,11.0,1.0,1.0,2.0
bloes,8.0,20.0,9.0,6.0,17.0,9.0,3.0,2.0,2.0,4.0,15.0,1.0,2.0,9.0,1.0,5.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0
broek,1.0,9.0,20.0,9.0,15.0,1.0,4.0,18.0,16.0,2.0,18.0,5.0,9.0,6.0,18.0,18.0,15.0,18.0,12.0,5.0,2.0,1.0,8.0,2.0,6.0,2.0,3.0,1.0,1.0
das,1.0,6.0,9.0,20.0,17.0,1.0,5.0,2.0,1.0,1.0,19.0,1.0,2.0,2.0,1.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0
hemd,1.0,17.0,15.0,17.0,20.0,7.0,4.0,4.0,1.0,1.0,19.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,7.0,2.0,1.0,7.0,15.0,1.0
hoed,1.0,9.0,1.0,1.0,7.0,20.0,11.0,4.0,1.0,4.0,4.0,5.0,8.0,8.0,11.0,1.0,8.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0
jas,1.0,3.0,4.0,5.0,4.0,11.0,20.0,3.0,2.0,8.0,3.0,1.0,8.0,2.0,1.0,1.0,3.0,8.0,8.0,2.0,14.0,1.0,2.0,2.0,4.0,1.0,11.0,4.0,1.0
jeans,1.0,2.0,18.0,2.0,4.0,4.0,3.0,20.0,1.0,1.0,1.0,6.0,2.0,9.0,1.0,1.0,4.0,16.0,2.0,6.0,2.0,1.0,11.0,9.0,5.0,9.0,6.0,2.0,9.0
jogging,9.0,2.0,16.0,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,5.0,8.0,2.0,1.0,1.0,4.0,8.0,10.0,5.0,1.0,5.0,8.0,8.0,5.0,8.0,3.0,4.0
kleed,16.0,4.0,2.0,1.0,1.0,4.0,8.0,1.0,1.0,20.0,14.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0
