exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,10.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,10.0,5.0,5.0,5.0,12.0,5.0,15.0,10.0,10.0,10.0,7.0,5.0
bloes,10.0,20.0,10.0,5.0,10.0,5.0,5.0,10.0,2.0,10.0,5.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,3.0,4.0,10.0,5.0,10.0,10.0,15.0,15.0,5.0,5.0
broek,5.0,10.0,20.0,10.0,15.0,15.0,10.0,15.0,18.0,10.0,15.0,8.0,5.0,5.0,10.0,18.0,10.0,15.0,15.0,5.0,10.0,10.0,4.0,5.0,2.0,7.0,5.0,5.0,5.0
das,3.0,5.0,10.0,20.0,15.0,15.0,10.0,10.0,5.0,1.0,18.0,5.0,4.0,4.0,5.0,12.0,4.0,5.0,4.0,5.0,7.0,5.0,10.0,10.0,5.0,5.0,5.0,4.0,2.0
hemd,3.0,10.0,15.0,15.0,20.0,15.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,15.0,14.0,5.0,5.0,5.0,15.0,5.0,3.0
hoed,5.0,5.0,15.0,15.0,15.0,20.0,5.0,6.0,5.0,5.0,10.0,5.0,17.0,18.0,6.0,10.0,5.0,10.0,10.0,5.0,5.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
jas,4.0,5.0,10.0,10.0,10.0,5.0,20.0,10.0,5.0,12.0,3.0,5.0,14.0,5.0,5.0,10.0,5.0,5.0,7.0,6.0,5.0,5.0,10.0,5.0,10.0,7.0,10.0,5.0,6.0
jeans,3.0,10.0,15.0,10.0,5.0,6.0,10.0,20.0,5.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,10.0,5.0,15.0,5.0,5.0,10.0,10.0,5.0,15.0,5.0,5.0,5.0,2.0
jogging,5.0,2.0,18.0,5.0,5.0,5.0,5.0,5.0,20.0,14.0,5.0,5.0,5.0,5.0,3.0,5.0,10.0,10.0,16.0,10.0,12.0,4.0,8.0,10.0,15.0,5.0,5.0,5.0,5.0
kleed,7.0,10.0,10.0,1.0,5.0,5.0,12.0,5.0,14.0,20.0,15.0,10.0,3.0,5.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,14.0,5.0,5.0,5.0,15.0,5.0,12.0,5.0
