exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,10.0,4.0,2.0,12.0,10.0,3.0
bloes,3.0,20.0,14.0,4.0,18.0,4.0,6.0,2.0,4.0,3.0,9.0,4.0,3.0,2.0,2.0,7.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,7.0
broek,3.0,14.0,20.0,3.0,5.0,7.0,2.0,7.0,11.0,3.0,11.0,5.0,2.0,6.0,2.0,9.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,10.0
das,5.0,4.0,3.0,20.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,13.0,2.0,3.0,7.0,17.0,4.0,4.0,3.0,4.0,9.0,6.0,9.0,3.0,4.0,3.0,3.0,5.0,14.0
hemd,2.0,18.0,5.0,4.0,20.0,11.0,3.0,16.0,4.0,3.0,6.0,6.0,7.0,3.0,6.0,11.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,5.0
hoed,2.0,4.0,7.0,4.0,11.0,20.0,7.0,3.0,13.0,5.0,4.0,6.0,2.0,7.0,3.0,10.0,3.0,9.0,7.0,10.0,3.0,6.0,7.0,4.0,5.0,3.0,2.0,5.0,7.0
jas,3.0,6.0,2.0,4.0,3.0,7.0,20.0,3.0,6.0,4.0,9.0,12.0,4.0,3.0,6.0,3.0,2.0,3.0,5.0,3.0,18.0,7.0,9.0,3.0,18.0,2.0,7.0,3.0,4.0
jeans,3.0,2.0,7.0,5.0,16.0,3.0,3.0,20.0,3.0,7.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0
jogging,3.0,4.0,11.0,4.0,4.0,13.0,6.0,3.0,20.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,8.0,6.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,5.0,3.0
kleed,5.0,3.0,3.0,3.0,3.0,5.0,4.0,7.0,3.0,20.0,2.0,7.0,10.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,8.0
kostuum,2.0,9.0,11.0,3.0,6.0,4.0,9.0,2.0,3.0,2.0,20.0,12.0,4.0,6.0,14.0,4.0,11.0,3.0,15.0,3.0,5.0,3.0,2.0,2.0,4.0,7.0,6.0,3.0,18.0
laarzen,3.0,4.0,5.0,13.0,6.0,6.0,12.0,3.0,4.0,7.0,12.0,20.0,2.0,2.0,14.0,2.0,2.0,6.0,3.0,14.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0
muts,2.0,3.0,2.0,2.0,7.0,2.0,4.0,3.0,4.0,10.0,4.0,2.0,20.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,6.0,5.0,2.0,3.0,12.0
pet,5.0,2.0,6.0,3.0,3.0,7.0,3.0,3.0,3.0,4.0,6.0,2.0,3.0,20.0,3.0,4.0,3.0,4.0,3.0,5.0,7.0,3.0,3.0,3.0,5.0,7.0,6.0,3.0,2.0
pyjama,3.0,2.0,2.0,7.0,6.0,3.0,6.0,3.0,5.0,3.0,14.0,14.0,5.0,3.0,20.0,3.0,10.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,16.0,6.0
riem,5.0,7.0,9.0,17.0,11.0,10.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,20.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,4.0,2.0,4.0
rok,3.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,11.0,2.0,3.0,3.0,10.0,5.0,20.0,4.0,2.0,7.0,4.0,2.0,14.0,17.0,16.0,4.0,7.0,4.0,3.0
salopet,2.0,3.0,3.0,4.0,2.0,9.0,3.0,4.0,1.0,3.0,3.0,6.0,4.0,4.0,5.0,4.0,4.0,20.0,5.0,3.0,6.0,4.0,10.0,6.0,2.0,3.0,2.0,5.0,5.0
schoenen,4.0,5.0,5.0,3.0,5.0,7.0,5.0,3.0,8.0,4.0,15.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,20.0,3.0,5.0,6.0,2.0,4.0,7.0,3.0,3.0,10.0,18.0
short,3.0,2.0,5.0,4.0,4.0,10.0,3.0,2.0,6.0,3.0,3.0,14.0,3.0,5.0,4.0,5.0,7.0,3.0,3.0,20.0,12.0,5.0,10.0,4.0,8.0,4.0,5.0,7.0,3.0
sjaal,2.0,3.0,3.0,9.0,4.0,3.0,18.0,3.0,2.0,5.0,5.0,3.0,2.0,7.0,3.0,5.0,4.0,6.0,5.0,12.0,20.0,3.0,6.0,7.0,3.0,3.0,6.0,19.0,3.0
