exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,14.0,5.0,10.0,2.0,1.0,2.0,16.0,4.0,13.0,1.0,1.0,1.0,1.0,4.0,15.0,16.0,7.0,2.0,2.0,2.0,2.0,18.0,13.0,13.0,18.0,1.0,1.0,2.0
bloes,14.0,20.0,18.0,2.0,15.0,3.0,16.0,17.0,16.0,12.0,16.0,12.0,15.0,20.0,12.0,13.0,15.0,16.0,3.0,16.0,2.0,4.0,16.0,8.0,18.0,19.0,16.0,2.0,1.0
broek,5.0,18.0,20.0,12.0,19.0,2.0,15.0,16.0,19.0,11.0,16.0,15.0,13.0,1.0,13.0,17.0,15.0,12.0,15.0,9.0,15.0,15.0,18.0,19.0,20.0,20.0,17.0,7.0,2.0
das,10.0,2.0,12.0,20.0,17.0,1.0,6.0,1.0,1.0,1.0,19.0,1.0,4.0,12.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,13.0,2.0,1.0,1.0,3.0,1.0,12.0,1.0
hemd,2.0,15.0,19.0,17.0,20.0,13.0,12.0,16.0,1.0,4.0,19.0,1.0,4.0,2.0,14.0,5.0,5.0,14.0,1.0,20.0,1.0,20.0,15.0,8.0,20.0,15.0,5.0,2.0,1.0
hoed,1.0,3.0,2.0,1.0,13.0,20.0,19.0,2.0,2.0,4.0,1.0,2.0,16.0,20.0,1.0,1.0,2.0,1.0,10.0,2.0,4.0,1.0,2.0,14.0,4.0,1.0,5.0,20.0,2.0
jas,2.0,16.0,15.0,6.0,12.0,19.0,20.0,15.0,14.0,2.0,17.0,14.0,20.0,16.0,1.0,12.0,2.0,15.0,20.0,2.0,18.0,1.0,1.0,18.0,4.0,10.0,18.0,16.0,1.0
jeans,16.0,17.0,16.0,1.0,16.0,2.0,15.0,20.0,14.0,17.0,1.0,2.0,15.0,1.0,1.0,19.0,10.0,10.0,17.0,16.0,3.0,15.0,15.0,20.0,20.0,18.0,18.0,14.0,2.0
jogging,4.0,16.0,19.0,1.0,1.0,2.0,14.0,14.0,20.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,14.0,3.0,1.0,1.0,14.0,5.0,18.0,9.0,3.0,2.0,1.0
kleed,13.0,12.0,11.0,1.0,4.0,4.0,2.0,17.0,1.0,20.0,20.0,1.0,1.0,2.0,12.0,3.0,20.0,2.0,13.0,16.0,1.0,16.0,1.0,2.0,5.0,15.0,3.0,1.0,12.0
