exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,1.0,5.0,4.0,2.0,4.0,10.0,2.0,3.0,15.0,3.0,5.0,10.0,12.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0
bloes,4.0,20.0,4.0,3.0,4.0,3.0,3.0,3.0,20.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0
broek,4.0,4.0,20.0,3.0,4.0,2.0,4.0,18.0,5.0,4.0,12.0,1.0,4.0,3.0,2.0,5.0,5.0,4.0,1.0,12.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0
das,4.0,3.0,3.0,20.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,10.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0
hemd,3.0,4.0,4.0,2.0,20.0,5.0,2.0,2.0,4.0,12.0,15.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,4.0,15.0,2.0,5.0
hoed,2.0,3.0,2.0,4.0,5.0,20.0,4.0,3.0,1.0,2.0,5.0,5.0,16.0,1.0,4.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,5.0
jas,4.0,3.0,4.0,2.0,2.0,4.0,20.0,4.0,10.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0
jeans,5.0,3.0,18.0,5.0,2.0,3.0,4.0,20.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,13.0,4.0,3.0,2.0,4.0,3.0,15.0,2.0,1.0,3.0
jogging,3.0,20.0,5.0,2.0,4.0,1.0,10.0,5.0,20.0,5.0,12.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,10.0,5.0,4.0,2.0,4.0,4.0,15.0,3.0,4.0
kleed,1.0,2.0,4.0,4.0,12.0,2.0,5.0,4.0,5.0,20.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0
kostuum,5.0,5.0,12.0,3.0,15.0,5.0,2.0,4.0,12.0,5.0,20.0,4.0,5.0,5.0,15.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,2.0
laarzen,4.0,2.0,1.0,4.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,20.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,5.0,3.0,2.0,5.0,20.0,4.0,4.0
muts,2.0,3.0,4.0,3.0,5.0,16.0,2.0,3.0,2.0,2.0,5.0,3.0,20.0,12.0,20.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
pet,4.0,3.0,3.0,10.0,3.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,12.0,20.0,2.0,3.0,2.0,3.0,2.0,20.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0
pyjama,10.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,15.0,3.0,20.0,2.0,20.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,10.0,4.0,12.0,3.0,2.0
riem,2.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,3.0,5.0,20.0,5.0,4.0,6.0,3.0,13.0,6.0,5.0,4.0,2.0,2.0,3.0,5.0,6.0
rok,3.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,20.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0
salopet,15.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,20.0,5.0,10.0,5.0,3.0,5.0,2.0,5.0,2.0,2.0,6.0,3.0
