exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0,5.0,3.0,1.0,2.0,2.0
bloes,1.0,20.0,10.0,1.0,18.0,3.0,2.0,3.0,2.0,6.0,15.0,2.0,2.0,2.0,15.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,6.0,10.0,5.0,4.0,2.0,3.0
broek,2.0,10.0,20.0,6.0,2.0,3.0,1.0,15.0,15.0,5.0,14.0,1.0,1.0,2.0,18.0,1.0,2.0,10.0,1.0,10.0,2.0,7.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0
das,4.0,1.0,6.0,20.0,4.0,2.0,2.0,3.0,4.0,4.0,15.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
hemd,3.0,18.0,2.0,4.0,20.0,2.0,3.0,1.0,2.0,2.0,10.0,2.0,2.0,2.0,12.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,15.0,2.0,3.0,2.0,2.0
hoed,2.0,3.0,3.0,2.0,2.0,20.0,1.0,1.0,1.0,5.0,3.0,4.0,15.0,15.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,2.0
jas,1.0,2.0,1.0,2.0,3.0,1.0,20.0,1.0,2.0,2.0,10.0,2.0,3.0,10.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0
jeans,2.0,3.0,15.0,3.0,1.0,1.0,1.0,20.0,12.0,5.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,10.0,1.0,14.0,2.0,5.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0
jogging,1.0,2.0,15.0,4.0,2.0,1.0,2.0,12.0,20.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,1.0,5.0,2.0,10.0,2.0,5.0,3.0,3.0,5.0,7.0,6.0,2.0,2.0
kleed,2.0,6.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,20.0,2.0,2.0,2.0,2.0,15.0,3.0,10.0,8.0,2.0,9.0,4.0,4.0,3.0,1.0,5.0,6.0,3.0,4.0,2.0
kostuum,3.0,15.0,14.0,15.0,10.0,3.0,10.0,5.0,5.0,2.0,20.0,5.0,2.0,5.0,15.0,2.0,6.0,9.0,2.0,3.0,6.0,3.0,1.0,4.0,10.0,4.0,5.0,2.0,5.0
laarzen,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,20.0,2.0,5.0,3.0,3.0,1.0,2.0,12.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
muts,1.0,2.0,1.0,4.0,2.0,15.0,3.0,2.0,2.0,2.0,2.0,2.0,20.0,15.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0
pet,2.0,2.0,2.0,2.0,2.0,15.0,10.0,2.0,2.0,2.0,5.0,5.0,15.0,20.0,3.0,3.0,10.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
pyjama,2.0,15.0,18.0,3.0,12.0,1.0,5.0,5.0,5.0,15.0,15.0,3.0,5.0,3.0,20.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,9.0,8.0,5.0,9.0,3.0,2.0
riem,2.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,20.0,4.0,9.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0
rok,1.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,1.0,10.0,6.0,1.0,2.0,10.0,2.0,4.0,20.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0
salopet,2.0,4.0,10.0,2.0,3.0,4.0,4.0,10.0,5.0,8.0,9.0,2.0,3.0,2.0,4.0,9.0,4.0,20.0,4.0,2.0,3.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0
schoenen,4.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,12.0,3.0,5.0,2.0,1.0,1.0,4.0,20.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0
short,3.0,2.0,10.0,2.0,2.0,2.0,2.0,14.0,10.0,9.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,2.0,20.0,2.0,15.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0
sjaal,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,20.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0
slip,4.0,3.0,7.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,15.0,2.0,20.0,2.0,2.0,4.0,2.0,3.0,2.0,9.0
sokken,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,20.0,2.0,4.0,3.0,1.0,2.0,2.0
sweater,3.0,6.0,2.0,2.0,7.0,2.0,4.0,10.0,3.0,1.0,4.0,2.0,2.0,2.0,9.0,2.0,2.0,6.0,1.0,2.0,3.0,2.0,2.0,20.0,9.0,10.0,15.0,2.0,2.0
t-shirt,5.0,10.0,2.0,2.0,15.0,2.0,3.0,1.0,5.0,5.0,10.0,1.0,2.0,3.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,9.0,20.0,2.0,1.0,4.0,4.0
