exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,6.0,7.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,,5.0,3.0,,3.0,1.0,1.0,2.0,3.0,7.0,2.0,2.0,3.0,1.0
anvil,6.0,20.0,15.0,2.0,2.0,2.0,2.0,3.0,8.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,,3.0,15.0,,4.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0
axe,7.0,15.0,20.0,5.0,3.0,16.0,3.0,4.0,5.0,6.0,5.0,4.0,12.0,3.0,2.0,4.0,,2.0,8.0,,5.0,1.0,5.0,7.0,7.0,3.0,2.0,1.0,3.0,3.0
chisel,4.0,2.0,5.0,20.0,3.0,8.0,6.0,4.0,9.0,16.0,3.0,7.0,7.0,3.0,2.0,4.0,,6.0,15.0,,3.0,1.0,3.0,12.0,13.0,2.0,1.0,2.0,2.0,2.0
clamp,3.0,2.0,3.0,3.0,20.0,8.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,,2.0,,,2.0,2.0,3.0,2.0,3.0,8.0,3.0,1.0,3.0,2.0
crowbar (breekijzer),2.0,2.0,16.0,8.0,8.0,20.0,17.0,3.0,4.0,11.0,5.0,6.0,7.0,3.0,2.0,4.0,,3.0,8.0,,4.0,1.0,8.0,18.0,10.0,4.0,2.0,2.0,3.0,14.0
crowbar (koevoet),2.0,2.0,3.0,6.0,3.0,17.0,20.0,4.0,6.0,4.0,2.0,6.0,7.0,1.0,1.0,2.0,,1.0,8.0,,5.0,1.0,4.0,17.0,10.0,7.0,2.0,3.0,4.0,2.0
drill,3.0,3.0,4.0,4.0,1.0,3.0,4.0,20.0,3.0,1.0,4.0,2.0,3.0,5.0,1.0,2.0,,2.0,3.0,,2.0,1.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0
file,2.0,8.0,5.0,9.0,2.0,4.0,6.0,3.0,20.0,8.0,6.0,2.0,14.0,3.0,3.0,4.0,,3.0,7.0,,3.0,1.0,8.0,5.0,4.0,3.0,2.0,3.0,9.0,3.0
filling knife,2.0,1.0,6.0,16.0,2.0,11.0,4.0,1.0,8.0,20.0,1.0,2.0,14.0,3.0,2.0,2.0,,10.0,17.0,,2.0,1.0,4.0,14.0,3.0,3.0,3.0,2.0,4.0,7.0
grinding disc,2.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,6.0,1.0,20.0,3.0,12.0,4.0,2.0,6.0,,1.0,9.0,,2.0,1.0,4.0,6.0,4.0,3.0,2.0,1.0,6.0,2.0
hammer,2.0,2.0,4.0,7.0,1.0,6.0,6.0,2.0,2.0,2.0,3.0,20.0,1.0,2.0,2.0,2.0,,2.0,5.0,,4.0,1.0,10.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0
knife,3.0,2.0,12.0,7.0,2.0,7.0,7.0,3.0,14.0,14.0,12.0,1.0,20.0,6.0,1.0,4.0,,3.0,8.0,,12.0,1.0,15.0,10.0,7.0,4.0,1.0,3.0,3.0,2.0
lawn mower,1.0,2.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,4.0,2.0,6.0,20.0,1.0,3.0,,2.0,2.0,,16.0,1.0,3.0,3.0,5.0,4.0,5.0,13.0,2.0,2.0
level,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,20.0,2.0,,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0
nail,2.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,6.0,2.0,4.0,3.0,2.0,20.0,,2.0,2.0,,3.0,1.0,2.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0
oil can,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
paint brush,5.0,3.0,2.0,6.0,2.0,3.0,1.0,2.0,3.0,10.0,1.0,2.0,3.0,2.0,1.0,2.0,,20.0,3.0,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,17.0,3.0
pickaxe,3.0,15.0,8.0,15.0,,8.0,8.0,3.0,7.0,17.0,9.0,5.0,8.0,2.0,2.0,2.0,,3.0,20.0,,8.0,1.0,4.0,4.0,8.0,3.0,2.0,3.0,3.0,2.0
plane,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
plough,3.0,4.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,4.0,12.0,16.0,1.0,3.0,,3.0,8.0,,20.0,1.0,10.0,2.0,17.0,4.0,4.0,7.0,10.0,3.0
rope,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
saw,1.0,2.0,5.0,3.0,3.0,8.0,4.0,2.0,8.0,4.0,4.0,10.0,15.0,3.0,1.0,2.0,,2.0,4.0,,10.0,1.0,20.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
screwdriver,2.0,1.0,7.0,12.0,2.0,18.0,17.0,3.0,5.0,14.0,6.0,3.0,10.0,3.0,2.0,6.0,,2.0,4.0,,2.0,2.0,3.0,20.0,5.0,3.0,1.0,2.0,2.0,12.0
shovel,3.0,3.0,7.0,13.0,3.0,10.0,10.0,5.0,4.0,3.0,4.0,3.0,7.0,5.0,1.0,1.0,,1.0,8.0,,17.0,1.0,3.0,5.0,20.0,3.0,4.0,7.0,10.0,2.0
tongs,7.0,2.0,3.0,2.0,8.0,4.0,7.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,,2.0,3.0,,4.0,1.0,2.0,3.0,3.0,20.0,2.0,2.0,6.0,16.0
vacuum cleaner,2.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,,1.0,2.0,,4.0,1.0,2.0,1.0,4.0,2.0,20.0,3.0,2.0,3.0
wheelbarrow,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,13.0,3.0,2.0,,2.0,3.0,,7.0,1.0,3.0,2.0,7.0,2.0,3.0,20.0,2.0,1.0
wire brush,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,9.0,4.0,6.0,2.0,3.0,2.0,3.0,3.0,,17.0,3.0,,10.0,1.0,3.0,2.0,10.0,6.0,2.0,2.0,20.0,3.0
wrench,1.0,2.0,3.0,2.0,2.0,14.0,2.0,2.0,3.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,,3.0,2.0,,3.0,1.0,2.0,12.0,2.0,16.0,3.0,1.0,3.0,20.0
