exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,3.0,3.0,3.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0
anvil,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
axe,3.0,3.0,20.0,3.0,3.0,13.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
chisel,3.0,3.0,3.0,20.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,6.0,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
clamp,6.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
crowbar (breekijzer),4.0,3.0,13.0,4.0,3.0,20.0,6.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0
crowbar (koevoet),4.0,3.0,5.0,3.0,3.0,6.0,20.0,3.0,3.0,3.0,3.0,7.0,3.0,2.0,3.0,3.0,4.0,3.0,8.0,3.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
drill,3.0,3.0,2.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
file,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
filling knife,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
