exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,7.0,4.0,5.0,7.0,3.0,3.0,6.0,6.0,4.0,2.0,5.0,6.0,5.0,5.0,5.0,4.0,,12.0
anvil,6.0,20.0,6.0,5.0,6.0,12.0,5.0,5.0,5.0,6.0,11.0,14.0,4.0,6.0,6.0,6.0,4.0,2.0,3.0,6.0,4.0,1.0,5.0,3.0,5.0,5.0,2.0,6.0,,3.0
axe,6.0,6.0,20.0,5.0,6.0,4.0,7.0,5.0,5.0,5.0,4.0,7.0,6.0,5.0,2.0,3.0,3.0,3.0,12.0,5.0,6.0,1.0,8.0,4.0,7.0,5.0,5.0,5.0,,5.0
chisel,6.0,5.0,5.0,20.0,5.0,10.0,7.0,5.0,9.0,6.0,8.0,8.0,8.0,3.0,5.0,9.0,4.0,5.0,7.0,9.0,6.0,2.0,4.0,8.0,5.0,5.0,2.0,5.0,,6.0
clamp,5.0,6.0,6.0,5.0,20.0,3.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,4.0,6.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,8.0,5.0,6.0,,5.0
crowbar (breekijzer),6.0,12.0,4.0,10.0,3.0,20.0,10.0,5.0,10.0,6.0,7.0,7.0,9.0,4.0,5.0,5.0,4.0,2.0,6.0,7.0,5.0,3.0,4.0,6.0,7.0,6.0,6.0,5.0,,7.0
crowbar (koevoet),6.0,5.0,7.0,7.0,6.0,10.0,20.0,6.0,7.0,7.0,5.0,8.0,6.0,5.0,4.0,2.0,4.0,3.0,6.0,6.0,7.0,1.0,6.0,7.0,6.0,5.0,5.0,5.0,,13.0
drill,3.0,5.0,5.0,5.0,5.0,5.0,6.0,20.0,3.0,4.0,5.0,7.0,4.0,6.0,2.0,4.0,6.0,2.0,5.0,5.0,7.0,2.0,5.0,6.0,4.0,5.0,6.0,5.0,,5.0
file,6.0,5.0,5.0,9.0,4.0,10.0,7.0,3.0,20.0,8.0,8.0,8.0,12.0,4.0,3.0,7.0,3.0,3.0,5.0,15.0,4.0,1.0,8.0,6.0,5.0,8.0,1.0,2.0,,10.0
filling knife,6.0,6.0,5.0,6.0,5.0,6.0,7.0,4.0,8.0,20.0,6.0,3.0,11.0,4.0,3.0,3.0,3.0,4.0,6.0,11.0,3.0,3.0,7.0,5.0,8.0,4.0,3.0,4.0,,5.0
