exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anvil,,20.0,1.0,13.0,,,4.0,1.0,2.0,,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,
axe,,1.0,20.0,10.0,,,12.0,1.0,12.0,,10.0,18.0,14.0,1.0,1.0,6.0,1.0,5.0,16.0,,5.0,1.0,12.0,2.0,10.0,3.0,1.0,1.0,3.0,
chisel,,13.0,10.0,20.0,,,18.0,13.0,17.0,,8.0,8.0,14.0,1.0,3.0,14.0,1.0,7.0,11.0,,4.0,1.0,6.0,7.0,11.0,9.0,1.0,1.0,8.0,
clamp,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (breekijzer),,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (koevoet),,4.0,12.0,18.0,,,20.0,10.0,9.0,,1.0,11.0,10.0,1.0,1.0,12.0,1.0,1.0,15.0,,3.0,1.0,5.0,10.0,9.0,13.0,1.0,1.0,1.0,
drill,,1.0,1.0,13.0,,,10.0,20.0,6.0,,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,6.0,,3.0,1.0,4.0,8.0,4.0,1.0,1.0,1.0,5.0,
file,,2.0,12.0,17.0,,,9.0,6.0,20.0,,14.0,4.0,18.0,1.0,2.0,10.0,1.0,13.0,11.0,,4.0,1.0,8.0,15.0,7.0,2.0,1.0,1.0,3.0,
filling knife,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
grinding disc,,2.0,10.0,8.0,,,1.0,5.0,14.0,,20.0,1.0,8.0,1.0,,1.0,1.0,1.0,4.0,,1.0,1.0,13.0,1.0,10.0,1.0,1.0,1.0,1.0,
hammer,,1.0,18.0,8.0,,,11.0,1.0,4.0,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,6.0,14.0,,1.0,1.0,3.0,8.0,8.0,3.0,1.0,1.0,3.0,
knife,,1.0,14.0,14.0,,,10.0,5.0,18.0,,8.0,1.0,20.0,1.0,2.0,7.0,1.0,1.0,6.0,,1.0,1.0,15.0,13.0,1.0,4.0,1.0,1.0,3.0,
lawn mower,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,1.0,
level,,7.0,1.0,3.0,,,1.0,1.0,2.0,,,1.0,2.0,1.0,20.0,1.0,1.0,1.0,5.0,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,
nail,,1.0,6.0,14.0,,,12.0,5.0,10.0,,1.0,1.0,7.0,1.0,1.0,20.0,1.0,3.0,9.0,1.0,5.0,1.0,4.0,13.0,3.0,2.0,1.0,1.0,4.0,
