exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,6.0,9.0,6.0,15.0,11.0,6.0,4.0,8.0,11.0,6.0,6.0,11.0,7.0,8.0,4.0,,3.0,11.0,4.0,6.0,2.0,8.0,15.0,7.0,13.0,3.0,6.0,8.0,
anvil,6.0,20.0,6.0,7.0,5.0,11.0,6.0,4.0,3.0,3.0,3.0,4.0,7.0,2.0,4.0,7.0,,5.0,6.0,3.0,6.0,1.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,
axe,9.0,6.0,20.0,16.0,3.0,16.0,17.0,7.0,8.0,8.0,5.0,9.0,14.0,4.0,5.0,8.0,,11.0,15.0,9.0,6.0,2.0,12.0,6.0,11.0,12.0,4.0,4.0,6.0,
chisel,6.0,7.0,16.0,20.0,11.0,16.0,19.0,6.0,16.0,14.0,3.0,13.0,14.0,4.0,8.0,6.0,,8.0,18.0,5.0,3.0,2.0,6.0,8.0,6.0,16.0,3.0,4.0,7.0,
clamp,15.0,5.0,3.0,11.0,20.0,2.0,3.0,3.0,3.0,7.0,6.0,3.0,5.0,2.0,5.0,4.0,,6.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,4.0,8.0,4.0,3.0,
crowbar (breekijzer),11.0,11.0,16.0,16.0,2.0,20.0,17.0,8.0,12.0,13.0,15.0,12.0,17.0,6.0,7.0,5.0,,7.0,17.0,13.0,3.0,3.0,6.0,8.0,10.0,12.0,6.0,6.0,7.0,
crowbar (koevoet),6.0,6.0,17.0,19.0,3.0,17.0,20.0,14.0,8.0,7.0,7.0,13.0,12.0,4.0,5.0,3.0,,7.0,17.0,10.0,6.0,4.0,8.0,9.0,6.0,12.0,5.0,6.0,6.0,
drill,4.0,4.0,7.0,6.0,3.0,8.0,14.0,20.0,7.0,8.0,13.0,5.0,7.0,5.0,7.0,17.0,,7.0,6.0,4.0,6.0,1.0,12.0,14.0,6.0,5.0,2.0,5.0,4.0,
file,8.0,3.0,8.0,16.0,3.0,12.0,8.0,7.0,20.0,18.0,17.0,7.0,14.0,6.0,6.0,4.0,,9.0,8.0,14.0,6.0,3.0,12.0,7.0,7.0,9.0,2.0,2.0,11.0,
filling knife,11.0,3.0,8.0,14.0,7.0,13.0,7.0,8.0,18.0,20.0,15.0,6.0,14.0,1.0,2.0,12.0,,14.0,12.0,13.0,4.0,2.0,7.0,9.0,12.0,8.0,7.0,4.0,9.0,
grinding disc,6.0,3.0,5.0,3.0,6.0,15.0,7.0,13.0,17.0,15.0,20.0,9.0,16.0,10.0,7.0,8.0,,6.0,8.0,13.0,9.0,3.0,9.0,8.0,7.0,10.0,13.0,7.0,9.0,
hammer,6.0,4.0,9.0,13.0,3.0,12.0,13.0,5.0,7.0,6.0,9.0,20.0,6.0,4.0,4.0,4.0,,8.0,8.0,4.0,4.0,2.0,3.0,9.0,7.0,1.0,6.0,6.0,13.0,
knife,11.0,7.0,14.0,14.0,5.0,17.0,12.0,7.0,14.0,14.0,16.0,6.0,20.0,15.0,4.0,6.0,,7.0,5.0,11.0,5.0,1.0,14.0,10.0,7.0,17.0,3.0,3.0,12.0,
lawn mower,7.0,2.0,4.0,4.0,2.0,6.0,4.0,5.0,6.0,1.0,10.0,4.0,15.0,20.0,8.0,4.0,,8.0,4.0,16.0,14.0,1.0,11.0,8.0,12.0,5.0,12.0,13.0,3.0,
level,8.0,4.0,5.0,8.0,5.0,7.0,5.0,7.0,6.0,2.0,7.0,4.0,4.0,8.0,20.0,4.0,,9.0,4.0,7.0,6.0,2.0,5.0,4.0,5.0,6.0,6.0,5.0,12.0,
nail,4.0,7.0,8.0,6.0,4.0,5.0,3.0,17.0,4.0,12.0,8.0,4.0,6.0,4.0,4.0,20.0,,9.0,6.0,6.0,8.0,3.0,4.0,12.0,9.0,4.0,3.0,1.0,7.0,
oil can,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
paint brush,3.0,5.0,11.0,8.0,6.0,7.0,7.0,7.0,9.0,14.0,6.0,8.0,7.0,8.0,9.0,9.0,,20.0,9.0,7.0,4.0,5.0,4.0,9.0,10.0,7.0,3.0,6.0,17.0,
pickaxe,11.0,6.0,15.0,18.0,4.0,17.0,17.0,6.0,8.0,12.0,8.0,8.0,5.0,4.0,4.0,6.0,,9.0,20.0,10.0,14.0,3.0,7.0,11.0,8.0,17.0,4.0,9.0,7.0,
plane,4.0,3.0,9.0,5.0,3.0,13.0,10.0,4.0,14.0,13.0,13.0,4.0,11.0,16.0,7.0,6.0,,7.0,10.0,20.0,6.0,3.0,,6.0,7.0,6.0,15.0,4.0,7.0,
plough,6.0,6.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,4.0,9.0,4.0,5.0,14.0,6.0,8.0,,4.0,14.0,6.0,20.0,1.0,6.0,7.0,13.0,9.0,13.0,7.0,7.0,
rope,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,,5.0,3.0,3.0,1.0,20.0,1.0,3.0,2.0,5.0,6.0,1.0,4.0,
saw,8.0,5.0,12.0,6.0,3.0,6.0,8.0,12.0,12.0,7.0,9.0,3.0,14.0,11.0,5.0,4.0,,4.0,7.0,,6.0,1.0,20.0,3.0,6.0,5.0,4.0,3.0,7.0,
screwdriver,15.0,3.0,6.0,8.0,3.0,8.0,9.0,14.0,7.0,9.0,8.0,9.0,10.0,8.0,4.0,12.0,,9.0,11.0,6.0,7.0,3.0,3.0,20.0,5.0,7.0,7.0,4.0,6.0,
shovel,7.0,3.0,11.0,6.0,6.0,10.0,6.0,6.0,7.0,12.0,7.0,7.0,7.0,12.0,5.0,9.0,,10.0,8.0,7.0,13.0,2.0,6.0,5.0,20.0,5.0,6.0,6.0,6.0,
tongs,13.0,4.0,12.0,16.0,4.0,12.0,12.0,5.0,9.0,8.0,10.0,1.0,17.0,5.0,6.0,4.0,,7.0,17.0,6.0,9.0,5.0,5.0,7.0,5.0,20.0,3.0,3.0,4.0,
vacuum cleaner,3.0,3.0,4.0,3.0,8.0,6.0,5.0,2.0,2.0,7.0,13.0,6.0,3.0,12.0,6.0,3.0,,3.0,4.0,15.0,13.0,6.0,4.0,7.0,6.0,3.0,20.0,13.0,4.0,
wheelbarrow,6.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,2.0,4.0,7.0,6.0,3.0,13.0,5.0,1.0,,6.0,9.0,4.0,7.0,1.0,3.0,4.0,6.0,3.0,13.0,20.0,2.0,
wire brush,8.0,4.0,6.0,7.0,3.0,7.0,6.0,4.0,11.0,9.0,9.0,13.0,12.0,3.0,12.0,7.0,,17.0,7.0,7.0,7.0,4.0,7.0,6.0,6.0,4.0,4.0,2.0,20.0,
wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
