exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,6.0,5.0,3.0,4.0,5.0,3.0,7.0,4.0,10.0,2.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,8.0,9.0,5.0,2.0,3.0,15.0,2.0,4.0,3.0,2.0,3.0,17.0
anvil,6.0,20.0,9.0,8.0,10.0,13.0,10.0,3.0,2.0,4.0,11.0,5.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,6.0,10.0,2.0,8.0,4.0,3.0,5.0,1.0,9.0,3.0,6.0
axe,5.0,9.0,20.0,12.0,5.0,2.0,14.0,5.0,3.0,9.0,6.0,13.0,5.0,9.0,3.0,6.0,2.0,3.0,7.0,4.0,3.0,9.0,6.0,10.0,6.0,5.0,2.0,3.0,4.0,9.0
chisel,3.0,8.0,12.0,20.0,2.0,13.0,14.0,3.0,6.0,7.0,4.0,12.0,4.0,9.0,5.0,5.0,5.0,3.0,11.0,14.0,6.0,2.0,6.0,6.0,10.0,3.0,3.0,2.0,8.0,7.0
clamp,4.0,10.0,5.0,2.0,20.0,9.0,5.0,8.0,5.0,6.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,8.0,10.0,7.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,5.0,5.0
crowbar (breekijzer),5.0,13.0,2.0,13.0,9.0,20.0,15.0,2.0,9.0,6.0,9.0,9.0,5.0,4.0,3.0,2.0,3.0,3.0,9.0,8.0,7.0,4.0,9.0,6.0,2.0,13.0,2.0,7.0,5.0,5.0
crowbar (koevoet),3.0,10.0,14.0,14.0,5.0,15.0,20.0,6.0,4.0,4.0,7.0,10.0,10.0,7.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,10.0,5.0,5.0,7.0,3.0,7.0,2.0,2.0
drill,7.0,3.0,5.0,3.0,8.0,2.0,6.0,20.0,9.0,5.0,15.0,8.0,7.0,3.0,10.0,2.0,5.0,3.0,6.0,2.0,3.0,2.0,8.0,18.0,3.0,5.0,2.0,3.0,5.0,2.0
file,4.0,2.0,3.0,6.0,5.0,9.0,4.0,9.0,20.0,2.0,13.0,5.0,7.0,4.0,5.0,8.0,3.0,5.0,12.0,16.0,3.0,8.0,9.0,8.0,4.0,3.0,2.0,2.0,16.0,13.0
filling knife,10.0,4.0,9.0,7.0,6.0,6.0,4.0,5.0,2.0,20.0,3.0,7.0,10.0,3.0,8.0,4.0,6.0,5.0,13.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0
grinding disc,2.0,11.0,6.0,4.0,3.0,9.0,7.0,15.0,13.0,3.0,20.0,5.0,8.0,10.0,4.0,13.0,2.0,2.0,11.0,12.0,3.0,3.0,9.0,12.0,6.0,3.0,2.0,4.0,10.0,6.0
hammer,5.0,5.0,13.0,12.0,3.0,9.0,10.0,8.0,5.0,7.0,5.0,20.0,11.0,2.0,5.0,9.0,4.0,3.0,6.0,6.0,11.0,9.0,10.0,5.0,11.0,6.0,2.0,9.0,3.0,2.0
knife,5.0,3.0,5.0,4.0,2.0,5.0,10.0,7.0,7.0,10.0,8.0,11.0,20.0,2.0,5.0,5.0,2.0,5.0,10.0,9.0,10.0,4.0,13.0,7.0,10.0,5.0,2.0,2.0,4.0,3.0
lawn mower,2.0,5.0,9.0,9.0,3.0,4.0,7.0,3.0,4.0,3.0,10.0,2.0,2.0,20.0,2.0,2.0,3.0,3.0,4.0,6.0,9.0,2.0,3.0,3.0,10.0,2.0,4.0,3.0,8.0,3.0
level,6.0,5.0,3.0,5.0,5.0,3.0,4.0,10.0,5.0,8.0,4.0,5.0,5.0,2.0,20.0,4.0,3.0,5.0,4.0,2.0,2.0,10.0,2.0,2.0,10.0,3.0,3.0,7.0,5.0,2.0
nail,2.0,3.0,6.0,5.0,3.0,2.0,2.0,2.0,8.0,4.0,13.0,9.0,5.0,2.0,4.0,20.0,4.0,2.0,4.0,5.0,3.0,7.0,3.0,2.0,7.0,5.0,2.0,2.0,5.0,5.0
oil can,3.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,3.0,6.0,2.0,4.0,2.0,3.0,3.0,4.0,20.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0
paint brush,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,3.0,5.0,2.0,2.0,20.0,3.0,13.0,8.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,10.0,3.0
pickaxe,8.0,4.0,7.0,11.0,8.0,9.0,3.0,6.0,12.0,13.0,11.0,6.0,10.0,4.0,4.0,4.0,3.0,3.0,20.0,10.0,5.0,5.0,3.0,8.0,6.0,3.0,5.0,8.0,6.0,6.0
plane,9.0,6.0,4.0,14.0,10.0,8.0,3.0,2.0,16.0,2.0,12.0,6.0,9.0,6.0,2.0,5.0,4.0,13.0,10.0,20.0,3.0,4.0,2.0,13.0,5.0,4.0,4.0,4.0,17.0,7.0
plough,5.0,10.0,3.0,6.0,7.0,7.0,2.0,3.0,3.0,3.0,3.0,11.0,10.0,9.0,2.0,3.0,3.0,8.0,5.0,3.0,20.0,4.0,10.0,2.0,7.0,3.0,2.0,9.0,4.0,8.0
rope,2.0,2.0,9.0,2.0,2.0,4.0,2.0,2.0,8.0,2.0,3.0,9.0,4.0,2.0,10.0,7.0,3.0,2.0,5.0,4.0,4.0,20.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,8.0
saw,3.0,8.0,6.0,6.0,4.0,9.0,10.0,8.0,9.0,2.0,9.0,10.0,13.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,10.0,2.0,20.0,10.0,12.0,5.0,2.0,8.0,8.0,5.0
screwdriver,15.0,4.0,10.0,6.0,3.0,6.0,5.0,18.0,8.0,2.0,12.0,5.0,7.0,3.0,2.0,2.0,2.0,5.0,8.0,13.0,2.0,2.0,10.0,20.0,2.0,5.0,2.0,3.0,5.0,14.0
shovel,2.0,3.0,6.0,10.0,4.0,2.0,5.0,3.0,4.0,4.0,6.0,11.0,10.0,10.0,10.0,7.0,2.0,2.0,6.0,5.0,7.0,2.0,12.0,2.0,20.0,7.0,2.0,6.0,9.0,3.0
tongs,4.0,5.0,5.0,3.0,4.0,13.0,7.0,5.0,3.0,5.0,3.0,6.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,7.0,20.0,2.0,2.0,8.0,3.0
vacuum cleaner,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,3.0,2.0
