exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
knife,7.0,6.0,10.0,12.0,1.0,15.0,8.0,3.0,14.0,15.0,8.0,5.0,20.0,7.0,5.0,6.0,2.0,5.0,5.0,8.0,6.0,4.0,9.0,6.0,4.0,4.0,1.0,1.0,7.0,6.0
lawn mower,1.0,1.0,4.0,3.0,2.0,3.0,2.0,6.0,3.0,4.0,5.0,2.0,7.0,20.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0
level,5.0,4.0,2.0,5.0,3.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,1.0,20.0,6.0,1.0,5.0,2.0,5.0,3.0,1.0,5.0,2.0,2.0,5.0,1.0,1.0,3.0,5.0
nail,10.0,3.0,3.0,12.0,3.0,4.0,7.0,5.0,10.0,5.0,2.0,4.0,6.0,1.0,6.0,20.0,1.0,4.0,3.0,3.0,5.0,1.0,4.0,5.0,5.0,3.0,3.0,2.0,9.0,7.0
oil can,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
paint brush,5.0,3.0,5.0,12.0,2.0,4.0,4.0,2.0,4.0,6.0,1.0,3.0,5.0,1.0,5.0,4.0,2.0,20.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,6.0,2.0
pickaxe,5.0,4.0,14.0,5.0,2.0,3.0,6.0,6.0,4.0,4.0,3.0,8.0,5.0,2.0,2.0,3.0,1.0,2.0,20.0,4.0,4.0,3.0,4.0,7.0,6.0,4.0,1.0,1.0,5.0,3.0
plane,6.0,6.0,3.0,6.0,4.0,7.0,5.0,3.0,15.0,10.0,12.0,3.0,8.0,2.0,5.0,3.0,1.0,4.0,4.0,20.0,3.0,2.0,5.0,4.0,2.0,6.0,1.0,2.0,5.0,6.0
plough,3.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,6.0,5.0,3.0,5.0,1.0,2.0,4.0,3.0,20.0,1.0,4.0,5.0,6.0,1.0,1.0,8.0,6.0,3.0
rope,5.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,20.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
saw,3.0,2.0,5.0,4.0,2.0,5.0,7.0,3.0,6.0,8.0,12.0,3.0,9.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,2.0,20.0,4.0,3.0,3.0,1.0,2.0,5.0,4.0
screwdriver,7.0,2.0,6.0,6.0,2.0,9.0,4.0,13.0,5.0,7.0,5.0,5.0,6.0,3.0,2.0,5.0,3.0,2.0,7.0,4.0,5.0,2.0,4.0,20.0,3.0,7.0,1.0,3.0,6.0,7.0
shovel,3.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,7.0,5.0,5.0,4.0,4.0,2.0,2.0,5.0,2.0,1.0,6.0,2.0,6.0,1.0,3.0,3.0,20.0,2.0,1.0,2.0,4.0,3.0
tongs,17.0,5.0,4.0,7.0,10.0,6.0,12.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,1.0,2.0,3.0,7.0,2.0,20.0,1.0,2.0,9.0,12.0
vacuum cleaner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
wheelbarrow,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,1.0,20.0,2.0,1.0
wire brush,10.0,4.0,3.0,12.0,1.0,5.0,11.0,6.0,7.0,6.0,3.0,5.0,7.0,5.0,3.0,9.0,2.0,6.0,5.0,5.0,6.0,1.0,5.0,6.0,4.0,9.0,1.0,2.0,20.0,2.0
wrench,15.0,3.0,3.0,8.0,2.0,5.0,11.0,3.0,4.0,9.0,4.0,4.0,6.0,2.0,5.0,7.0,2.0,2.0,3.0,6.0,3.0,1.0,4.0,7.0,3.0,12.0,1.0,1.0,2.0,20.0
