exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,6.0,6.0,3.0,6.0,15.0,12.0,6.0,4.0,7.0,6.0,10.0,8.0,5.0,6.0,12.0,4.0,7.0,3.0,10.0,3.0,6.0,6.0,15.0,6.0,17.0,7.0,8.0,9.0,3.0
anvil,6.0,20.0,10.0,6.0,2.0,12.0,4.0,3.0,5.0,4.0,6.0,6.0,1.0,1.0,8.0,2.0,10.0,3.0,10.0,9.0,3.0,3.0,2.0,14.0,4.0,10.0,10.0,4.0,6.0,10.0
axe,6.0,10.0,20.0,10.0,6.0,4.0,3.0,6.0,5.0,4.0,4.0,9.0,2.0,15.0,5.0,2.0,4.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,9.0,6.0
chisel,3.0,6.0,10.0,20.0,12.0,9.0,5.0,1.0,8.0,8.0,8.0,15.0,9.0,2.0,2.0,9.0,6.0,6.0,14.0,6.0,13.0,4.0,6.0,7.0,12.0,4.0,1.0,3.0,3.0,15.0
clamp,6.0,2.0,6.0,12.0,20.0,3.0,9.0,16.0,6.0,10.0,12.0,4.0,5.0,6.0,13.0,5.0,2.0,12.0,12.0,5.0,6.0,6.0,8.0,1.0,3.0,1.0,8.0,4.0,10.0,5.0
crowbar (breekijzer),15.0,12.0,4.0,9.0,3.0,20.0,19.0,5.0,12.0,7.0,8.0,2.0,6.0,6.0,2.0,14.0,3.0,5.0,9.0,7.0,2.0,1.0,2.0,6.0,6.0,10.0,1.0,6.0,15.0,16.0
crowbar (koevoet),12.0,4.0,3.0,5.0,9.0,19.0,20.0,11.0,13.0,14.0,5.0,2.0,3.0,3.0,13.0,2.0,4.0,2.0,2.0,8.0,12.0,4.0,5.0,8.0,7.0,2.0,7.0,5.0,15.0,5.0
drill,6.0,3.0,6.0,1.0,16.0,5.0,11.0,20.0,2.0,11.0,6.0,6.0,3.0,6.0,14.0,6.0,1.0,5.0,6.0,12.0,12.0,6.0,4.0,7.0,10.0,3.0,4.0,1.0,6.0,3.0
file,4.0,5.0,5.0,8.0,6.0,12.0,13.0,2.0,20.0,3.0,2.0,8.0,3.0,2.0,6.0,15.0,13.0,8.0,8.0,13.0,7.0,3.0,6.0,2.0,12.0,5.0,11.0,9.0,3.0,10.0
filling knife,7.0,4.0,4.0,8.0,10.0,7.0,14.0,11.0,3.0,20.0,5.0,3.0,15.0,3.0,16.0,3.0,3.0,10.0,5.0,9.0,2.0,1.0,3.0,4.0,15.0,2.0,17.0,1.0,1.0,5.0
grinding disc,6.0,6.0,4.0,8.0,12.0,8.0,5.0,6.0,2.0,5.0,20.0,3.0,4.0,11.0,2.0,9.0,1.0,5.0,3.0,15.0,4.0,11.0,3.0,5.0,2.0,5.0,15.0,8.0,12.0,9.0
hammer,10.0,6.0,9.0,15.0,4.0,2.0,2.0,6.0,8.0,3.0,3.0,20.0,9.0,1.0,4.0,2.0,7.0,3.0,10.0,13.0,2.0,2.0,12.0,5.0,7.0,2.0,2.0,4.0,5.0,15.0
