exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,,1.0,15.0,,13.0,18.0,6.0,9.0,6.0,1.0,5.0,6.0,1.0,8.0,1.0,,6.0,15.0,,1.0,1.0,1.0,15.0,2.0,6.0,1.0,1.0,,17.0
anvil,,20.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
axe,1.0,,20.0,9.0,,8.0,15.0,8.0,2.0,6.0,3.0,8.0,13.0,1.0,4.0,1.0,,5.0,,,5.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,,3.0
chisel,15.0,,9.0,20.0,,9.0,10.0,4.0,14.0,14.0,5.0,13.0,16.0,2.0,4.0,8.0,,15.0,16.0,,1.0,1.0,3.0,16.0,1.0,14.0,1.0,1.0,,10.0
clamp,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (breekijzer),13.0,,8.0,9.0,,20.0,16.0,6.0,4.0,3.0,6.0,15.0,10.0,1.0,10.0,1.0,,3.0,15.0,,,1.0,8.0,4.0,3.0,6.0,1.0,3.0,,6.0
crowbar (koevoet),18.0,,15.0,10.0,,16.0,20.0,,5.0,5.0,4.0,15.0,8.0,3.0,17.0,1.0,,6.0,4.0,,2.0,1.0,1.0,1.0,7.0,,5.0,1.0,,19.0
drill,6.0,,8.0,4.0,,6.0,,20.0,7.0,3.0,12.0,6.0,1.0,1.0,1.0,1.0,,3.0,1.0,,3.0,1.0,15.0,5.0,5.0,5.0,1.0,2.0,,4.0
file,9.0,,2.0,14.0,,4.0,5.0,7.0,20.0,12.0,7.0,2.0,18.0,1.0,3.0,1.0,,9.0,6.0,,1.0,1.0,3.0,7.0,1.0,14.0,1.0,2.0,,6.0
filling knife,6.0,,6.0,14.0,,3.0,5.0,3.0,12.0,20.0,7.0,4.0,6.0,1.0,8.0,1.0,,15.0,16.0,,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,,1.0
grinding disc,1.0,,3.0,5.0,,6.0,4.0,12.0,7.0,7.0,20.0,1.0,6.0,1.0,8.0,1.0,,1.0,1.0,,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,,1.0
hammer,5.0,,8.0,13.0,,15.0,15.0,6.0,2.0,4.0,1.0,20.0,3.0,2.0,6.0,1.0,,7.0,9.0,,2.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,,7.0
knife,6.0,,13.0,16.0,,10.0,8.0,1.0,18.0,6.0,6.0,3.0,20.0,1.0,1.0,3.0,,4.0,8.0,,6.0,1.0,5.0,15.0,4.0,8.0,1.0,1.0,1.0,6.0
lawn mower,1.0,,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,,1.0,1.0,,8.0,1.0,1.0,1.0,3.0,2.0,1.0,8.0,,1.0
level,8.0,,4.0,4.0,,10.0,17.0,1.0,3.0,8.0,8.0,6.0,1.0,1.0,20.0,1.0,,1.0,,,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,6.0
nail,1.0,,1.0,8.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,20.0,,5.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0
oil can,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
paint brush,6.0,,5.0,15.0,,3.0,6.0,3.0,9.0,15.0,1.0,7.0,4.0,1.0,1.0,5.0,,20.0,9.0,,1.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,,5.0
pickaxe,15.0,,,16.0,,15.0,4.0,1.0,6.0,16.0,1.0,9.0,8.0,1.0,,1.0,,9.0,20.0,,1.0,2.0,4.0,8.0,6.0,,1.0,3.0,,3.0
plane,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
plough,1.0,,5.0,1.0,,,2.0,3.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,1.0,,1.0,1.0,,20.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0
rope,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
saw,1.0,,6.0,3.0,,8.0,1.0,15.0,3.0,2.0,3.0,6.0,5.0,1.0,5.0,1.0,,1.0,4.0,,1.0,1.0,20.0,1.0,3.0,6.0,2.0,1.0,,3.0
screwdriver,15.0,,1.0,16.0,,4.0,1.0,5.0,7.0,3.0,3.0,1.0,15.0,1.0,2.0,3.0,,6.0,8.0,,1.0,1.0,1.0,20.0,1.0,8.0,1.0,1.0,,16.0
shovel,2.0,,2.0,1.0,,3.0,7.0,5.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,,2.0,6.0,,1.0,1.0,3.0,1.0,20.0,2.0,13.0,7.0,,3.0
tongs,6.0,,2.0,14.0,,6.0,,5.0,14.0,4.0,1.0,8.0,8.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,6.0,8.0,2.0,20.0,1.0,1.0,,15.0
vacuum cleaner,1.0,,1.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,1.0,13.0,1.0,20.0,6.0,,1.0
wheelbarrow,1.0,,3.0,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,,1.0,3.0,,3.0,1.0,1.0,1.0,7.0,1.0,6.0,20.0,,1.0
wire brush,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,20.0,
wrench,17.0,,3.0,10.0,,6.0,19.0,4.0,6.0,1.0,1.0,7.0,6.0,1.0,6.0,1.0,,5.0,3.0,,1.0,1.0,3.0,16.0,3.0,15.0,1.0,1.0,,20.0
