exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,15.0,16.0,16.0,15.0,17.0,15.0,14.0,14.0,16.0,14.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,17.0,14.0,17.0,14.0,15.0,15.0,19.0
anvil,15.0,20.0,15.0,16.0,15.0,17.0,17.0,14.0,15.0,16.0,15.0,17.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,16.0
axe,16.0,15.0,20.0,17.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,17.0,17.0,14.0,15.0,15.0,15.0,16.0,17.0,16.0,15.0,14.0,14.0,15.0,16.0,16.0,14.0,15.0,15.0,15.0
chisel,16.0,16.0,17.0,20.0,16.0,15.0,14.0,14.0,16.0,15.0,16.0,17.0,17.0,14.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,17.0,14.0,14.0,15.0,17.0
clamp,15.0,15.0,15.0,16.0,20.0,14.0,15.0,12.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0
crowbar (breekijzer),17.0,17.0,16.0,15.0,14.0,20.0,18.0,14.0,16.0,15.0,14.0,15.0,15.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,15.0,16.0,16.0,16.0,14.0,15.0,14.0,15.0
crowbar (koevoet),15.0,17.0,15.0,14.0,15.0,18.0,20.0,14.0,15.0,15.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,14.0,18.0,16.0,15.0,14.0,15.0,15.0,16.0,15.0,14.0,16.0,15.0,15.0
drill,14.0,14.0,15.0,14.0,12.0,14.0,14.0,20.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0
file,14.0,15.0,15.0,16.0,15.0,16.0,15.0,14.0,20.0,16.0,16.0,15.0,18.0,14.0,14.0,16.0,14.0,16.0,16.0,18.0,9.0,15.0,15.0,16.0,15.0,16.0,15.0,14.0,17.0,15.0
filling knife,16.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,20.0,14.0,14.0,18.0,14.0,16.0,15.0,14.0,16.0,15.0,16.0,15.0,13.0,16.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0
grinding disc,14.0,15.0,14.0,16.0,14.0,14.0,14.0,14.0,16.0,14.0,20.0,14.0,16.0,15.0,15.0,14.0,14.0,14.0,15.0,16.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0
hammer,16.0,17.0,17.0,17.0,15.0,15.0,16.0,16.0,15.0,14.0,14.0,20.0,15.0,15.0,15.0,15.0,14.0,16.0,16.0,14.0,15.0,14.0,16.0,16.0,15.0,16.0,14.0,14.0,15.0,14.0
knife,16.0,15.0,17.0,17.0,15.0,15.0,16.0,14.0,18.0,18.0,16.0,15.0,20.0,16.0,16.0,16.0,14.0,15.0,16.0,16.0,13.0,15.0,16.0,16.0,16.0,15.0,14.0,14.0,16.0,16.0
lawn mower,15.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,20.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0
level,15.0,15.0,15.0,15.0,15.0,16.0,15.0,14.0,14.0,16.0,15.0,15.0,16.0,14.0,20.0,15.0,14.0,15.0,15.0,14.0,13.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,15.0,14.0
nail,15.0,14.0,15.0,16.0,14.0,15.0,15.0,14.0,16.0,15.0,14.0,15.0,16.0,14.0,15.0,20.0,15.0,15.0,12.0,15.0,15.0,13.0,13.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0
oil can,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,20.0,15.0,14.0,15.0,11.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0
paint brush,14.0,15.0,16.0,15.0,15.0,15.0,14.0,14.0,16.0,16.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,14.0,14.0,18.0,15.0
pickaxe,15.0,15.0,17.0,16.0,16.0,15.0,18.0,14.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,12.0,14.0,15.0,20.0,15.0,11.0,15.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,14.0
plane,14.0,15.0,16.0,16.0,16.0,15.0,16.0,14.0,18.0,16.0,16.0,14.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0
plough,14.0,15.0,15.0,16.0,14.0,14.0,15.0,14.0,9.0,15.0,15.0,15.0,13.0,14.0,13.0,15.0,11.0,15.0,11.0,15.0,20.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0
rope,14.0,14.0,14.0,15.0,15.0,13.0,14.0,13.0,15.0,13.0,14.0,14.0,15.0,15.0,15.0,13.0,15.0,15.0,15.0,15.0,15.0,20.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0
saw,14.0,15.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,16.0,16.0,14.0,15.0,13.0,15.0,14.0,15.0,17.0,15.0,14.0,20.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0
screwdriver,17.0,15.0,15.0,16.0,15.0,16.0,15.0,15.0,16.0,15.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,14.0,14.0,15.0,15.0
shovel,14.0,16.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,14.0,15.0,15.0,20.0,15.0,14.0,15.0,13.0,14.0
tongs,17.0,15.0,16.0,17.0,16.0,16.0,15.0,14.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,20.0,14.0,15.0,15.0,16.0
vacuum cleaner,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,20.0,14.0,14.0,14.0
wheelbarrow,15.0,14.0,15.0,14.0,15.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,14.0,14.0,15.0,15.0,14.0,20.0,15.0,15.0
wire brush,15.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,17.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,16.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,14.0,15.0,20.0,15.0
wrench,19.0,16.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,14.0,14.0,15.0,15.0,15.0,14.0,16.0,14.0,15.0,15.0,15.0,14.0,16.0,14.0,15.0,15.0,20.0
