exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,3.0,2.0,15.0,,15.0,11.0,1.0,9.0,15.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,15.0,14.0,1.0,2.0,1.0,6.0,18.0,3.0,12.0,1.0,1.0,5.0,18.0
anvil,3.0,20.0,3.0,2.0,,1.0,5.0,2.0,2.0,2.0,3.0,11.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,2.0
axe,2.0,3.0,20.0,15.0,,15.0,17.0,5.0,15.0,15.0,2.0,12.0,15.0,3.0,5.0,8.0,1.0,5.0,17.0,14.0,15.0,1.0,12.0,5.0,15.0,8.0,1.0,5.0,12.0,5.0
chisel,15.0,2.0,15.0,20.0,,13.0,15.0,12.0,15.0,15.0,5.0,6.0,14.0,2.0,10.0,14.0,1.0,11.0,15.0,11.0,15.0,1.0,17.0,15.0,2.0,11.0,1.0,11.0,9.0,15.0
clamp,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (breekijzer),15.0,1.0,15.0,13.0,,20.0,18.0,2.0,12.0,5.0,3.0,5.0,6.0,2.0,6.0,6.0,1.0,12.0,18.0,14.0,2.0,1.0,2.0,15.0,1.0,15.0,1.0,1.0,1.0,15.0
crowbar (koevoet),11.0,5.0,17.0,15.0,,18.0,20.0,5.0,18.0,15.0,11.0,12.0,15.0,1.0,9.0,15.0,2.0,11.0,15.0,5.0,2.0,1.0,2.0,18.0,2.0,15.0,1.0,1.0,3.0,15.0
drill,1.0,2.0,5.0,12.0,,2.0,5.0,20.0,6.0,2.0,16.0,1.0,11.0,1.0,1.0,15.0,1.0,2.0,11.0,8.0,2.0,1.0,1.0,11.0,5.0,3.0,1.0,3.0,3.0,5.0
file,9.0,2.0,15.0,15.0,,12.0,18.0,6.0,20.0,15.0,15.0,7.0,18.0,1.0,1.0,15.0,1.0,6.0,15.0,18.0,2.0,1.0,15.0,14.0,8.0,15.0,1.0,1.0,5.0,15.0
filling knife,15.0,2.0,15.0,15.0,,5.0,15.0,2.0,15.0,20.0,2.0,2.0,18.0,3.0,5.0,12.0,1.0,5.0,15.0,5.0,2.0,1.0,11.0,12.0,17.0,3.0,1.0,1.0,4.0,12.0
grinding disc,2.0,3.0,2.0,5.0,,3.0,11.0,16.0,15.0,2.0,20.0,2.0,5.0,11.0,2.0,5.0,1.0,3.0,5.0,18.0,9.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0
hammer,1.0,11.0,12.0,6.0,,5.0,12.0,1.0,7.0,2.0,2.0,20.0,12.0,2.0,2.0,15.0,1.0,5.0,5.0,2.0,1.0,1.0,12.0,5.0,2.0,15.0,1.0,1.0,2.0,1.0
knife,2.0,2.0,15.0,14.0,,6.0,15.0,11.0,18.0,18.0,5.0,12.0,20.0,6.0,2.0,15.0,1.0,1.0,11.0,15.0,15.0,1.0,18.0,15.0,2.0,11.0,1.0,1.0,5.0,6.0
lawn mower,1.0,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,3.0,11.0,2.0,6.0,20.0,1.0,1.0,1.0,1.0,12.0,1.0,15.0,1.0,1.0,1.0,3.0,1.0,13.0,15.0,1.0,1.0
level,3.0,1.0,5.0,10.0,,6.0,9.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,20.0,5.0,1.0,1.0,2.0,14.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
nail,5.0,2.0,8.0,14.0,,6.0,15.0,15.0,15.0,12.0,5.0,15.0,15.0,1.0,5.0,20.0,1.0,11.0,15.0,12.0,2.0,2.0,8.0,15.0,11.0,5.0,1.0,1.0,2.0,13.0
oil can,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,12.0,1.0,1.0,1.0,1.0,1.0
paint brush,15.0,1.0,5.0,11.0,,12.0,11.0,2.0,6.0,5.0,3.0,5.0,1.0,1.0,1.0,11.0,1.0,20.0,11.0,1.0,2.0,1.0,6.0,12.0,1.0,1.0,2.0,1.0,15.0,15.0
pickaxe,14.0,1.0,17.0,15.0,,18.0,15.0,11.0,15.0,15.0,5.0,5.0,11.0,12.0,2.0,15.0,2.0,11.0,20.0,5.0,1.0,1.0,5.0,15.0,2.0,5.0,1.0,1.0,15.0,
plane,1.0,2.0,14.0,11.0,,14.0,5.0,8.0,18.0,5.0,18.0,2.0,15.0,1.0,14.0,12.0,1.0,1.0,5.0,20.0,2.0,3.0,15.0,2.0,2.0,2.0,2.0,3.0,17.0,2.0
plough,2.0,1.0,15.0,15.0,,2.0,2.0,2.0,2.0,2.0,9.0,1.0,15.0,15.0,1.0,2.0,3.0,2.0,1.0,2.0,20.0,1.0,2.0,2.0,15.0,1.0,1.0,1.0,2.0,1.0
rope,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
saw,6.0,1.0,12.0,17.0,,2.0,2.0,1.0,15.0,11.0,5.0,12.0,18.0,1.0,8.0,8.0,1.0,6.0,5.0,15.0,2.0,1.0,20.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0
screwdriver,18.0,1.0,5.0,15.0,,15.0,18.0,11.0,14.0,12.0,1.0,5.0,15.0,1.0,2.0,15.0,5.0,12.0,15.0,2.0,2.0,1.0,1.0,20.0,5.0,1.0,1.0,1.0,5.0,15.0
shovel,3.0,1.0,15.0,2.0,,1.0,2.0,5.0,8.0,17.0,1.0,2.0,2.0,3.0,1.0,11.0,12.0,1.0,2.0,2.0,15.0,1.0,1.0,5.0,20.0,2.0,2.0,1.0,2.0,2.0
tongs,12.0,2.0,8.0,11.0,,15.0,15.0,3.0,15.0,3.0,2.0,15.0,11.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,1.0,2.0,20.0,1.0,1.0,5.0,5.0
vacuum cleaner,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,15.0,1.0,1.0
wheelbarrow,1.0,1.0,5.0,11.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,20.0,3.0,1.0
wire brush,5.0,11.0,12.0,9.0,,1.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,15.0,15.0,17.0,2.0,1.0,5.0,5.0,2.0,5.0,1.0,3.0,20.0,4.0
wrench,18.0,2.0,5.0,15.0,,15.0,15.0,5.0,15.0,12.0,5.0,1.0,6.0,1.0,2.0,13.0,1.0,15.0,,2.0,1.0,1.0,5.0,15.0,2.0,5.0,1.0,1.0,4.0,20.0
