exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,2.0,14.0,3.0,11.0,14.0,15.0,5.0,1.0,2.0,13.0,1.0,2.0,17.0,14.0,15.0,2.0,3.0,3.0,1.0,2.0,15.0,3.0,17.0,4.0,5.0,2.0,2.0,13.0,2.0
boot,2.0,20.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,14.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,9.0,11.0
bromfiets,14.0,2.0,20.0,19.0,6.0,2.0,4.0,6.0,1.0,7.0,13.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,19.0,1.0,7.0,2.0,6.0,10.0,3.0,1.0,4.0,2.0,3.0,2.0
brommer,3.0,1.0,19.0,20.0,2.0,3.0,6.0,2.0,2.0,14.0,11.0,3.0,3.0,8.0,2.0,4.0,1.0,2.0,18.0,4.0,13.0,8.0,7.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0
bus,11.0,2.0,6.0,2.0,20.0,17.0,15.0,12.0,3.0,1.0,2.0,6.0,2.0,4.0,4.0,15.0,1.0,11.0,3.0,1.0,2.0,3.0,1.0,2.0,10.0,17.0,14.0,11.0,13.0,10.0
camion,14.0,5.0,2.0,3.0,17.0,20.0,14.0,12.0,2.0,2.0,6.0,2.0,14.0,12.0,12.0,12.0,2.0,15.0,3.0,4.0,1.0,4.0,1.0,10.0,9.0,9.0,14.0,3.0,20.0,6.0
camionette,15.0,3.0,4.0,6.0,15.0,14.0,20.0,7.0,1.0,2.0,1.0,3.0,2.0,3.0,9.0,12.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,11.0,5.0,8.0,9.0,2.0,17.0,1.0
caravan,5.0,2.0,6.0,2.0,12.0,12.0,7.0,20.0,2.0,4.0,2.0,1.0,5.0,4.0,14.0,15.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,11.0,1.0,11.0,4.0
duikboot,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,20.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0
fiets,2.0,1.0,7.0,14.0,1.0,2.0,2.0,4.0,1.0,20.0,15.0,3.0,2.0,2.0,4.0,14.0,1.0,1.0,5.0,2.0,4.0,11.0,15.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
gocart,13.0,2.0,13.0,11.0,2.0,6.0,1.0,2.0,1.0,15.0,20.0,2.0,1.0,11.0,5.0,14.0,1.0,2.0,12.0,1.0,12.0,12.0,15.0,5.0,12.0,1.0,4.0,1.0,13.0,1.0
helikopter,1.0,2.0,2.0,3.0,6.0,2.0,3.0,1.0,1.0,3.0,2.0,20.0,14.0,3.0,1.0,2.0,13.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,2.0,5.0
hovercraft,2.0,14.0,1.0,3.0,2.0,14.0,2.0,5.0,3.0,2.0,1.0,14.0,20.0,2.0,3.0,2.0,9.0,9.0,2.0,1.0,3.0,10.0,2.0,2.0,1.0,3.0,2.0,9.0,4.0,14.0
jeep,17.0,1.0,3.0,8.0,4.0,12.0,3.0,4.0,3.0,2.0,11.0,3.0,2.0,20.0,11.0,10.0,1.0,1.0,11.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,2.0,1.0,12.0,2.0
kar,14.0,1.0,4.0,2.0,4.0,12.0,9.0,14.0,2.0,4.0,5.0,1.0,3.0,11.0,20.0,16.0,1.0,3.0,2.0,1.0,4.0,12.0,4.0,8.0,3.0,11.0,9.0,1.0,17.0,3.0
koets,15.0,2.0,3.0,4.0,15.0,12.0,12.0,15.0,1.0,14.0,14.0,2.0,2.0,10.0,16.0,20.0,1.0,11.0,2.0,1.0,2.0,14.0,3.0,17.0,3.0,15.0,15.0,2.0,14.0,10.0
luchtballon,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,13.0,9.0,1.0,1.0,1.0,20.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,19.0
metrostel,3.0,5.0,2.0,2.0,11.0,15.0,6.0,11.0,2.0,1.0,2.0,1.0,9.0,1.0,3.0,11.0,3.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,19.0,17.0,1.0,2.0,2.0
moto,3.0,1.0,19.0,18.0,3.0,3.0,1.0,1.0,1.0,5.0,12.0,2.0,2.0,11.0,2.0,2.0,1.0,2.0,20.0,2.0,9.0,2.0,3.0,9.0,9.0,2.0,1.0,1.0,3.0,3.0
raket,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,20.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0
skateboard,2.0,4.0,7.0,13.0,2.0,1.0,1.0,1.0,1.0,4.0,12.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,9.0,1.0,20.0,11.0,15.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
slede,15.0,4.0,2.0,8.0,3.0,4.0,1.0,1.0,2.0,11.0,12.0,1.0,10.0,3.0,12.0,14.0,1.0,1.0,2.0,1.0,11.0,20.0,12.0,14.0,3.0,4.0,4.0,1.0,3.0,4.0
step,3.0,1.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,15.0,15.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,15.0,12.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
taxi,17.0,2.0,10.0,2.0,2.0,10.0,11.0,2.0,1.0,3.0,5.0,1.0,2.0,5.0,8.0,17.0,1.0,1.0,9.0,2.0,1.0,14.0,1.0,20.0,2.0,2.0,3.0,3.0,13.0,3.0
tractor,4.0,2.0,3.0,4.0,10.0,9.0,5.0,2.0,1.0,2.0,12.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,9.0,2.0,3.0,3.0,2.0,2.0,20.0,2.0,14.0,2.0,15.0,9.0
tram,5.0,2.0,1.0,2.0,17.0,9.0,8.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,11.0,15.0,1.0,19.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,20.0,18.0,8.0,9.0,11.0
trein,2.0,1.0,4.0,2.0,14.0,14.0,9.0,11.0,1.0,2.0,4.0,1.0,2.0,2.0,9.0,15.0,1.0,17.0,1.0,1.0,1.0,4.0,1.0,3.0,14.0,18.0,20.0,2.0,13.0,4.0
vliegtuig,2.0,1.0,2.0,3.0,11.0,3.0,2.0,1.0,1.0,2.0,1.0,11.0,9.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,8.0,2.0,20.0,12.0,17.0
vrachtwagen,13.0,9.0,3.0,3.0,13.0,20.0,17.0,11.0,3.0,1.0,13.0,2.0,4.0,12.0,17.0,14.0,9.0,2.0,3.0,4.0,1.0,3.0,1.0,13.0,15.0,9.0,13.0,12.0,20.0,3.0
zeppelin,2.0,11.0,2.0,2.0,10.0,6.0,1.0,4.0,4.0,1.0,1.0,5.0,14.0,2.0,3.0,10.0,19.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,9.0,11.0,4.0,17.0,3.0,20.0
