exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,5.0,7.0,8.0,9.0,10.0,13.0,12.0,6.0,9.0,13.0,7.0,5.0,14.0,13.0,11.0,5.0,5.0,6.0,4.0,7.0,6.0,6.0,17.0,11.0,6.0,6.0,3.0,10.0,4.0
boot,5.0,20.0,5.0,4.0,6.0,6.0,5.0,6.0,13.0,5.0,5.0,6.0,12.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,1.0,4.0,8.0,4.0,3.0,5.0,6.0,9.0,5.0
bromfiets,7.0,5.0,20.0,19.0,7.0,9.0,5.0,6.0,6.0,11.0,10.0,6.0,4.0,7.0,9.0,6.0,6.0,6.0,15.0,5.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0
brommer,8.0,4.0,19.0,20.0,7.0,7.0,7.0,9.0,5.0,12.0,6.0,6.0,4.0,5.0,9.0,4.0,5.0,5.0,19.0,6.0,7.0,2.0,8.0,9.0,10.0,8.0,7.0,6.0,5.0,4.0
bus,9.0,6.0,7.0,7.0,20.0,12.0,11.0,11.0,6.0,9.0,8.0,5.0,5.0,8.0,7.0,6.0,6.0,9.0,8.0,7.0,4.0,7.0,5.0,10.0,7.0,10.0,6.0,7.0,11.0,5.0
camion,10.0,6.0,9.0,7.0,12.0,20.0,16.0,9.0,5.0,5.0,7.0,5.0,5.0,12.0,9.0,5.0,7.0,5.0,4.0,3.0,4.0,6.0,3.0,9.0,13.0,7.0,9.0,5.0,20.0,6.0
camionette,13.0,5.0,5.0,7.0,11.0,16.0,20.0,8.0,4.0,5.0,7.0,6.0,5.0,12.0,9.0,8.0,5.0,8.0,6.0,2.0,4.0,5.0,5.0,7.0,7.0,6.0,7.0,2.0,16.0,5.0
caravan,12.0,6.0,6.0,9.0,11.0,9.0,8.0,20.0,7.0,7.0,7.0,5.0,6.0,8.0,8.0,10.0,3.0,8.0,6.0,5.0,6.0,8.0,3.0,6.0,8.0,2.0,5.0,7.0,10.0,7.0
duikboot,6.0,13.0,6.0,5.0,6.0,5.0,4.0,7.0,20.0,4.0,4.0,5.0,10.0,9.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,7.0,6.0,5.0,4.0,5.0
fiets,9.0,5.0,11.0,12.0,9.0,5.0,5.0,7.0,4.0,20.0,12.0,4.0,2.0,6.0,10.0,9.0,4.0,7.0,13.0,4.0,11.0,6.0,15.0,3.0,5.0,6.0,8.0,4.0,8.0,6.0
gocart,13.0,5.0,10.0,6.0,8.0,7.0,7.0,7.0,4.0,12.0,20.0,5.0,4.0,8.0,11.0,16.0,5.0,9.0,6.0,4.0,7.0,9.0,11.0,9.0,8.0,8.0,6.0,5.0,9.0,6.0
helikopter,7.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,20.0,7.0,7.0,5.0,3.0,11.0,6.0,5.0,11.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,12.0,12.0,11.0
