exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,6.0,5.0,8.0,12.0,4.0,11.0,8.0,6.0,8.0,9.0,6.0,5.0,18.0,8.0,8.0,3.0,8.0,12.0,3.0,2.0,4.0,4.0,18.0,8.0,7.0,8.0,9.0,16.0,4.0
boot,6.0,20.0,1.0,2.0,6.0,8.0,5.0,3.0,10.0,7.0,1.0,8.0,12.0,8.0,9.0,3.0,6.0,4.0,3.0,8.0,2.0,2.0,1.0,4.0,2.0,5.0,8.0,10.0,4.0,9.0
bromfiets,5.0,1.0,20.0,16.0,6.0,8.0,7.0,3.0,4.0,15.0,5.0,5.0,3.0,8.0,3.0,6.0,2.0,4.0,18.0,2.0,4.0,6.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0,5.0
brommer,8.0,2.0,16.0,20.0,8.0,6.0,6.0,3.0,2.0,13.0,5.0,4.0,3.0,6.0,5.0,8.0,2.0,3.0,18.0,1.0,6.0,3.0,6.0,5.0,7.0,4.0,6.0,4.0,5.0,2.0
bus,12.0,6.0,6.0,8.0,20.0,15.0,12.0,5.0,2.0,6.0,3.0,6.0,8.0,7.0,4.0,3.0,2.0,5.0,5.0,11.0,2.0,2.0,6.0,14.0,7.0,12.0,11.0,11.0,14.0,2.0
camion,4.0,8.0,8.0,6.0,15.0,20.0,15.0,13.0,8.0,4.0,6.0,3.0,4.0,9.0,8.0,8.0,3.0,4.0,7.0,4.0,1.0,3.0,2.0,7.0,10.0,6.0,5.0,8.0,19.0,9.0
camionette,11.0,5.0,7.0,6.0,12.0,15.0,20.0,13.0,8.0,6.0,4.0,5.0,6.0,15.0,8.0,9.0,6.0,2.0,3.0,6.0,3.0,6.0,1.0,12.0,10.0,5.0,6.0,7.0,13.0,4.0
caravan,8.0,3.0,3.0,3.0,5.0,13.0,13.0,20.0,6.0,8.0,2.0,8.0,4.0,6.0,6.0,2.0,7.0,5.0,2.0,4.0,2.0,3.0,3.0,7.0,7.0,6.0,5.0,4.0,6.0,2.0
duikboot,6.0,10.0,4.0,2.0,2.0,8.0,8.0,6.0,20.0,1.0,2.0,4.0,8.0,7.0,1.0,3.0,2.0,8.0,3.0,6.0,5.0,2.0,1.0,6.0,2.0,1.0,2.0,6.0,6.0,4.0
fiets,8.0,7.0,15.0,13.0,6.0,4.0,6.0,8.0,1.0,20.0,12.0,3.0,2.0,6.0,4.0,3.0,4.0,5.0,15.0,2.0,5.0,9.0,11.0,2.0,4.0,3.0,7.0,2.0,4.0,4.0
gocart,9.0,1.0,5.0,5.0,3.0,6.0,4.0,2.0,2.0,12.0,20.0,3.0,2.0,4.0,8.0,3.0,1.0,2.0,8.0,1.0,11.0,8.0,7.0,5.0,2.0,2.0,5.0,4.0,5.0,1.0
helikopter,6.0,8.0,5.0,4.0,6.0,3.0,5.0,8.0,4.0,3.0,3.0,20.0,4.0,5.0,1.0,2.0,11.0,5.0,8.0,11.0,4.0,1.0,1.0,6.0,6.0,7.0,6.0,13.0,6.0,14.0
hovercraft,5.0,12.0,3.0,3.0,8.0,4.0,6.0,4.0,8.0,2.0,2.0,4.0,20.0,3.0,1.0,3.0,15.0,2.0,3.0,5.0,5.0,7.0,1.0,6.0,4.0,2.0,6.0,8.0,6.0,9.0
jeep,18.0,8.0,8.0,6.0,7.0,9.0,15.0,6.0,7.0,6.0,4.0,5.0,3.0,20.0,5.0,8.0,1.0,6.0,9.0,3.0,3.0,6.0,6.0,10.0,8.0,5.0,11.0,8.0,12.0,1.0
kar,8.0,9.0,3.0,5.0,4.0,8.0,8.0,6.0,1.0,4.0,8.0,1.0,1.0,5.0,20.0,18.0,4.0,1.0,4.0,2.0,6.0,13.0,2.0,8.0,5.0,5.0,4.0,2.0,9.0,2.0
koets,8.0,3.0,6.0,8.0,3.0,8.0,9.0,2.0,3.0,3.0,3.0,2.0,3.0,8.0,18.0,20.0,2.0,4.0,4.0,2.0,6.0,12.0,2.0,7.0,8.0,10.0,6.0,5.0,6.0,2.0
luchtballon,3.0,6.0,2.0,2.0,2.0,3.0,6.0,7.0,2.0,4.0,1.0,11.0,15.0,1.0,4.0,2.0,20.0,3.0,4.0,11.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,12.0,7.0,17.0
