exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,11.0,17.0,18.0,19.0,18.0,19.0,15.0,6.0,15.0,16.0,8.0,6.0,20.0,14.0,16.0,4.0,12.0,18.0,8.0,14.0,15.0,15.0,19.0,18.0,15.0,18.0,11.0,19.0,12.0
boot,11.0,20.0,5.0,11.0,14.0,11.0,6.0,14.0,12.0,8.0,2.0,3.0,19.0,10.0,9.0,7.0,8.0,7.0,4.0,4.0,6.0,4.0,4.0,2.0,6.0,5.0,9.0,8.0,11.0,9.0
bromfiets,17.0,5.0,20.0,19.0,14.0,14.0,11.0,11.0,6.0,19.0,12.0,6.0,5.0,13.0,12.0,14.0,7.0,5.0,18.0,7.0,13.0,6.0,16.0,14.0,14.0,9.0,5.0,8.0,12.0,2.0
brommer,18.0,11.0,19.0,20.0,14.0,13.0,11.0,7.0,6.0,19.0,14.0,9.0,7.0,14.0,12.0,13.0,9.0,10.0,19.0,4.0,11.0,8.0,14.0,15.0,15.0,12.0,8.0,9.0,11.0,9.0
bus,19.0,14.0,14.0,14.0,20.0,16.0,15.0,17.0,8.0,14.0,11.0,8.0,10.0,15.0,12.0,14.0,8.0,12.0,12.0,5.0,11.0,9.0,10.0,17.0,15.0,17.0,16.0,14.0,17.0,12.0
camion,18.0,11.0,14.0,13.0,16.0,20.0,19.0,17.0,9.0,11.0,9.0,7.0,8.0,17.0,15.0,13.0,6.0,9.0,12.0,5.0,12.0,6.0,6.0,13.0,14.0,12.0,9.0,7.0,18.0,4.0
camionette,19.0,6.0,11.0,11.0,15.0,19.0,20.0,16.0,4.0,12.0,12.0,8.0,4.0,18.0,16.0,14.0,7.0,13.0,12.0,2.0,9.0,5.0,12.0,16.0,17.0,13.0,9.0,14.0,18.0,6.0
caravan,15.0,14.0,11.0,7.0,17.0,17.0,16.0,20.0,4.0,12.0,13.0,6.0,8.0,14.0,14.0,16.0,6.0,11.0,11.0,4.0,8.0,7.0,8.0,14.0,13.0,11.0,12.0,8.0,14.0,6.0
duikboot,6.0,12.0,6.0,6.0,8.0,9.0,4.0,4.0,20.0,2.0,6.0,8.0,16.0,7.0,8.0,6.0,3.0,8.0,7.0,5.0,8.0,5.0,7.0,7.0,6.0,9.0,5.0,6.0,8.0,5.0
fiets,15.0,8.0,19.0,19.0,14.0,11.0,12.0,12.0,2.0,20.0,18.0,7.0,6.0,14.0,14.0,18.0,7.0,11.0,18.0,9.0,17.0,6.0,17.0,14.0,12.0,13.0,11.0,8.0,12.0,4.0
gocart,16.0,2.0,12.0,14.0,11.0,9.0,12.0,13.0,6.0,18.0,20.0,7.0,4.0,15.0,14.0,6.0,8.0,8.0,8.0,4.0,11.0,14.0,12.0,12.0,11.0,12.0,7.0,2.0,13.0,7.0
helikopter,8.0,3.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,7.0,20.0,4.0,5.0,7.0,7.0,15.0,5.0,8.0,17.0,4.0,8.0,3.0,7.0,4.0,8.0,6.0,19.0,8.0,15.0
hovercraft,6.0,19.0,5.0,7.0,10.0,8.0,4.0,8.0,16.0,6.0,4.0,4.0,20.0,5.0,12.0,8.0,8.0,8.0,7.0,7.0,5.0,8.0,5.0,3.0,5.0,12.0,6.0,9.0,2.0,12.0
jeep,20.0,10.0,13.0,14.0,15.0,17.0,18.0,14.0,7.0,14.0,15.0,5.0,5.0,20.0,13.0,13.0,8.0,11.0,14.0,8.0,11.0,7.0,9.0,18.0,15.0,9.0,13.0,8.0,7.0,3.0
kar,14.0,9.0,12.0,12.0,12.0,15.0,16.0,14.0,8.0,14.0,14.0,7.0,12.0,13.0,20.0,18.0,4.0,12.0,16.0,6.0,11.0,14.0,11.0,14.0,14.0,13.0,14.0,9.0,14.0,5.0
koets,16.0,7.0,14.0,13.0,14.0,13.0,14.0,16.0,6.0,18.0,6.0,7.0,8.0,13.0,18.0,20.0,12.0,15.0,12.0,8.0,8.0,9.0,12.0,17.0,14.0,15.0,12.0,9.0,14.0,8.0
luchtballon,4.0,8.0,7.0,9.0,8.0,6.0,7.0,6.0,3.0,7.0,8.0,15.0,8.0,8.0,4.0,12.0,20.0,8.0,4.0,16.0,4.0,6.0,7.0,8.0,7.0,7.0,4.0,16.0,9.0,19.0
metrostel,12.0,7.0,5.0,10.0,12.0,9.0,13.0,11.0,8.0,11.0,8.0,5.0,8.0,11.0,12.0,15.0,8.0,20.0,3.0,3.0,4.0,5.0,8.0,13.0,7.0,19.0,16.0,8.0,11.0,8.0
moto,18.0,4.0,18.0,19.0,12.0,12.0,12.0,11.0,7.0,18.0,8.0,8.0,7.0,14.0,16.0,12.0,4.0,3.0,20.0,4.0,12.0,9.0,17.0,14.0,14.0,5.0,7.0,9.0,15.0,4.0
raket,8.0,4.0,7.0,4.0,5.0,5.0,2.0,4.0,5.0,9.0,4.0,17.0,7.0,8.0,6.0,8.0,16.0,3.0,4.0,20.0,2.0,2.0,3.0,7.0,4.0,8.0,6.0,16.0,5.0,15.0
skateboard,14.0,6.0,13.0,11.0,11.0,12.0,9.0,8.0,8.0,17.0,11.0,4.0,5.0,11.0,11.0,8.0,4.0,4.0,12.0,2.0,20.0,16.0,18.0,11.0,6.0,3.0,2.0,5.0,12.0,4.0
slede,15.0,4.0,6.0,8.0,9.0,6.0,5.0,7.0,5.0,6.0,14.0,8.0,8.0,7.0,14.0,9.0,6.0,5.0,9.0,2.0,16.0,20.0,11.0,9.0,4.0,8.0,12.0,2.0,8.0,4.0
step,15.0,4.0,16.0,14.0,10.0,6.0,12.0,8.0,7.0,17.0,12.0,3.0,5.0,9.0,11.0,12.0,7.0,8.0,17.0,3.0,18.0,11.0,20.0,8.0,8.0,8.0,9.0,4.0,4.0,4.0
taxi,19.0,2.0,14.0,15.0,17.0,13.0,16.0,14.0,7.0,14.0,12.0,7.0,3.0,18.0,14.0,17.0,8.0,13.0,14.0,7.0,11.0,9.0,8.0,20.0,12.0,12.0,15.0,8.0,11.0,5.0
tractor,18.0,6.0,14.0,15.0,15.0,14.0,17.0,13.0,6.0,12.0,11.0,4.0,5.0,15.0,14.0,14.0,7.0,7.0,14.0,4.0,6.0,4.0,8.0,12.0,20.0,12.0,11.0,8.0,18.0,7.0
tram,15.0,5.0,9.0,12.0,17.0,12.0,13.0,11.0,9.0,13.0,12.0,8.0,12.0,9.0,13.0,15.0,7.0,19.0,5.0,8.0,3.0,8.0,8.0,12.0,12.0,20.0,19.0,11.0,12.0,4.0
trein,18.0,9.0,5.0,8.0,16.0,9.0,9.0,12.0,5.0,11.0,7.0,6.0,6.0,13.0,14.0,12.0,4.0,16.0,7.0,6.0,2.0,12.0,9.0,15.0,11.0,19.0,20.0,14.0,14.0,8.0
vliegtuig,11.0,8.0,8.0,9.0,14.0,7.0,14.0,8.0,6.0,8.0,2.0,19.0,9.0,8.0,9.0,9.0,16.0,8.0,9.0,16.0,5.0,2.0,4.0,8.0,8.0,11.0,14.0,20.0,8.0,16.0
vrachtwagen,19.0,11.0,12.0,11.0,17.0,18.0,18.0,14.0,8.0,12.0,13.0,8.0,2.0,7.0,14.0,14.0,9.0,11.0,15.0,5.0,12.0,8.0,4.0,11.0,18.0,12.0,14.0,8.0,20.0,11.0
zeppelin,12.0,9.0,2.0,9.0,12.0,4.0,6.0,6.0,5.0,4.0,7.0,15.0,12.0,3.0,5.0,8.0,19.0,8.0,4.0,15.0,4.0,4.0,4.0,5.0,7.0,4.0,8.0,16.0,11.0,20.0
