exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,13.0,16.0,15.0,16.0,17.0,16.0,18.0,14.0,16.0,18.0,13.0,13.0,17.0,15.0,17.0,13.0,16.0,15.0,13.0,13.0,15.0,14.0,19.0,17.0,16.0,15.0,15.0,16.0,14.0
boot,13.0,20.0,14.0,13.0,14.0,14.0,14.0,13.0,18.0,13.0,13.0,13.0,18.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,13.0
bromfiets,16.0,14.0,20.0,19.0,15.0,14.0,15.0,14.0,14.0,18.0,16.0,14.0,14.0,16.0,14.0,15.0,14.0,14.0,18.0,14.0,13.0,13.0,14.0,16.0,16.0,13.0,15.0,13.0,15.0,14.0
brommer,15.0,13.0,19.0,20.0,14.0,15.0,15.0,15.0,14.0,16.0,15.0,14.0,13.0,14.0,14.0,13.0,14.0,15.0,19.0,13.0,14.0,1.0,13.0,14.0,15.0,15.0,14.0,13.0,15.0,14.0
bus,16.0,14.0,15.0,14.0,20.0,16.0,17.0,16.0,13.0,15.0,14.0,14.0,14.0,16.0,14.0,16.0,14.0,15.0,16.0,13.0,13.0,14.0,14.0,16.0,15.0,16.0,17.0,13.0,17.0,14.0
camion,17.0,14.0,14.0,15.0,16.0,20.0,19.0,16.0,14.0,15.0,16.0,14.0,14.0,16.0,15.0,14.0,14.0,14.0,15.0,14.0,13.0,14.0,14.0,15.0,16.0,14.0,15.0,13.0,20.0,13.0
camionette,16.0,14.0,15.0,15.0,17.0,19.0,20.0,17.0,13.0,14.0,14.0,14.0,13.0,17.0,16.0,17.0,14.0,15.0,14.0,13.0,14.0,13.0,14.0,16.0,17.0,15.0,14.0,14.0,18.0,13.0
caravan,18.0,13.0,14.0,15.0,16.0,16.0,17.0,20.0,14.0,14.0,14.0,13.0,13.0,14.0,16.0,18.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,17.0,14.0,14.0,14.0,16.0,14.0
duikboot,14.0,18.0,14.0,14.0,13.0,14.0,13.0,14.0,20.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,13.0
fiets,16.0,13.0,18.0,16.0,15.0,15.0,14.0,14.0,14.0,20.0,16.0,13.0,14.0,13.0,16.0,15.0,14.0,14.0,17.0,13.0,14.0,14.0,18.0,13.0,15.0,15.0,14.0,14.0,14.0,14.0
gocart,18.0,13.0,16.0,15.0,14.0,16.0,14.0,14.0,14.0,16.0,20.0,13.0,12.0,14.0,16.0,17.0,14.0,15.0,13.0,14.0,18.0,17.0,17.0,14.0,13.0,15.0,14.0,14.0,13.0,13.0
helikopter,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,20.0,16.0,14.0,14.0,13.0,17.0,14.0,14.0,17.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,18.0,14.0,17.0
hovercraft,13.0,18.0,14.0,13.0,14.0,14.0,13.0,13.0,15.0,14.0,12.0,16.0,20.0,14.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0
jeep,17.0,14.0,16.0,14.0,16.0,16.0,17.0,14.0,14.0,13.0,14.0,14.0,14.0,20.0,14.0,16.0,13.0,15.0,16.0,14.0,13.0,13.0,13.0,16.0,18.0,15.0,14.0,14.0,17.0,14.0
kar,15.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,14.0,16.0,16.0,14.0,13.0,14.0,20.0,18.0,14.0,15.0,15.0,12.0,16.0,17.0,16.0,14.0,17.0,15.0,14.0,13.0,13.0,14.0
koets,17.0,14.0,15.0,13.0,16.0,14.0,17.0,18.0,14.0,15.0,17.0,13.0,13.0,16.0,18.0,20.0,15.0,16.0,14.0,14.0,16.0,17.0,16.0,14.0,16.0,16.0,15.0,14.0,16.0,14.0
luchtballon,13.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,17.0,14.0,13.0,14.0,15.0,20.0,13.0,13.0,17.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,17.0,14.0,19.0
metrostel,16.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,15.0,15.0,16.0,13.0,20.0,15.0,14.0,14.0,13.0,14.0,14.0,15.0,18.0,19.0,13.0,15.0,14.0
moto,15.0,14.0,18.0,19.0,16.0,15.0,14.0,15.0,14.0,17.0,13.0,14.0,14.0,16.0,15.0,14.0,13.0,15.0,20.0,14.0,15.0,15.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0
raket,13.0,14.0,14.0,13.0,13.0,14.0,13.0,14.0,13.0,13.0,14.0,17.0,13.0,14.0,12.0,14.0,17.0,14.0,14.0,20.0,13.0,13.0,14.0,13.0,13.0,14.0,13.0,18.0,14.0,16.0
skateboard,13.0,13.0,13.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,18.0,13.0,13.0,13.0,16.0,16.0,14.0,14.0,15.0,13.0,20.0,17.0,17.0,14.0,14.0,13.0,14.0,14.0,13.0,13.0
slede,15.0,14.0,13.0,1.0,14.0,14.0,13.0,14.0,13.0,14.0,17.0,13.0,14.0,13.0,17.0,17.0,14.0,13.0,15.0,13.0,17.0,20.0,17.0,14.0,13.0,14.0,14.0,13.0,14.0,14.0
step,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,13.0,18.0,17.0,13.0,14.0,13.0,16.0,16.0,13.0,14.0,16.0,14.0,17.0,17.0,20.0,13.0,14.0,15.0,13.0,14.0,14.0,11.0
taxi,19.0,14.0,16.0,14.0,16.0,15.0,16.0,13.0,13.0,13.0,14.0,14.0,13.0,16.0,14.0,14.0,13.0,14.0,15.0,13.0,14.0,14.0,13.0,20.0,14.0,15.0,14.0,15.0,16.0,14.0
tractor,17.0,14.0,16.0,15.0,15.0,16.0,17.0,17.0,13.0,15.0,13.0,14.0,14.0,18.0,17.0,16.0,14.0,15.0,15.0,13.0,14.0,13.0,14.0,14.0,20.0,15.0,15.0,13.0,16.0,14.0
tram,16.0,14.0,13.0,15.0,16.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,14.0,18.0,14.0,14.0,13.0,14.0,15.0,15.0,15.0,20.0,18.0,13.0,15.0,1.0
trein,15.0,14.0,15.0,14.0,17.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,19.0,14.0,13.0,14.0,14.0,13.0,14.0,15.0,18.0,20.0,13.0,14.0,14.0
vliegtuig,15.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0,18.0,14.0,14.0,13.0,14.0,17.0,13.0,14.0,18.0,14.0,13.0,14.0,15.0,13.0,13.0,13.0,20.0,14.0,18.0
vrachtwagen,16.0,14.0,15.0,15.0,17.0,20.0,18.0,16.0,13.0,14.0,13.0,14.0,13.0,17.0,13.0,16.0,14.0,15.0,14.0,14.0,13.0,14.0,14.0,16.0,16.0,15.0,14.0,14.0,20.0,13.0
zeppelin,14.0,13.0,14.0,14.0,14.0,13.0,13.0,14.0,13.0,14.0,13.0,17.0,14.0,14.0,14.0,14.0,19.0,14.0,15.0,16.0,13.0,14.0,11.0,14.0,14.0,1.0,14.0,18.0,13.0,20.0
