exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,8.0,10.0,10.0,13.0,12.0,16.0,10.0,6.0,8.0,12.0,7.0,6.0,16.0,7.0,12.0,5.0,10.0,9.0,5.0,6.0,6.0,8.0,17.0,11.0,1.0,8.0,8.0,13.0,5.0
boot,8.0,20.0,6.0,9.0,9.0,8.0,6.0,8.0,15.0,6.0,7.0,7.0,16.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,8.0,7.0,7.0,11.0,8.0,8.0,7.0
bromfiets,10.0,6.0,20.0,18.0,9.0,8.0,8.0,6.0,7.0,13.0,8.0,8.0,5.0,9.0,6.0,8.0,8.0,6.0,16.0,5.0,8.0,7.0,12.0,7.0,8.0,8.0,7.0,6.0,10.0,7.0
brommer,10.0,9.0,18.0,20.0,9.0,8.0,10.0,7.0,6.0,12.0,6.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,18.0,6.0,8.0,7.0,11.0,9.0,9.0,10.0,9.0,8.0,8.0,6.0
bus,13.0,9.0,9.0,9.0,20.0,14.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,11.0,9.0,7.0,7.0,13.0,9.0,6.0,6.0,6.0,8.0,12.0,10.0,14.0,14.0,10.0,12.0,6.0
camion,12.0,8.0,8.0,8.0,14.0,20.0,17.0,9.0,7.0,7.0,6.0,7.0,8.0,13.0,9.0,11.0,8.0,7.0,10.0,5.0,6.0,5.0,9.0,12.0,12.0,8.0,9.0,8.0,19.0,6.0
camionette,16.0,6.0,8.0,10.0,8.0,17.0,20.0,10.0,5.0,7.0,9.0,7.0,4.0,11.0,8.0,8.0,10.0,8.0,7.0,6.0,5.0,6.0,7.0,12.0,10.0,11.0,7.0,7.0,16.0,5.0
caravan,10.0,8.0,6.0,7.0,8.0,9.0,10.0,20.0,5.0,6.0,8.0,6.0,5.0,8.0,14.0,12.0,7.0,6.0,7.0,4.0,7.0,9.0,6.0,7.0,7.0,7.0,8.0,7.0,9.0,6.0
duikboot,6.0,15.0,7.0,6.0,7.0,7.0,5.0,5.0,20.0,7.0,6.0,6.0,7.0,9.0,9.0,5.0,6.0,6.0,8.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,4.0,7.0
fiets,8.0,6.0,13.0,12.0,8.0,7.0,7.0,6.0,7.0,20.0,13.0,7.0,5.0,6.0,8.0,9.0,7.0,7.0,12.0,3.0,11.0,10.0,13.0,7.0,7.0,8.0,8.0,5.0,7.0,4.0
gocart,12.0,7.0,8.0,6.0,8.0,6.0,9.0,8.0,6.0,13.0,20.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,9.0,5.0,13.0,12.0,13.0,12.0,6.0,7.0,6.0,5.0,7.0,7.0
