exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,1.0,0.33666666666666667,0.39,0.47333333333333333,0.33666666666666667,0.3466666666666667,0.32999999999999996,0.38,0.45999999999999996,0.36,0.33999999999999997,0.30333333333333334,0.63,0.51,0.5033333333333333,0.5700000000000001,0.5333333333333333,0.3933333333333333,0.38333333333333336,0.44333333333333336,0.35333333333333333,0.37666666666666665,0.43,0.3933333333333333,0.6466666666666667,0.43,0.36666666666666664,0.39666666666666667,0.47333333333333333,0.3566666666666667
actor,0.33666666666666667,1.0,0.38,0.42000000000000004,0.36,0.32666666666666666,0.38666666666666666,0.32333333333333336,0.36333333333333334,0.42000000000000004,0.32333333333333336,0.31666666666666665,0.38,0.38333333333333336,0.45999999999999996,0.39,0.4633333333333334,0.36,0.38,0.3466666666666667,0.32,0.32,0.3433333333333333,0.45,0.4,0.38666666666666666,0.44666666666666666,0.48,0.45666666666666667,0.3566666666666667
archaeologist,0.39,0.38,1.0,0.4766666666666667,0.33999999999999997,0.33666666666666667,0.32,0.42000000000000004,0.39,0.42000000000000004,0.36333333333333334,0.42666666666666664,0.42000000000000004,0.42333333333333334,0.36333333333333334,0.39,0.36333333333333334,0.38666666666666666,0.35,0.38666666666666666,0.3466666666666667,0.4133333333333334,0.36333333333333334,0.42666666666666664,0.32,0.33999999999999997,0.3066666666666667,0.41,0.39666666666666667,0.4033333333333333
architect,0.47333333333333333,0.42000000000000004,0.4766666666666667,1.0,0.3433333333333333,0.33666666666666667,0.33999999999999997,0.42666666666666664,0.43,0.33333333333333337,0.36333333333333334,0.2833333333333333,0.5233333333333333,0.48666666666666664,0.47000000000000003,0.55,0.47000000000000003,0.4166666666666667,0.42333333333333334,0.49000000000000005,0.45,0.3933333333333333,0.4033333333333333,0.42333333333333334,0.38333333333333336,0.3433333333333333,0.3566666666666667,0.36,0.37333333333333335,0.4333333333333333
baker,0.33666666666666667,0.36,0.33999999999999997,0.3433333333333333,1.0,0.6333333333333333,0.7466666666666667,0.3466666666666667,0.32,0.38,0.3933333333333333,0.31666666666666665,0.35333333333333333,0.29333333333333333,0.3433333333333333,0.3433333333333333,0.29,0.44333333333333336,0.3566666666666667,0.38333333333333336,0.39666666666666667,0.3433333333333333,0.4133333333333334,0.32999999999999996,0.3566666666666667,0.5733333333333334,0.51,0.32333333333333336,0.37666666666666665,0.33333333333333337
butcher,0.3466666666666667,0.32666666666666666,0.33666666666666667,0.33666666666666667,0.6333333333333333,1.0,0.67,0.35,0.33999999999999997,0.29,0.3566666666666667,0.35,0.2966666666666667,0.2966666666666667,0.32666666666666666,0.2966666666666667,0.31,0.4033333333333333,0.39,0.3,0.37,0.35,0.3933333333333333,0.2966666666666667,0.33333333333333337,0.58,0.48,0.27,0.3466666666666667,0.4833333333333333
cook,0.32999999999999996,0.38666666666666666,0.32,0.33999999999999997,0.7466666666666667,0.67,1.0,0.36,0.39666666666666667,0.38666666666666666,0.33333333333333337,0.32999999999999996,0.36,0.32999999999999996,0.35,0.35,0.33999999999999997,0.4533333333333333,0.35,0.32,0.33666666666666667,0.35,0.3933333333333333,0.30333333333333334,0.35,0.4333333333333333,0.3933333333333333,0.4333333333333333,0.4066666666666666,0.35
dentist,0.38,0.32333333333333336,0.42000000000000004,0.42666666666666664,0.3466666666666667,0.35,0.36,1.0,0.7733333333333333,0.44333333333333336,0.32333333333333336,0.2866666666666667,0.43,0.4,0.4533333333333333,0.41,0.38333333333333336,0.64,0.6666666666666667,0.37666666666666665,0.3466666666666667,0.36333333333333334,0.37333333333333335,0.4833333333333333,0.38666666666666666,0.38666666666666666,0.32999999999999996,0.37,0.44666666666666666,0.6166666666666667
doctor,0.45999999999999996,0.36333333333333334,0.39,0.43,0.32,0.33999999999999997,0.39666666666666667,0.7733333333333333,1.0,0.44000000000000006,0.42000000000000004,0.30333333333333334,0.4633333333333334,0.55,0.5733333333333334,0.54,0.47000000000000003,0.6766666666666666,0.6366666666666666,0.4833333333333333,0.2866666666666667,0.4133333333333334,0.33999999999999997,0.71,0.37333333333333335,0.3433333333333333,0.33333333333333337,0.41,0.4766666666666667,0.74
educator,0.36,0.42000000000000004,0.42000000000000004,0.33333333333333337,0.38,0.29,0.38666666666666666,0.44333333333333336,0.44000000000000006,1.0,0.33333333333333337,0.33666666666666667,0.36333333333333334,0.42333333333333334,0.37333333333333335,0.42666666666666664,0.32666666666666666,0.39,0.44666666666666666,0.3566666666666667,0.32666666666666666,0.38333333333333336,0.35333333333333333,0.6799999999999999,0.44666666666666666,0.38,0.3566666666666667,0.4333333333333333,0.7566666666666666,0.33999999999999997
fireman,0.33999999999999997,0.32333333333333336,0.36333333333333334,0.36333333333333334,0.3933333333333333,0.3566666666666667,0.33333333333333337,0.32333333333333336,0.42000000000000004,0.33333333333333337,1.0,0.43666666666666665,0.3566666666666667,0.3566666666666667,0.33666666666666667,0.37333333333333335,0.35,0.3466666666666667,0.31333333333333335,0.37666666666666665,0.5133333333333334,0.64,0.3933333333333333,0.36,0.3466666666666667,0.37666666666666665,0.32333333333333336,0.35333333333333333,0.42666666666666664,0.35
garbage collector,0.30333333333333334,0.31666666666666665,0.42666666666666664,0.2833333333333333,0.31666666666666665,0.35,0.32999999999999996,0.2866666666666667,0.30333333333333334,0.33666666666666667,0.43666666666666665,1.0,0.32,0.2866666666666667,0.2833333333333333,0.2633333333333333,0.2866666666666667,0.29333333333333333,0.33333333333333337,0.2833333333333333,0.48,0.36,0.43,0.31,0.2866666666666667,0.33666666666666667,0.37666666666666665,0.2833333333333333,0.29333333333333333,0.3066666666666667
information scientist,0.63,0.38,0.42000000000000004,0.5233333333333333,0.35333333333333333,0.2966666666666667,0.36,0.43,0.4633333333333334,0.36333333333333334,0.3566666666666667,0.32,1.0,0.39666666666666667,0.45666666666666667,0.5066666666666666,0.4066666666666666,0.39666666666666667,0.37333333333333335,0.5433333333333333,0.35333333333333333,0.35,0.39,0.4633333333333334,0.53,0.36,0.32666666666666666,0.38333333333333336,0.44666666666666666,0.3466666666666667
judge,0.51,0.38333333333333336,0.42333333333333334,0.48666666666666664,0.29333333333333333,0.2966666666666667,0.32999999999999996,0.4,0.55,0.42333333333333334,0.3566666666666667,0.2866666666666667,0.39666666666666667,1.0,0.7666666666666667,0.61,0.63,0.43666666666666665,0.4066666666666666,0.44333333333333336,0.2833333333333333,0.51,0.3,0.5333333333333333,0.38,0.31666666666666665,0.31666666666666665,0.29333333333333333,0.42666666666666664,0.4066666666666666
lawyer,0.5033333333333333,0.45999999999999996,0.36333333333333334,0.47000000000000003,0.3433333333333333,0.32666666666666666,0.35,0.4533333333333333,0.5733333333333334,0.37333333333333335,0.33666666666666667,0.2833333333333333,0.45666666666666667,0.7666666666666667,1.0,0.6066666666666667,0.6533333333333333,0.4633333333333334,0.4533333333333333,0.42666666666666664,0.33666666666666667,0.55,0.36333333333333334,0.5566666666666666,0.48,0.32333333333333336,0.32333333333333336,0.36666666666666664,0.4633333333333334,0.41
manager,0.5700000000000001,0.39,0.39,0.55,0.3433333333333333,0.2966666666666667,0.35,0.41,0.54,0.42666666666666664,0.37333333333333335,0.2633333333333333,0.5066666666666666,0.61,0.6066666666666667,1.0,0.63,0.43666666666666665,0.42333333333333334,0.5133333333333334,0.31,0.45,0.36,0.5033333333333333,0.5633333333333334,0.36333333333333334,0.32666666666666666,0.39,0.55,0.42333333333333334
minister,0.5333333333333333,0.4633333333333334,0.36333333333333334,0.47000000000000003,0.29,0.31,0.33999999999999997,0.38333333333333336,0.47000000000000003,0.32666666666666666,0.35,0.2866666666666667,0.4066666666666666,0.63,0.6533333333333333,0.63,1.0,0.43666666666666665,0.38666666666666666,0.44333333333333336,0.3066666666666667,0.44333333333333336,0.30333333333333334,0.4333333333333333,0.44333333333333336,0.3066666666666667,0.4133333333333334,0.37,0.37333333333333335,0.4033333333333333
pharmacist,0.3933333333333333,0.36,0.38666666666666666,0.4166666666666667,0.44333333333333336,0.4033333333333333,0.4533333333333333,0.64,0.6766666666666666,0.39,0.3466666666666667,0.29333333333333333,0.39666666666666667,0.43666666666666665,0.4633333333333334,0.43666666666666665,0.43666666666666665,1.0,0.5733333333333334,0.41,0.3566666666666667,0.3433333333333333,0.32666666666666666,0.4966666666666667,0.4333333333333333,0.58,0.37333333333333335,0.4033333333333333,0.4033333333333333,0.5433333333333333
physiotherapist,0.38333333333333336,0.38,0.35,0.42333333333333334,0.3566666666666667,0.39,0.35,0.6666666666666667,0.6366666666666666,0.44666666666666666,0.31333333333333335,0.33333333333333337,0.37333333333333335,0.4066666666666666,0.4533333333333333,0.42333333333333334,0.38666666666666666,0.5733333333333334,1.0,0.4166666666666667,0.35333333333333333,0.36,0.3433333333333333,0.5933333333333334,0.36333333333333334,0.31,0.33999999999999997,0.39666666666666667,0.42333333333333334,0.5466666666666666
pilot,0.44333333333333336,0.3466666666666667,0.38666666666666666,0.49000000000000005,0.38333333333333336,0.3,0.32,0.37666666666666665,0.4833333333333333,0.3566666666666667,0.37666666666666665,0.2833333333333333,0.5433333333333333,0.44333333333333336,0.42666666666666664,0.5133333333333334,0.44333333333333336,0.41,0.4166666666666667,1.0,0.37666666666666665,0.43,0.32999999999999996,0.36333333333333334,0.37333333333333335,0.32666666666666666,0.31333333333333335,0.7166666666666667,0.35333333333333333,0.3566666666666667
plumber,0.35333333333333333,0.32,0.3466666666666667,0.45,0.39666666666666667,0.37,0.33666666666666667,0.3466666666666667,0.2866666666666667,0.32666666666666666,0.5133333333333334,0.48,0.35333333333333333,0.2833333333333333,0.33666666666666667,0.31,0.3066666666666667,0.3566666666666667,0.35333333333333333,0.37666666666666665,1.0,0.33666666666666667,0.38666666666666666,0.29,0.3066666666666667,0.35,0.36666666666666664,0.30333333333333334,0.33999999999999997,0.32999999999999996
police officer,0.37666666666666665,0.32,0.4133333333333334,0.3933333333333333,0.3433333333333333,0.35,0.35,0.36333333333333334,0.4133333333333334,0.38333333333333336,0.64,0.36,0.35,0.51,0.55,0.45,0.44333333333333336,0.3433333333333333,0.36,0.43,0.33666666666666667,1.0,0.4666666666666667,0.42000000000000004,0.38666666666666666,0.35333333333333333,0.36333333333333334,0.4066666666666666,0.45999999999999996,0.35
postman,0.43,0.3433333333333333,0.36333333333333334,0.4033333333333333,0.4133333333333334,0.3933333333333333,0.3933333333333333,0.37333333333333335,0.33999999999999997,0.35333333333333333,0.3933333333333333,0.43,0.39,0.3,0.36333333333333334,0.36,0.30333333333333334,0.32666666666666666,0.3433333333333333,0.32999999999999996,0.38666666666666666,0.4666666666666667,1.0,0.31,0.4633333333333334,0.4633333333333334,0.3933333333333333,0.37333333333333335,0.37666666666666665,0.39666666666666667
