exemplar,category strength,exemplar strength
apron,0.003,0.000
bottle,0.000,0.000
bowl,0.000,0.000
can opener,0.000,0.004
colander,0.007,0.000
electric kettle,0.000,0.000
fork,0.088,0.000
fridge,0.000,0.004
glass,0.003,0.000
grater,0.010,0.007
kettle,0.000,0.000
knife,0.145,0.000
microwave oven,0.000,0.000
mixer,0.037,0.000
mug,0.007,0.000
nutcracker,0.000,0.000
oven,0.000,0.000
pan,0.074,0.004
percolator,0.007,0.000
place mat,0.000,0.000
plate,0.034,0.000
pot,0.047,0.000
scales,0.000,0.000
scissors,0.010,0.000
sieve,0.000,0.004
spatula,0.000,0.000
spoon,0.118,0.000
stove,0.003,0.000
teaspoon,0.000,0.000
toaster,0.000,0.000
towel,0.000,0.000
whisk,0.010,0.003
wok,0.000,0.000
