exemplar,category strength,exemplar strength
axe,0.003,0.004
bazooka,0.000,0.067
bow,0.013,0.007
canon,0.000,0.018
club,0.000,0.011
dagger,0.013,0.050
double-barreled shotgun,0.000,0.032
grenade,0.000,0.033
knuckle dusters,0.000,0.007
machine gun,0.000,0.025
pistol,0.049,0.050
rifle,0.078,0.018
rope,0.000,0.000
shield,0.007,0.033
slingshot,0.000,0.025
spear,0.000,0.057
stick,0.000,0.000
sword,0.007,0.004
tank,0.000,0.000
whip,0.000,0.000
