exemplar,category strength,exemplar strength
accountant,0.003,0.007
actor,0.037,0.004
archaeologist,0.000,0.000
architect,0.003,0.011
baker,0.013,0.000
butcher,0.000,0.000
cook,0.000,0.011
dentist,0.007,0.004
doctor,0.020,0.000
educator,0.000,0.000
fireman,0.000,0.004
garbage collector,0.000,0.000
information scientist,0.000,0.008
judge,0.000,0.007
lawyer,0.010,0.011
manager,0.000,0.000
minister,0.000,0.000
pharmacist,0.000,0.000
physiotherapist,0.000,0.007
pilot,0.000,0.007
plumber,0.003,0.026
police officer,0.003,0.000
postman,0.000,0.000
psychologist,0.007,0.015
secretary,0.003,0.000
shop-assistant,0.000,0.000
stallholder,0.000,0.000
stewardess,0.003,0.000
teacher,0.023,0.004
veterinarian,0.000,0.011
