exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,11.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,3.0,1.0,13.0,19.0,3.0,3.0
duif,11.0,20.0,1.0,14.0,1.0,1.0,1.0,10.0,4.0,13.0,7.0,5.0,12.0,12.0,12.0,8.0,1.0,3.0,8.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,9.0
eend,1.0,1.0,20.0,1.0,13.0,1.0,12.0,15.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,13.0,3.0,3.0,1.0,3.0,1.0,4.0,18.0,1.0
ekster,1.0,14.0,1.0,20.0,1.0,1.0,3.0,4.0,4.0,1.0,6.0,14.0,13.0,3.0,17.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,15.0
fazant,1.0,1.0,13.0,1.0,20.0,1.0,15.0,15.0,1.0,17.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0
gier,19.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,11.0,1.0,1.0,8.0,1.0
haan,1.0,1.0,12.0,3.0,15.0,1.0,20.0,12.0,1.0,15.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0
kalkoen,1.0,10.0,15.0,4.0,15.0,1.0,12.0,20.0,1.0,19.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0
kanarie,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,20.0,3.0,12.0,1.0,17.0,1.0,14.0,16.0,1.0,1.0,20.0,3.0,1.0,3.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,7.0
kip,1.0,13.0,12.0,1.0,17.0,1.0,15.0,19.0,3.0,20.0,6.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,12.0,13.0,1.0,1.0,8.0,1.0,11.0,3.0,1.0,6.0,1.0
