exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,9.0,4.0,9.0,14.0,16.0,8.0,8.0,2.0,7.0,7.0,5.0,5.0,9.0,4.0,13.0,5.0,7.0,3.0,14.0,3.0,4.0,9.0,5.0,6.0,9.0,14.0,16.0,8.0,7.0
duif,9.0,20.0,10.0,6.0,9.0,3.0,7.0,10.0,3.0,16.0,16.0,12.0,14.0,16.0,14.0,6.0,10.0,11.0,9.0,4.0,3.0,3.0,5.0,12.0,7.0,4.0,7.0,10.0,5.0,10.0
eend,4.0,10.0,20.0,7.0,9.0,6.0,9.0,11.0,3.0,13.0,12.0,7.0,5.0,9.0,7.0,9.0,6.0,6.0,4.0,10.0,12.0,2.0,8.0,6.0,4.0,6.0,6.0,11.0,12.0,6.0
ekster,9.0,6.0,7.0,20.0,6.0,9.0,8.0,5.0,4.0,6.0,16.0,17.0,13.0,8.0,13.0,16.0,4.0,7.0,8.0,4.0,2.0,2.0,4.0,11.0,13.0,3.0,4.0,4.0,2.0,14.0
fazant,14.0,9.0,9.0,6.0,20.0,12.0,16.0,13.0,4.0,14.0,13.0,4.0,6.0,13.0,8.0,8.0,7.0,4.0,4.0,15.0,4.0,4.0,7.0,11.0,7.0,7.0,13.0,10.0,7.0,4.0
gier,16.0,3.0,6.0,9.0,12.0,20.0,8.0,5.0,5.0,5.0,3.0,7.0,4.0,7.0,10.0,4.0,3.0,12.0,9.0,9.0,6.0,4.0,7.0,6.0,6.0,15.0,12.0,19.0,6.0,10.0
haan,8.0,7.0,9.0,8.0,16.0,8.0,20.0,14.0,5.0,19.0,7.0,4.0,4.0,6.0,7.0,7.0,3.0,4.0,6.0,5.0,6.0,2.0,7.0,11.0,3.0,9.0,13.0,5.0,4.0,6.0
kalkoen,8.0,10.0,11.0,5.0,13.0,5.0,14.0,20.0,3.0,19.0,5.0,8.0,3.0,7.0,7.0,4.0,4.0,4.0,3.0,16.0,7.0,3.0,4.0,4.0,5.0,4.0,5.0,7.0,13.0,4.0
kanarie,2.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,20.0,10.0,4.0,6.0,19.0,4.0,13.0,13.0,3.0,14.0,16.0,3.0,4.0,2.0,4.0,14.0,3.0,3.0,7.0,7.0,4.0,3.0
kip,7.0,16.0,13.0,6.0,14.0,5.0,19.0,19.0,10.0,20.0,6.0,6.0,7.0,6.0,8.0,7.0,9.0,12.0,9.0,11.0,7.0,3.0,4.0,11.0,4.0,3.0,10.0,9.0,4.0,4.0
