exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,9.0,9.0,9.0,9.0,15.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,11.0,16.0,8.0,11.0
duif,9.0,20.0,11.0,11.0,10.0,9.0,11.0,9.0,10.0,14.0,15.0,11.0,12.0,9.0,11.0,12.0,10.0,9.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,7.0,11.0,11.0,9.0,13.0
eend,9.0,11.0,20.0,9.0,11.0,8.0,11.0,14.0,12.0,15.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,14.0,10.0
ekster,9.0,11.0,9.0,20.0,10.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,10.0,9.0,12.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,12.0
fazant,9.0,10.0,11.0,10.0,20.0,8.0,13.0,13.0,11.0,12.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,15.0,8.0,11.0,10.0,9.0,10.0,12.0,11.0,8.0,10.0,8.0
gier,15.0,9.0,8.0,9.0,8.0,20.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,12.0,8.0,10.0,9.0,10.0,14.0,9.0,9.0
haan,10.0,11.0,11.0,10.0,13.0,8.0,20.0,13.0,10.0,18.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0
kalkoen,8.0,9.0,14.0,9.0,13.0,10.0,13.0,20.0,9.0,15.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,14.0,7.0,10.0,9.0,9.0,14.0,9.0,9.0,11.0,9.0
kanarie,9.0,10.0,12.0,10.0,11.0,9.0,10.0,9.0,20.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,14.0,11.0,11.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,10.0,8.0
kip,9.0,14.0,15.0,10.0,12.0,8.0,18.0,15.0,9.0,20.0,10.0,9.0,11.0,10.0,11.0,13.0,9.0,10.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0
koekoek,10.0,15.0,9.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,20.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,7.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0
kraai,9.0,11.0,9.0,12.0,9.0,10.0,12.0,9.0,9.0,9.0,10.0,20.0,9.0,11.0,11.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,8.0,10.0
mees,8.0,12.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,20.0,8.0,10.0,12.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,13.0,9.0,7.0,10.0,10.0,9.0,10.0
meeuw,11.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,20.0,9.0,9.0,10.0,11.0,10.0,8.0,12.0,10.0,12.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0
