exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,15.0,14.0,16.0,16.0,18.0,15.0,16.0,12.0,12.0,17.0,17.0,15.0,17.0,14.0,16.0,12.0,15.0,13.0,15.0,13.0,16.0,14.0,16.0,14.0,12.0,17.0,19.0,16.0,13.0
duif,15.0,20.0,17.0,15.0,15.0,16.0,16.0,16.0,14.0,18.0,17.0,15.0,18.0,19.0,18.0,17.0,13.0,12.0,13.0,15.0,15.0,11.0,8.0,16.0,17.0,6.0,16.0,17.0,12.0,17.0
eend,14.0,17.0,20.0,13.0,18.0,16.0,16.0,17.0,15.0,17.0,13.0,16.0,16.0,17.0,16.0,12.0,17.0,16.0,16.0,17.0,18.0,16.0,18.0,12.0,16.0,17.0,13.0,15.0,19.0,12.0
ekster,16.0,15.0,13.0,20.0,15.0,16.0,9.0,11.0,18.0,17.0,16.0,18.0,18.0,16.0,18.0,16.0,13.0,12.0,17.0,16.0,11.0,11.0,15.0,16.0,18.0,14.0,16.0,17.0,13.0,17.0
fazant,16.0,15.0,18.0,15.0,20.0,15.0,14.0,19.0,16.0,17.0,17.0,13.0,11.0,15.0,14.0,15.0,13.0,16.0,16.0,16.0,16.0,13.0,14.0,9.0,17.0,16.0,15.0,14.0,11.0,11.0
gier,18.0,16.0,16.0,16.0,15.0,20.0,9.0,17.0,14.0,16.0,16.0,11.0,12.0,15.0,13.0,11.0,17.0,16.0,13.0,14.0,17.0,9.0,17.0,13.0,16.0,17.0,13.0,19.0,16.0,11.0
haan,15.0,16.0,16.0,9.0,14.0,9.0,20.0,18.0,17.0,19.0,17.0,15.0,13.0,11.0,17.0,16.0,12.0,14.0,16.0,18.0,11.0,13.0,14.0,14.0,15.0,9.0,15.0,16.0,15.0,14.0
kalkoen,16.0,16.0,17.0,11.0,19.0,17.0,18.0,20.0,14.0,19.0,14.0,14.0,14.0,11.0,16.0,12.0,12.0,16.0,14.0,18.0,18.0,12.0,11.0,13.0,9.0,17.0,14.0,15.0,18.0,14.0
kanarie,12.0,14.0,15.0,18.0,16.0,14.0,17.0,14.0,20.0,15.0,18.0,18.0,19.0,13.0,17.0,18.0,10.0,17.0,16.0,13.0,14.0,13.0,15.0,17.0,13.0,11.0,15.0,16.0,12.0,18.0
kip,12.0,18.0,17.0,17.0,17.0,16.0,19.0,19.0,15.0,20.0,16.0,16.0,15.0,16.0,18.0,16.0,17.0,17.0,11.0,17.0,14.0,15.0,12.0,12.0,16.0,17.0,15.0,14.0,18.0,11.0
