exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,5.0,7.0,7.0,7.0,16.0,8.0,9.0,6.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,5.0,5.0,7.0,18.0,6.0,13.0,7.0,9.0,7.0,5.0,4.0
duif,5.0,20.0,7.0,6.0,8.0,9.0,7.0,8.0,6.0,6.0,8.0,5.0,9.0,7.0,8.0,7.0,5.0,7.0,8.0,8.0,5.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,5.0,8.0
eend,7.0,7.0,20.0,6.0,9.0,7.0,7.0,10.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,4.0,5.0,6.0,10.0,4.0,5.0,6.0,5.0,9.0,7.0,7.0,7.0,14.0,9.0
ekster,7.0,6.0,6.0,20.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,13.0,5.0,10.0,7.0,5.0,6.0,8.0,9.0,6.0,7.0,6.0,7.0,7.0,13.0,8.0,9.0,8.0,6.0,6.0
fazant,7.0,8.0,9.0,7.0,20.0,8.0,9.0,9.0,7.0,6.0,9.0,7.0,9.0,9.0,8.0,7.0,6.0,8.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,7.0,6.0
gier,16.0,9.0,7.0,7.0,8.0,20.0,8.0,6.0,6.0,10.0,6.0,8.0,6.0,6.0,7.0,6.0,4.0,7.0,8.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,6.0,11.0
haan,8.0,7.0,7.0,8.0,9.0,8.0,20.0,8.0,7.0,16.0,8.0,8.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,5.0,8.0,5.0,7.0,10.0,7.0,7.0,7.0
kalkoen,9.0,8.0,10.0,7.0,9.0,6.0,8.0,20.0,9.0,12.0,8.0,8.0,4.0,6.0,6.0,7.0,6.0,7.0,7.0,16.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,10.0,9.0,9.0
kanarie,6.0,6.0,7.0,9.0,7.0,6.0,7.0,9.0,20.0,8.0,7.0,7.0,7.0,6.0,8.0,13.0,6.0,7.0,7.0,5.0,7.0,5.0,5.0,8.0,7.0,4.0,7.0,5.0,8.0,7.0
kip,8.0,6.0,7.0,8.0,6.0,10.0,16.0,12.0,8.0,20.0,7.0,7.0,8.0,7.0,7.0,4.0,5.0,6.0,7.0,6.0,5.0,8.0,5.0,6.0,7.0,4.0,6.0,6.0,6.0,5.0
koekoek,7.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,7.0,7.0,20.0,8.0,7.0,5.0,7.0,10.0,8.0,6.0,7.0,5.0,6.0,7.0,7.0,8.0,10.0,7.0,7.0,7.0,9.0,8.0
kraai,6.0,5.0,7.0,13.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,20.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,11.0,8.0,5.0,11.0,7.0,11.0,7.0,9.0,8.0,6.0,7.0
mees,7.0,9.0,7.0,5.0,9.0,6.0,6.0,4.0,7.0,8.0,7.0,6.0,20.0,12.0,6.0,13.0,6.0,5.0,9.0,6.0,5.0,5.0,4.0,6.0,11.0,5.0,8.0,7.0,7.0,9.0
meeuw,7.0,7.0,7.0,10.0,9.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,12.0,20.0,6.0,7.0,6.0,7.0,8.0,7.0,6.0,6.0,11.0,8.0,6.0,7.0,8.0,8.0,6.0,14.0
merel,7.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,20.0,8.0,7.0,7.0,6.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,8.0,5.0,5.0
mus,6.0,7.0,6.0,5.0,7.0,6.0,6.0,7.0,13.0,4.0,10.0,6.0,13.0,7.0,8.0,20.0,4.0,6.0,9.0,7.0,6.0,5.0,5.0,13.0,9.0,5.0,8.0,7.0,11.0,4.0
ooievaar,8.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,8.0,9.0,6.0,6.0,7.0,4.0,20.0,6.0,4.0,6.0,11.0,6.0,6.0,5.0,6.0,12.0,6.0,6.0,8.0,10.0
papegaai,6.0,7.0,5.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,6.0,20.0,10.0,6.0,6.0,7.0,9.0,5.0,9.0,8.0,7.0,9.0,7.0,6.0
