exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,5.0,6.0,5.0,8.0,11.0,6.0,10.0,2.0,6.0,3.0,6.0,2.0,6.0,3.0,2.0,10.0,6.0,3.0,7.0,6.0,5.0,9.0,7.0,7.0,13.0,7.0,15.0,4.0,6.0
duif,5.0,20.0,16.0,10.0,6.0,4.0,10.0,9.0,18.0,14.0,17.0,10.0,9.0,12.0,13.0,15.0,4.0,7.0,6.0,6.0,3.0,4.0,6.0,11.0,11.0,4.0,14.0,8.0,6.0,8.0
eend,6.0,16.0,20.0,15.0,10.0,3.0,10.0,13.0,6.0,17.0,9.0,9.0,8.0,17.0,11.0,6.0,6.0,6.0,6.0,7.0,15.0,10.0,8.0,7.0,7.0,9.0,8.0,13.0,8.0,14.0
ekster,5.0,10.0,15.0,20.0,3.0,7.0,9.0,8.0,14.0,12.0,10.0,12.0,10.0,9.0,12.0,11.0,4.0,7.0,6.0,6.0,5.0,3.0,10.0,7.0,15.0,3.0,11.0,10.0,6.0,12.0
fazant,8.0,6.0,10.0,3.0,20.0,8.0,10.0,18.0,7.0,10.0,8.0,6.0,7.0,12.0,7.0,7.0,8.0,7.0,6.0,18.0,10.0,6.0,7.0,6.0,9.0,15.0,6.0,8.0,7.0,6.0
gier,11.0,4.0,3.0,7.0,8.0,20.0,7.0,16.0,3.0,8.0,8.0,8.0,3.0,5.0,5.0,5.0,10.0,6.0,3.0,11.0,7.0,7.0,7.0,2.0,8.0,16.0,9.0,9.0,6.0,7.0
haan,6.0,10.0,10.0,9.0,10.0,7.0,20.0,10.0,6.0,19.0,10.0,11.0,6.0,12.0,8.0,7.0,4.0,9.0,9.0,8.0,7.0,3.0,7.0,3.0,9.0,3.0,7.0,5.0,2.0,8.0
kalkoen,10.0,9.0,13.0,8.0,18.0,16.0,10.0,20.0,6.0,15.0,9.0,12.0,6.0,7.0,8.0,16.0,8.0,7.0,6.0,18.0,10.0,6.0,11.0,3.0,7.0,12.0,9.0,6.0,8.0,6.0
kanarie,2.0,18.0,6.0,14.0,7.0,3.0,6.0,6.0,20.0,8.0,7.0,6.0,12.0,6.0,6.0,10.0,5.0,10.0,17.0,5.0,3.0,5.0,6.0,6.0,8.0,6.0,8.0,4.0,6.0,9.0
kip,6.0,14.0,17.0,12.0,10.0,8.0,19.0,15.0,8.0,20.0,9.0,10.0,11.0,11.0,8.0,7.0,6.0,10.0,9.0,10.0,6.0,7.0,7.0,6.0,8.0,3.0,7.0,7.0,6.0,8.0
koekoek,3.0,17.0,9.0,10.0,8.0,8.0,10.0,9.0,7.0,9.0,20.0,6.0,6.0,13.0,9.0,8.0,7.0,8.0,13.0,6.0,8.0,6.0,8.0,7.0,13.0,4.0,11.0,8.0,4.0,13.0
kraai,6.0,10.0,9.0,12.0,6.0,8.0,11.0,12.0,6.0,10.0,6.0,20.0,13.0,15.0,9.0,3.0,6.0,6.0,6.0,8.0,16.0,6.0,7.0,2.0,13.0,6.0,10.0,13.0,3.0,14.0
mees,2.0,9.0,8.0,10.0,7.0,3.0,6.0,6.0,12.0,11.0,6.0,13.0,20.0,8.0,13.0,16.0,2.0,4.0,13.0,4.0,6.0,5.0,6.0,14.0,9.0,6.0,6.0,3.0,10.0,9.0
meeuw,6.0,12.0,17.0,9.0,12.0,5.0,12.0,7.0,6.0,11.0,13.0,15.0,8.0,20.0,6.0,7.0,4.0,11.0,11.0,6.0,7.0,9.0,6.0,5.0,9.0,6.0,7.0,6.0,7.0,10.0
merel,3.0,13.0,11.0,12.0,7.0,5.0,8.0,8.0,6.0,8.0,9.0,9.0,13.0,6.0,20.0,10.0,3.0,8.0,10.0,6.0,6.0,3.0,7.0,17.0,11.0,3.0,9.0,6.0,4.0,12.0
mus,2.0,15.0,6.0,11.0,7.0,5.0,7.0,16.0,10.0,7.0,8.0,3.0,16.0,7.0,10.0,20.0,3.0,7.0,15.0,3.0,6.0,3.0,7.0,13.0,7.0,5.0,10.0,7.0,6.0,3.0
ooievaar,10.0,4.0,6.0,4.0,8.0,10.0,4.0,8.0,5.0,6.0,7.0,6.0,2.0,4.0,3.0,3.0,20.0,9.0,7.0,10.0,13.0,6.0,15.0,3.0,3.0,6.0,7.0,15.0,16.0,6.0
papegaai,6.0,7.0,6.0,7.0,7.0,6.0,9.0,7.0,10.0,10.0,8.0,6.0,4.0,11.0,8.0,7.0,9.0,20.0,13.0,11.0,7.0,7.0,7.0,5.0,10.0,5.0,13.0,8.0,3.0,9.0
parkiet,3.0,6.0,6.0,6.0,6.0,3.0,9.0,6.0,17.0,9.0,13.0,6.0,13.0,11.0,10.0,15.0,7.0,13.0,20.0,10.0,3.0,3.0,5.0,8.0,10.0,6.0,6.0,6.0,6.0,6.0
pauw,7.0,6.0,7.0,6.0,18.0,11.0,8.0,18.0,5.0,10.0,6.0,8.0,4.0,6.0,6.0,3.0,10.0,11.0,10.0,20.0,7.0,10.0,12.0,6.0,7.0,9.0,8.0,9.0,6.0,6.0
pelikaan,6.0,3.0,15.0,5.0,10.0,7.0,7.0,10.0,3.0,6.0,8.0,16.0,6.0,7.0,6.0,6.0,13.0,7.0,3.0,7.0,20.0,10.0,8.0,4.0,7.0,7.0,9.0,8.0,11.0,8.0
pinguïn,5.0,4.0,10.0,3.0,6.0,7.0,3.0,6.0,5.0,7.0,6.0,6.0,5.0,9.0,3.0,3.0,6.0,7.0,3.0,10.0,10.0,20.0,9.0,3.0,6.0,6.0,4.0,7.0,6.0,6.0
reiger,9.0,6.0,8.0,10.0,7.0,7.0,7.0,11.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,7.0,15.0,7.0,5.0,12.0,8.0,9.0,20.0,5.0,6.0,6.0,8.0,11.0,15.0,7.0
roodborstje,7.0,11.0,7.0,7.0,6.0,2.0,3.0,3.0,6.0,6.0,7.0,2.0,14.0,5.0,17.0,13.0,3.0,5.0,8.0,6.0,4.0,3.0,5.0,20.0,8.0,6.0,5.0,3.0,3.0,6.0
specht,7.0,11.0,7.0,15.0,9.0,8.0,9.0,7.0,8.0,8.0,13.0,13.0,9.0,9.0,11.0,7.0,3.0,10.0,10.0,7.0,7.0,6.0,6.0,8.0,20.0,6.0,11.0,8.0,6.0,13.0
struisvogel,13.0,4.0,9.0,3.0,15.0,16.0,3.0,12.0,6.0,3.0,4.0,6.0,6.0,6.0,3.0,5.0,6.0,5.0,6.0,9.0,7.0,6.0,6.0,6.0,6.0,20.0,5.0,6.0,3.0,8.0
uil,7.0,14.0,8.0,11.0,6.0,9.0,7.0,9.0,8.0,7.0,11.0,10.0,6.0,7.0,9.0,10.0,7.0,13.0,6.0,8.0,9.0,4.0,8.0,5.0,11.0,5.0,20.0,11.0,7.0,7.0
valk,15.0,8.0,13.0,10.0,8.0,9.0,5.0,6.0,4.0,7.0,8.0,13.0,3.0,6.0,6.0,7.0,15.0,8.0,6.0,9.0,8.0,7.0,11.0,3.0,8.0,6.0,11.0,20.0,4.0,9.0
zwaan,4.0,6.0,8.0,6.0,7.0,6.0,2.0,8.0,6.0,6.0,4.0,3.0,10.0,7.0,4.0,6.0,16.0,3.0,6.0,6.0,11.0,6.0,15.0,3.0,6.0,3.0,7.0,4.0,20.0,8.0
zwaluw,6.0,8.0,14.0,12.0,6.0,7.0,8.0,6.0,9.0,8.0,13.0,14.0,9.0,10.0,12.0,3.0,6.0,9.0,6.0,6.0,8.0,6.0,7.0,6.0,13.0,8.0,7.0,9.0,8.0,20.0
