exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
beaver,2.0,20.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0
bison,3.0,2.0,20.0,2.0,13.0,3.0,2.0,2.0,2.0,8.0,8.0,6.0,2.0,2.0,14.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,7.0,3.0,2.0,3.0,12.0,6.0
cat,2.0,6.0,2.0,20.0,13.0,5.0,18.0,2.0,3.0,2.0,11.0,2.0,4.0,2.0,2.0,4.0,2.0,12.0,4.0,8.0,13.0,3.0,2.0,9.0,2.0,6.0,6.0,16.0,16.0,4.0
cow,2.0,2.0,13.0,13.0,20.0,3.0,2.0,20.0,2.0,12.0,2.0,11.0,2.0,9.0,15.0,9.0,2.0,3.0,3.0,12.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,10.0
deer,2.0,2.0,3.0,5.0,3.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,9.0,2.0,12.0
dog,2.0,2.0,2.0,18.0,2.0,2.0,20.0,4.0,3.0,2.0,12.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,4.0,5.0,2.0,13.0,2.0,6.0,2.0,3.0,16.0,2.0
donkey,2.0,2.0,2.0,2.0,20.0,2.0,4.0,20.0,10.0,2.0,2.0,3.0,2.0,2.0,2.0,19.0,8.0,3.0,6.0,2.0,2.0,3.0,2.0,10.0,2.0,8.0,3.0,2.0,2.0,2.0
dromedary,2.0,2.0,2.0,3.0,2.0,2.0,3.0,10.0,20.0,2.0,2.0,8.0,2.0,10.0,9.0,15.0,2.0,3.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,4.0,5.0,2.0
elephant,2.0,2.0,8.0,2.0,12.0,2.0,2.0,2.0,2.0,20.0,2.0,6.0,2.0,3.0,8.0,5.0,2.0,3.0,2.0,6.0,2.0,3.0,2.0,2.0,5.0,2.0,9.0,13.0,13.0,5.0
fox,2.0,2.0,8.0,11.0,2.0,2.0,12.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,9.0,3.0,2.0,2.0,2.0,13.0,2.0,4.0,5.0,2.0,2.0,12.0,3.0,2.0,2.0
giraffe,1.0,2.0,6.0,2.0,11.0,2.0,6.0,3.0,8.0,6.0,2.0,20.0,2.0,2.0,8.0,15.0,2.0,3.0,9.0,4.0,2.0,11.0,2.0,2.0,13.0,2.0,2.0,2.0,2.0,6.0
hamster,2.0,4.0,2.0,4.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,20.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,15.0,10.0,2.0,13.0,2.0,3.0,7.0,2.0,2.0,2.0
hedgehog,2.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,10.0,3.0,2.0,2.0,3.0,20.0,3.0,2.0,17.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,11.0,2.0,2.0,2.0
hippopotamus,2.0,2.0,14.0,2.0,15.0,2.0,2.0,2.0,9.0,8.0,2.0,8.0,2.0,3.0,20.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,8.0,2.0,7.0,2.0,2.0,5.0,2.0,5.0
horse,2.0,2.0,2.0,4.0,9.0,5.0,2.0,19.0,15.0,5.0,9.0,15.0,2.0,2.0,5.0,20.0,2.0,3.0,14.0,2.0,2.0,2.0,4.0,5.0,12.0,2.0,2.0,5.0,2.0,18.0
kangaroo,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,17.0,3.0,2.0,20.0,2.0,2.0,8.0,2.0,2.0,2.0,5.0,7.0,2.0,2.0,2.0,16.0,2.0
lion,2.0,2.0,4.0,12.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,20.0,3.0,4.0,9.0,2.0,2.0,3.0,2.0,2.0,2.0,15.0,5.0,7.0
llama,2.0,2.0,3.0,4.0,3.0,8.0,4.0,6.0,15.0,2.0,2.0,9.0,5.0,2.0,2.0,14.0,2.0,3.0,20.0,4.0,9.0,3.0,8.0,4.0,3.0,16.0,10.0,9.0,2.0,2.0
monkey,2.0,2.0,2.0,8.0,12.0,2.0,7.0,2.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,4.0,4.0,20.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
