exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,5.0,15.0,10.0,9.0,8.0,3.0,5.0,5.0,4.0,12.0,5.0,3.0,3.0,3.0,5.0,11.0,6.0,4.0,12.0,18.0,8.0,3.0,5.0,4.0,8.0,12.0,6.0,7.0,4.0
beaver,5.0,20.0,7.0,17.0,8.0,8.0,6.0,11.0,19.0,9.0,14.0,6.0,17.0,12.0,8.0,10.0,8.0,4.0,13.0,14.0,12.0,8.0,11.0,11.0,8.0,10.0,13.0,4.0,8.0,14.0
bison,15.0,7.0,20.0,5.0,16.0,15.0,9.0,14.0,12.0,14.0,8.0,14.0,8.0,3.0,12.0,13.0,9.0,15.0,14.0,9.0,3.0,7.0,13.0,5.0,14.0,9.0,5.0,8.0,11.0,14.0
cat,10.0,17.0,5.0,20.0,7.0,7.0,16.0,6.0,9.0,5.0,10.0,7.0,9.0,10.0,7.0,5.0,7.0,10.0,8.0,8.0,11.0,9.0,9.0,6.0,7.0,11.0,9.0,18.0,8.0,3.0
cow,9.0,8.0,16.0,7.0,20.0,14.0,10.0,15.0,10.0,11.0,9.0,8.0,7.0,6.0,12.0,15.0,12.0,12.0,11.0,7.0,3.0,16.0,12.0,7.0,5.0,10.0,8.0,13.0,12.0,14.0
deer,8.0,8.0,15.0,7.0,14.0,20.0,11.0,13.0,9.0,12.0,10.0,4.0,10.0,4.0,11.0,12.0,12.0,12.0,16.0,7.0,3.0,15.0,6.0,8.0,9.0,12.0,4.0,9.0,6.0,12.0
dog,3.0,6.0,9.0,16.0,10.0,11.0,20.0,15.0,9.0,8.0,11.0,5.0,7.0,4.0,6.0,4.0,11.0,8.0,12.0,15.0,6.0,12.0,6.0,10.0,4.0,13.0,6.0,8.0,9.0,15.0
donkey,5.0,11.0,14.0,6.0,15.0,13.0,15.0,20.0,12.0,12.0,9.0,11.0,3.0,6.0,8.0,14.0,7.0,11.0,12.0,14.0,11.0,15.0,7.0,9.0,11.0,13.0,4.0,11.0,9.0,12.0
dromedary,5.0,19.0,12.0,9.0,10.0,9.0,9.0,12.0,20.0,11.0,8.0,12.0,4.0,9.0,15.0,10.0,11.0,15.0,16.0,12.0,3.0,13.0,12.0,4.0,16.0,7.0,3.0,8.0,9.0,11.0
elephant,4.0,9.0,14.0,5.0,11.0,12.0,8.0,12.0,11.0,20.0,6.0,12.0,4.0,5.0,12.0,11.0,9.0,12.0,10.0,10.0,5.0,10.0,15.0,9.0,11.0,10.0,5.0,12.0,6.0,13.0
