exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,8.0,5.0,7.0,4.0,8.0,6.0,7.0,4.0,6.0,4.0,5.0,9.0,8.0,4.0,7.0,7.0,6.0,4.0,8.0,14.0,7.0,5.0,8.0,2.0,8.0,8.0,8.0,6.0,6.0
beaver,8.0,20.0,6.0,10.0,8.0,8.0,6.0,5.0,6.0,4.0,7.0,5.0,17.0,13.0,5.0,5.0,7.0,4.0,8.0,6.0,12.0,9.0,5.0,13.0,5.0,9.0,9.0,4.0,5.0,8.0
bison,5.0,6.0,20.0,5.0,14.0,12.0,8.0,10.0,12.0,13.0,7.0,10.0,3.0,4.0,15.0,14.0,9.0,13.0,12.0,9.0,2.0,11.0,12.0,5.0,16.0,6.0,4.0,16.0,12.0,12.0
cat,7.0,10.0,5.0,20.0,5.0,9.0,16.0,8.0,6.0,5.0,14.0,4.0,10.0,12.0,3.0,13.0,7.0,13.0,4.0,5.0,11.0,12.0,10.0,13.0,4.0,10.0,12.0,16.0,15.0,11.0
cow,4.0,8.0,14.0,5.0,20.0,9.0,4.0,8.0,6.0,10.0,7.0,8.0,9.0,8.0,9.0,14.0,8.0,11.0,9.0,8.0,5.0,8.0,5.0,5.0,12.0,10.0,6.0,8.0,10.0,10.0
deer,8.0,8.0,12.0,9.0,9.0,20.0,9.0,11.0,12.0,8.0,12.0,13.0,8.0,6.0,11.0,15.0,14.0,8.0,10.0,8.0,6.0,8.0,12.0,9.0,10.0,10.0,5.0,9.0,11.0,6.0
dog,6.0,6.0,8.0,16.0,4.0,9.0,20.0,10.0,6.0,10.0,16.0,4.0,8.0,8.0,11.0,16.0,4.0,14.0,13.0,5.0,8.0,13.0,4.0,14.0,5.0,12.0,6.0,13.0,15.0,12.0
donkey,7.0,5.0,10.0,8.0,8.0,11.0,10.0,20.0,12.0,10.0,8.0,11.0,7.0,12.0,10.0,19.0,7.0,11.0,13.0,9.0,9.0,9.0,7.0,10.0,9.0,6.0,7.0,13.0,8.0,8.0
dromedary,4.0,6.0,12.0,6.0,6.0,12.0,6.0,12.0,20.0,11.0,9.0,12.0,4.0,4.0,13.0,13.0,10.0,11.0,19.0,9.0,4.0,8.0,9.0,5.0,12.0,4.0,4.0,9.0,9.0,15.0
elephant,6.0,4.0,13.0,5.0,10.0,8.0,10.0,10.0,11.0,20.0,9.0,12.0,6.0,3.0,14.0,14.0,10.0,13.0,12.0,8.0,2.0,7.0,13.0,6.0,16.0,7.0,4.0,8.0,8.0,11.0
