exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,11.0,6.0,12.0,11.0,11.0,15.0,12.0,8.0,8.0,10.0,13.0,14.0,10.0,8.0,9.0,8.0,7.0,9.0,11.0,12.0,11.0,11.0,13.0,8.0,8.0,15.0,9.0,9.0,5.0
beaver,11.0,20.0,12.0,12.0,9.0,12.0,13.0,10.0,8.0,9.0,13.0,8.0,14.0,13.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,9.0,9.0,13.0,9.0,12.0,13.0,12.0,11.0,10.0
bison,6.0,12.0,20.0,9.0,17.0,12.0,11.0,12.0,12.0,12.0,10.0,12.0,7.0,9.0,11.0,12.0,13.0,13.0,15.0,9.0,5.0,11.0,12.0,11.0,14.0,11.0,7.0,9.0,11.0,12.0
cat,12.0,12.0,9.0,20.0,8.0,11.0,14.0,11.0,10.0,6.0,16.0,7.0,12.0,12.0,8.0,11.0,10.0,18.0,10.0,8.0,10.0,11.0,13.0,12.0,10.0,13.0,13.0,16.0,13.0,11.0
cow,11.0,9.0,17.0,8.0,20.0,12.0,12.0,17.0,13.0,11.0,13.0,12.0,11.0,9.0,13.0,14.0,11.0,11.0,13.0,11.0,11.0,12.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,13.0
deer,11.0,12.0,12.0,11.0,12.0,20.0,12.0,12.0,12.0,12.0,13.0,13.0,9.0,12.0,9.0,13.0,8.0,10.0,12.0,5.0,9.0,11.0,8.0,11.0,10.0,12.0,12.0,7.0,13.0,14.0
dog,15.0,13.0,11.0,14.0,12.0,12.0,20.0,11.0,8.0,9.0,15.0,13.0,10.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0,9.0,13.0,13.0,11.0,13.0,11.0
donkey,12.0,10.0,12.0,11.0,17.0,12.0,11.0,20.0,15.0,8.0,11.0,13.0,9.0,9.0,12.0,18.0,11.0,9.0,15.0,8.0,12.0,14.0,11.0,9.0,10.0,13.0,11.0,8.0,11.0,17.0
dromedary,8.0,8.0,12.0,10.0,13.0,12.0,8.0,15.0,20.0,11.0,8.0,11.0,9.0,9.0,12.0,14.0,13.0,11.0,17.0,9.0,8.0,11.0,9.0,9.0,12.0,11.0,4.0,8.0,9.0,12.0
elephant,8.0,9.0,12.0,6.0,11.0,12.0,9.0,8.0,11.0,20.0,11.0,11.0,11.0,8.0,16.0,13.0,11.0,11.0,10.0,11.0,8.0,7.0,10.0,10.0,14.0,10.0,5.0,11.0,11.0,13.0
fox,10.0,13.0,10.0,16.0,13.0,13.0,15.0,11.0,8.0,11.0,20.0,9.0,11.0,11.0,8.0,12.0,11.0,12.0,11.0,8.0,12.0,11.0,11.0,14.0,8.0,12.0,12.0,8.0,16.0,10.0
giraffe,13.0,8.0,12.0,7.0,12.0,13.0,13.0,13.0,11.0,11.0,9.0,20.0,7.0,9.0,10.0,13.0,12.0,12.0,12.0,8.0,7.0,11.0,10.0,8.0,10.0,8.0,6.0,12.0,7.0,14.0
hamster,14.0,14.0,7.0,12.0,11.0,9.0,10.0,9.0,9.0,11.0,11.0,7.0,20.0,13.0,6.0,6.0,13.0,10.0,10.0,10.0,18.0,12.0,9.0,14.0,7.0,11.0,16.0,6.0,10.0,9.0
hedgehog,10.0,13.0,9.0,12.0,9.0,12.0,13.0,9.0,9.0,8.0,11.0,9.0,13.0,20.0,5.0,10.0,9.0,8.0,10.0,7.0,14.0,15.0,9.0,13.0,9.0,11.0,14.0,4.0,8.0,8.0
