exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0
beaver,3.0,20.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
bison,2.0,3.0,20.0,3.0,12.0,6.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,4.0,4.0
cat,4.0,3.0,3.0,20.0,3.0,3.0,8.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,8.0,5.0,3.0
cow,3.0,3.0,12.0,3.0,20.0,6.0,3.0,8.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0
deer,3.0,3.0,6.0,3.0,6.0,20.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0
dog,3.0,2.0,3.0,8.0,3.0,4.0,20.0,3.0,3.0,3.0,10.0,4.0,3.0,3.0,4.0,4.0,3.0,8.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,10.0,15.0,3.0
donkey,3.0,3.0,5.0,3.0,8.0,5.0,3.0,20.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,16.0,3.0,4.0,7.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,4.0,15.0
dromedary,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,20.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0
elephant,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,20.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,4.0
