exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,5.0,1.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,5.0,6.0,2.0,3.0,4.0
beaver,5.0,20.0,8.0,3.0,6.0,8.0,5.0,2.0,5.0,5.0,6.0,5.0,8.0,6.0,5.0,8.0,5.0,7.0,6.0,4.0,2.0,11.0,8.0,16.0,5.0,3.0,5.0,4.0,10.0,9.0
bison,1.0,8.0,20.0,3.0,14.0,5.0,5.0,4.0,8.0,14.0,2.0,7.0,2.0,8.0,15.0,6.0,6.0,13.0,9.0,5.0,2.0,10.0,4.0,4.0,15.0,7.0,2.0,9.0,8.0,8.0
cat,3.0,3.0,3.0,20.0,4.0,13.0,5.0,5.0,4.0,7.0,7.0,5.0,9.0,4.0,5.0,4.0,8.0,4.0,6.0,3.0,6.0,5.0,5.0,15.0,5.0,4.0,3.0,11.0,5.0,5.0
cow,4.0,6.0,14.0,4.0,20.0,9.0,5.0,12.0,10.0,13.0,8.0,9.0,4.0,4.0,10.0,5.0,8.0,6.0,17.0,4.0,3.0,9.0,4.0,6.0,7.0,7.0,4.0,7.0,7.0,9.0
deer,4.0,8.0,5.0,13.0,9.0,20.0,13.0,8.0,12.0,3.0,8.0,7.0,6.0,4.0,7.0,7.0,9.0,4.0,10.0,5.0,2.0,5.0,6.0,8.0,9.0,5.0,6.0,5.0,7.0,15.0
dog,2.0,5.0,5.0,5.0,5.0,13.0,20.0,3.0,8.0,5.0,17.0,4.0,4.0,3.0,6.0,4.0,4.0,5.0,7.0,4.0,3.0,4.0,10.0,5.0,5.0,8.0,4.0,7.0,14.0,5.0
donkey,2.0,2.0,4.0,5.0,12.0,8.0,3.0,20.0,13.0,10.0,4.0,9.0,4.0,5.0,4.0,18.0,5.0,3.0,12.0,4.0,5.0,11.0,5.0,4.0,10.0,6.0,6.0,3.0,6.0,14.0
dromedary,5.0,5.0,8.0,4.0,10.0,12.0,8.0,13.0,20.0,5.0,7.0,14.0,4.0,9.0,4.0,14.0,11.0,5.0,14.0,2.0,5.0,5.0,4.0,5.0,9.0,7.0,3.0,4.0,6.0,6.0
elephant,3.0,5.0,14.0,7.0,13.0,3.0,5.0,10.0,5.0,20.0,3.0,7.0,2.0,2.0,14.0,10.0,9.0,4.0,10.0,2.0,5.0,5.0,4.0,4.0,12.0,4.0,4.0,5.0,4.0,11.0
fox,3.0,6.0,2.0,7.0,8.0,8.0,17.0,4.0,7.0,3.0,20.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0,10.0,7.0,3.0,10.0,4.0,4.0,7.0,8.0,3.0,3.0,3.0,4.0
giraffe,4.0,5.0,7.0,5.0,9.0,7.0,4.0,9.0,14.0,7.0,6.0,20.0,4.0,2.0,7.0,8.0,8.0,4.0,15.0,2.0,3.0,4.0,6.0,5.0,3.0,10.0,5.0,4.0,3.0,6.0
hamster,4.0,8.0,2.0,9.0,4.0,6.0,4.0,4.0,4.0,2.0,7.0,4.0,20.0,9.0,5.0,4.0,7.0,1.0,4.0,2.0,2.0,5.0,1.0,17.0,2.0,7.0,13.0,11.0,5.0,4.0
hedgehog,4.0,6.0,8.0,4.0,4.0,4.0,3.0,5.0,9.0,2.0,7.0,2.0,9.0,20.0,4.0,3.0,5.0,2.0,4.0,5.0,15.0,6.0,5.0,12.0,5.0,3.0,4.0,2.0,2.0,2.0
hippopotamus,2.0,5.0,15.0,5.0,10.0,7.0,6.0,4.0,4.0,14.0,7.0,7.0,5.0,4.0,20.0,7.0,5.0,11.0,6.0,6.0,2.0,5.0,4.0,3.0,19.0,6.0,10.0,14.0,8.0,13.0
horse,3.0,8.0,6.0,4.0,5.0,7.0,4.0,18.0,14.0,10.0,4.0,8.0,4.0,3.0,7.0,20.0,7.0,6.0,7.0,5.0,2.0,4.0,5.0,4.0,8.0,4.0,7.0,4.0,4.0,18.0
kangaroo,3.0,5.0,6.0,8.0,8.0,9.0,4.0,5.0,11.0,9.0,4.0,8.0,7.0,5.0,5.0,7.0,20.0,6.0,10.0,4.0,2.0,5.0,4.0,3.0,8.0,3.0,5.0,6.0,11.0,7.0
lion,2.0,7.0,13.0,4.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,1.0,2.0,11.0,6.0,6.0,20.0,7.0,2.0,2.0,5.0,13.0,4.0,8.0,6.0,4.0,18.0,16.0,3.0
llama,4.0,6.0,9.0,6.0,17.0,10.0,7.0,12.0,14.0,10.0,10.0,15.0,4.0,4.0,6.0,7.0,10.0,7.0,20.0,2.0,3.0,8.0,7.0,13.0,7.0,15.0,2.0,12.0,12.0,15.0
monkey,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,7.0,2.0,2.0,5.0,6.0,5.0,4.0,2.0,2.0,20.0,2.0,4.0,8.0,4.0,2.0,2.0,3.0,4.0,2.0,6.0
mouse,4.0,2.0,2.0,6.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,15.0,2.0,2.0,2.0,2.0,3.0,2.0,20.0,3.0,2.0,5.0,2.0,4.0,15.0,2.0,2.0,2.0
pig,2.0,11.0,10.0,5.0,9.0,5.0,4.0,11.0,5.0,5.0,10.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,8.0,4.0,3.0,20.0,4.0,7.0,8.0,14.0,3.0,5.0,12.0,3.0
polar bear,2.0,8.0,4.0,5.0,4.0,6.0,10.0,5.0,4.0,4.0,4.0,6.0,1.0,5.0,4.0,5.0,4.0,13.0,7.0,8.0,2.0,4.0,20.0,4.0,4.0,2.0,7.0,7.0,10.0,4.0
rabbit,3.0,16.0,4.0,15.0,6.0,8.0,5.0,4.0,5.0,4.0,4.0,5.0,17.0,12.0,3.0,4.0,3.0,4.0,13.0,4.0,5.0,7.0,4.0,20.0,3.0,7.0,11.0,4.0,4.0,8.0
rhinoceros,2.0,5.0,15.0,5.0,7.0,9.0,5.0,10.0,9.0,12.0,7.0,3.0,2.0,5.0,19.0,8.0,8.0,8.0,7.0,2.0,2.0,8.0,4.0,3.0,20.0,5.0,4.0,7.0,14.0,8.0
sheep,5.0,3.0,7.0,4.0,7.0,5.0,8.0,6.0,7.0,4.0,8.0,10.0,7.0,3.0,6.0,4.0,3.0,6.0,15.0,2.0,4.0,14.0,2.0,7.0,5.0,20.0,4.0,5.0,10.0,8.0
squirrel,6.0,5.0,2.0,3.0,4.0,6.0,4.0,6.0,3.0,4.0,3.0,5.0,13.0,4.0,10.0,7.0,5.0,4.0,2.0,3.0,15.0,3.0,7.0,11.0,4.0,4.0,20.0,4.0,3.0,8.0
tiger,2.0,4.0,9.0,11.0,7.0,5.0,7.0,3.0,4.0,5.0,3.0,4.0,11.0,2.0,14.0,4.0,6.0,18.0,12.0,4.0,2.0,5.0,7.0,4.0,7.0,5.0,4.0,20.0,7.0,3.0
wolf,3.0,10.0,8.0,5.0,7.0,7.0,14.0,6.0,6.0,4.0,3.0,3.0,5.0,2.0,8.0,4.0,11.0,16.0,12.0,2.0,2.0,12.0,10.0,4.0,14.0,10.0,3.0,7.0,20.0,4.0
zebra,4.0,9.0,8.0,5.0,9.0,15.0,5.0,14.0,6.0,11.0,4.0,6.0,4.0,2.0,13.0,18.0,7.0,3.0,15.0,6.0,2.0,3.0,4.0,8.0,8.0,8.0,8.0,3.0,4.0,20.0
