exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,14.0,14.0,15.0,15.0,14.0,16.0,14.0,14.0,13.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0
beaver,14.0,20.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0
bison,14.0,15.0,20.0,15.0,17.0,16.0,16.0,14.0,16.0,16.0,16.0,14.0,13.0,14.0,17.0,17.0,15.0,16.0,16.0,15.0,14.0,16.0,16.0,14.0,16.0,11.0,14.0,16.0,16.0,16.0
cat,15.0,16.0,15.0,20.0,15.0,15.0,17.0,14.0,14.0,14.0,16.0,14.0,14.0,15.0,14.0,15.0,14.0,16.0,14.0,14.0,14.0,16.0,14.0,16.0,15.0,16.0,15.0,17.0,16.0,14.0
cow,15.0,15.0,17.0,15.0,20.0,17.0,15.0,16.0,17.0,16.0,14.0,16.0,12.0,14.0,16.0,17.0,14.0,16.0,17.0,15.0,12.0,16.0,13.0,15.0,16.0,16.0,15.0,15.0,15.0,17.0
deer,14.0,15.0,16.0,15.0,17.0,20.0,15.0,17.0,16.0,14.0,16.0,16.0,15.0,14.0,15.0,16.0,14.0,15.0,16.0,15.0,13.0,16.0,15.0,15.0,14.0,16.0,16.0,15.0,16.0,16.0
dog,16.0,15.0,16.0,17.0,15.0,15.0,20.0,16.0,14.0,15.0,16.0,14.0,15.0,13.0,14.0,16.0,17.0,16.0,16.0,15.0,14.0,16.0,16.0,15.0,14.0,16.0,15.0,16.0,17.0,16.0
donkey,14.0,15.0,14.0,14.0,16.0,17.0,16.0,20.0,16.0,15.0,16.0,16.0,14.0,14.0,16.0,17.0,15.0,16.0,16.0,14.0,13.0,15.0,14.0,14.0,16.0,15.0,14.0,15.0,15.0,16.0
dromedary,14.0,15.0,16.0,14.0,17.0,16.0,14.0,16.0,20.0,16.0,14.0,16.0,13.0,14.0,16.0,17.0,15.0,15.0,17.0,14.0,14.0,15.0,14.0,14.0,15.0,16.0,14.0,15.0,15.0,16.0
elephant,13.0,14.0,16.0,14.0,16.0,14.0,15.0,15.0,16.0,20.0,15.0,16.0,14.0,14.0,16.0,17.0,12.0,15.0,16.0,14.0,14.0,16.0,15.0,14.0,16.0,15.0,14.0,16.0,14.0,16.0
fox,15.0,15.0,16.0,16.0,14.0,16.0,16.0,16.0,14.0,15.0,20.0,15.0,14.0,14.0,14.0,16.0,15.0,16.0,15.0,16.0,14.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,18.0,14.0
giraffe,14.0,15.0,14.0,14.0,16.0,16.0,14.0,16.0,16.0,16.0,15.0,20.0,14.0,14.0,15.0,16.0,15.0,15.0,17.0,15.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,15.0,15.0,16.0
hamster,15.0,16.0,13.0,14.0,12.0,15.0,15.0,14.0,13.0,14.0,14.0,14.0,20.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,14.0,14.0,16.0,13.0,14.0,15.0,14.0,14.0,15.0
hedgehog,14.0,15.0,14.0,15.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,14.0,14.0,14.0,14.0,13.0,15.0,15.0,14.0,14.0,16.0,14.0,14.0,15.0,14.0,14.0,14.0
hippopotamus,15.0,15.0,17.0,14.0,16.0,15.0,14.0,16.0,16.0,16.0,14.0,15.0,14.0,14.0,20.0,14.0,15.0,16.0,15.0,15.0,14.0,18.0,13.0,13.0,17.0,14.0,14.0,15.0,15.0,17.0
horse,14.0,15.0,17.0,15.0,17.0,16.0,16.0,17.0,17.0,17.0,16.0,16.0,14.0,14.0,14.0,20.0,16.0,16.0,17.0,14.0,13.0,16.0,16.0,13.0,16.0,16.0,15.0,15.0,16.0,17.0
kangaroo,14.0,15.0,15.0,14.0,14.0,14.0,17.0,15.0,15.0,12.0,15.0,15.0,14.0,14.0,15.0,16.0,20.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,15.0,12.0,14.0
lion,14.0,14.0,16.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0,16.0,15.0,14.0,14.0,16.0,16.0,15.0,20.0,16.0,14.0,14.0,15.0,14.0,14.0,16.0,15.0,14.0,17.0,17.0,16.0
llama,13.0,15.0,16.0,14.0,17.0,16.0,16.0,16.0,17.0,16.0,15.0,17.0,14.0,13.0,15.0,17.0,15.0,16.0,20.0,13.0,14.0,15.0,14.0,14.0,15.0,17.0,14.0,16.0,15.0,16.0
monkey,14.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,16.0,15.0,14.0,15.0,15.0,14.0,16.0,14.0,13.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0
mouse,14.0,15.0,14.0,14.0,12.0,13.0,14.0,13.0,14.0,14.0,14.0,14.0,17.0,15.0,14.0,13.0,15.0,14.0,14.0,15.0,20.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
