exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,12.0,9.0,7.0,14.0,13.0,9.0,8.0,9.0,10.0,10.0,11.0,13.0,9.0,9.0,13.0,9.0,8.0,12.0,9.0,9.0,9.0
beaver,9.0,20.0,10.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,14.0,10.0,9.0,15.0,9.0,8.0,12.0,9.0,11.0,9.0
bison,9.0,10.0,20.0,12.0,13.0,13.0,9.0,9.0,12.0,11.0,10.0,11.0,9.0,9.0,8.0,12.0,9.0,11.0,14.0,10.0,9.0,10.0,11.0,10.0,10.0,16.0,9.0,14.0,10.0,9.0
cat,10.0,11.0,12.0,20.0,12.0,12.0,13.0,11.0,15.0,9.0,11.0,10.0,14.0,9.0,9.0,12.0,9.0,13.0,11.0,12.0,11.0,12.0,9.0,12.0,10.0,11.0,12.0,15.0,10.0,9.0
cow,9.0,10.0,13.0,12.0,20.0,11.0,11.0,12.0,9.0,14.0,10.0,12.0,9.0,10.0,15.0,14.0,8.0,10.0,12.0,9.0,9.0,12.0,9.0,11.0,15.0,12.0,9.0,10.0,10.0,12.0
deer,9.0,10.0,13.0,12.0,11.0,20.0,11.0,13.0,11.0,9.0,13.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,13.0,13.0,14.0,9.0,8.0,12.0,10.0,10.0,11.0,10.0,13.0,10.0
dog,11.0,12.0,9.0,13.0,11.0,11.0,20.0,11.0,8.0,11.0,12.0,9.0,10.0,10.0,11.0,12.0,9.0,14.0,10.0,9.0,12.0,10.0,9.0,10.0,10.0,10.0,13.0,11.0,15.0,10.0
donkey,9.0,9.0,9.0,11.0,12.0,13.0,11.0,20.0,10.0,11.0,14.0,11.0,9.0,9.0,10.0,17.0,10.0,10.0,12.0,11.0,12.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,18.0
dromedary,9.0,9.0,12.0,15.0,9.0,11.0,8.0,10.0,20.0,10.0,12.0,13.0,10.0,10.0,12.0,14.0,10.0,9.0,16.0,10.0,9.0,12.0,9.0,10.0,11.0,13.0,9.0,9.0,11.0,11.0
elephant,12.0,9.0,11.0,9.0,14.0,9.0,11.0,11.0,10.0,20.0,9.0,14.0,14.0,9.0,13.0,9.0,11.0,12.0,9.0,16.0,12.0,9.0,9.0,10.0,12.0,11.0,9.0,14.0,8.0,11.0
fox,9.0,11.0,10.0,11.0,10.0,13.0,12.0,14.0,12.0,9.0,20.0,7.0,12.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0,14.0,10.0,10.0,15.0,9.0,11.0,13.0,12.0,16.0,13.0
giraffe,7.0,9.0,11.0,10.0,12.0,10.0,9.0,11.0,13.0,14.0,7.0,20.0,9.0,8.0,11.0,11.0,9.0,12.0,14.0,10.0,9.0,11.0,9.0,9.0,12.0,9.0,10.0,9.0,10.0,14.0
hamster,14.0,12.0,9.0,14.0,9.0,10.0,10.0,9.0,10.0,14.0,12.0,9.0,20.0,13.0,10.0,10.0,11.0,13.0,11.0,11.0,12.0,11.0,11.0,16.0,10.0,11.0,15.0,9.0,10.0,9.0
hedgehog,13.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,13.0,20.0,10.0,10.0,9.0,8.0,9.0,10.0,13.0,14.0,9.0,14.0,7.0,10.0,14.0,9.0,9.0,9.0
hippopotamus,9.0,8.0,8.0,9.0,15.0,9.0,11.0,10.0,12.0,13.0,9.0,11.0,10.0,10.0,20.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,9.0,15.0,12.0,10.0,13.0,9.0,11.0
horse,8.0,10.0,12.0,12.0,14.0,11.0,12.0,17.0,14.0,9.0,11.0,11.0,10.0,10.0,10.0,20.0,10.0,12.0,17.0,9.0,10.0,12.0,9.0,13.0,11.0,16.0,11.0,9.0,10.0,16.0
kangaroo,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,10.0,20.0,10.0,10.0,12.0,12.0,8.0,11.0,9.0,8.0,13.0,9.0,9.0,9.0,9.0
lion,10.0,10.0,11.0,13.0,10.0,10.0,14.0,10.0,9.0,12.0,11.0,12.0,13.0,8.0,10.0,12.0,10.0,20.0,11.0,14.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,15.0,14.0,11.0
