exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,8.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,9.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0
beaver,4.0,20.0,3.0,10.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,8.0,4.0,10.0,2.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,7.0,2.0,4.0,17.0,7.0,4.0,2.0
bison,1.0,3.0,20.0,2.0,2.0,12.0,5.0,10.0,7.0,12.0,3.0,2.0,2.0,3.0,6.0,12.0,6.0,8.0,5.0,2.0,1.0,4.0,10.0,2.0,7.0,12.0,2.0,6.0,5.0,10.0
cat,1.0,10.0,2.0,20.0,4.0,5.0,7.0,8.0,2.0,2.0,14.0,2.0,10.0,3.0,2.0,5.0,3.0,16.0,6.0,2.0,4.0,2.0,3.0,6.0,4.0,4.0,7.0,16.0,10.0,7.0
cow,2.0,3.0,2.0,4.0,20.0,13.0,4.0,4.0,3.0,7.0,3.0,2.0,1.0,2.0,6.0,8.0,2.0,10.0,4.0,2.0,2.0,1.0,5.0,3.0,6.0,4.0,2.0,4.0,2.0,10.0
deer,2.0,3.0,12.0,5.0,13.0,20.0,6.0,13.0,2.0,4.0,4.0,10.0,3.0,2.0,2.0,14.0,10.0,4.0,7.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,12.0,3.0,10.0
dog,1.0,4.0,5.0,7.0,4.0,6.0,20.0,12.0,4.0,3.0,18.0,2.0,8.0,4.0,4.0,13.0,6.0,14.0,5.0,3.0,1.0,6.0,3.0,4.0,2.0,5.0,6.0,12.0,14.0,8.0
donkey,2.0,2.0,10.0,8.0,4.0,13.0,12.0,20.0,2.0,6.0,5.0,7.0,2.0,2.0,1.0,19.0,3.0,7.0,11.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,2.0,11.0,4.0,14.0
dromedary,1.0,1.0,7.0,2.0,3.0,2.0,4.0,2.0,20.0,7.0,3.0,10.0,2.0,1.0,7.0,4.0,8.0,7.0,7.0,6.0,1.0,3.0,4.0,2.0,7.0,3.0,3.0,4.0,3.0,2.0
elephant,2.0,4.0,12.0,2.0,7.0,4.0,3.0,6.0,7.0,20.0,2.0,6.0,1.0,2.0,11.0,3.0,2.0,5.0,4.0,2.0,1.0,7.0,5.0,2.0,14.0,3.0,2.0,3.0,2.0,2.0
