exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0
beaver,1.0,20.0,3.0,6.0,2.0,5.0,5.0,1.0,4.0,1.0,9.0,2.0,1.0,1.0,1.0,4.0,8.0,2.0,1.0,1.0,2.0,3.0,2.0,9.0,6.0,3.0,11.0,2.0,1.0,2.0
bison,1.0,3.0,20.0,2.0,17.0,7.0,10.0,12.0,8.0,8.0,8.0,10.0,1.0,1.0,15.0,7.0,4.0,8.0,12.0,4.0,1.0,15.0,4.0,1.0,14.0,8.0,2.0,12.0,11.0,11.0
cat,1.0,6.0,2.0,20.0,3.0,9.0,9.0,6.0,8.0,8.0,10.0,8.0,4.0,1.0,6.0,3.0,2.0,14.0,2.0,11.0,3.0,8.0,5.0,13.0,2.0,7.0,12.0,18.0,12.0,5.0
cow,1.0,2.0,17.0,3.0,20.0,14.0,3.0,7.0,4.0,9.0,5.0,4.0,1.0,1.0,15.0,10.0,10.0,4.0,6.0,3.0,7.0,10.0,7.0,3.0,16.0,17.0,1.0,9.0,4.0,11.0
deer,1.0,5.0,7.0,9.0,14.0,20.0,9.0,14.0,13.0,10.0,10.0,10.0,1.0,1.0,3.0,12.0,8.0,12.0,12.0,2.0,1.0,5.0,6.0,3.0,10.0,11.0,9.0,6.0,6.0,10.0
dog,1.0,5.0,10.0,9.0,3.0,9.0,20.0,7.0,6.0,4.0,12.0,4.0,3.0,1.0,7.0,10.0,4.0,6.0,8.0,4.0,1.0,3.0,1.0,4.0,7.0,7.0,5.0,8.0,15.0,4.0
donkey,1.0,1.0,12.0,6.0,7.0,14.0,7.0,20.0,10.0,9.0,10.0,10.0,1.0,1.0,10.0,19.0,2.0,6.0,12.0,5.0,1.0,11.0,1.0,6.0,5.0,10.0,4.0,9.0,4.0,17.0
dromedary,1.0,4.0,8.0,8.0,4.0,13.0,6.0,10.0,20.0,10.0,3.0,11.0,2.0,2.0,10.0,15.0,8.0,12.0,17.0,2.0,1.0,8.0,1.0,1.0,3.0,12.0,2.0,12.0,2.0,4.0
elephant,1.0,1.0,8.0,8.0,9.0,10.0,4.0,9.0,10.0,20.0,2.0,8.0,1.0,1.0,13.0,8.0,10.0,9.0,1.0,2.0,1.0,7.0,1.0,6.0,12.0,2.0,4.0,10.0,8.0,6.0
fox,1.0,9.0,8.0,10.0,5.0,10.0,12.0,10.0,3.0,2.0,20.0,4.0,10.0,2.0,2.0,8.0,4.0,12.0,8.0,4.0,1.0,9.0,11.0,3.0,5.0,6.0,5.0,8.0,19.0,4.0
giraffe,1.0,2.0,10.0,8.0,4.0,10.0,4.0,10.0,11.0,8.0,4.0,20.0,1.0,1.0,3.0,13.0,3.0,8.0,16.0,3.0,1.0,2.0,2.0,6.0,1.0,4.0,1.0,3.0,4.0,15.0
hamster,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,10.0,1.0,20.0,14.0,1.0,1.0,5.0,1.0,1.0,1.0,16.0,1.0,1.0,13.0,1.0,4.0,10.0,1.0,6.0,2.0
hedgehog,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,14.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,1.0,1.0
hippopotamus,1.0,1.0,15.0,6.0,15.0,3.0,7.0,10.0,10.0,13.0,2.0,3.0,1.0,1.0,20.0,12.0,6.0,11.0,8.0,1.0,1.0,14.0,7.0,1.0,13.0,1.0,1.0,10.0,3.0,8.0
horse,1.0,4.0,7.0,3.0,10.0,12.0,10.0,19.0,15.0,8.0,8.0,13.0,1.0,1.0,12.0,20.0,11.0,11.0,8.0,7.0,1.0,8.0,1.0,1.0,12.0,12.0,3.0,9.0,8.0,18.0
kangaroo,1.0,8.0,4.0,2.0,10.0,8.0,4.0,2.0,8.0,10.0,4.0,3.0,5.0,1.0,6.0,11.0,20.0,2.0,10.0,3.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,2.0,4.0,10.0
lion,1.0,2.0,8.0,14.0,4.0,12.0,6.0,6.0,12.0,9.0,12.0,8.0,1.0,1.0,11.0,11.0,2.0,20.0,10.0,6.0,1.0,6.0,4.0,1.0,10.0,9.0,1.0,20.0,10.0,10.0
llama,1.0,1.0,12.0,2.0,6.0,12.0,8.0,12.0,17.0,1.0,8.0,16.0,1.0,1.0,8.0,8.0,10.0,10.0,20.0,2.0,1.0,8.0,10.0,1.0,6.0,4.0,2.0,14.0,3.0,13.0
monkey,1.0,1.0,4.0,11.0,3.0,2.0,4.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,3.0,6.0,2.0,20.0,1.0,3.0,10.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0
mouse,1.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0
pig,1.0,3.0,15.0,8.0,10.0,5.0,3.0,11.0,8.0,7.0,9.0,2.0,1.0,1.0,14.0,8.0,1.0,6.0,8.0,3.0,5.0,20.0,1.0,1.0,4.0,10.0,1.0,7.0,11.0,9.0
polar bear,1.0,2.0,4.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,7.0,1.0,5.0,4.0,10.0,10.0,1.0,1.0,20.0,1.0,6.0,10.0,1.0,5.0,2.0,1.0
rabbit,4.0,9.0,1.0,13.0,3.0,3.0,4.0,6.0,1.0,6.0,3.0,6.0,13.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,20.0,2.0,10.0,14.0,1.0,3.0,4.0
