feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is old,-3,0,0,-3,-3,-3,-2,0,-3,0,0,0,-1.4166666666666667,1.5050420310248864
is on visiting terms,-1,1,0,-2,1,1,-1,1,-1,2,1,0,0.16666666666666666,1.1934162828797101
is rich,0,1,0,-2,1,-3,2,-3,-3,-2,0,0,-0.75,1.764549903980152
is seen in the street scene,-2,0,1,-1,1,-2,-2,1,1,0,1,0,-0.16666666666666666,1.2673044646258476
is semi-/unskilled,2,1,1,1,1,1,-1,1,0,0,0,1,0.6666666666666666,0.7784989441615229
is serious,-3,1,0,-2,-2,-3,1,-2,-3,2,1,0,-0.8333333333333334,1.8504708655481241
is sitting at the cash desk,1,1,1,-3,3,1,1,3,0,2,2,0,1.0,1.5954480704349312
is social,-2,1,0,0,0,-2,-2,1,1,0,0,0,-0.25,1.1381803659589922
is sometimes bitten by a dog,-2,0,0,-3,-3,-1,-3,-2,2,0,1,0,-0.9166666666666666,1.6764862244009227
is sometimes famous,2,1,0,-3,1,-2,-1,-1,-2,1,1,1,-0.16666666666666666,1.585922922197518
is strong,0,1,0,-1,-3,-3,-1,0,-2,1,0,0,-0.6666666666666666,1.3706888336846839
is the boss,2,1,0,-2,3,1,1,1,-1,-2,1,0,0.4166666666666667,1.5050420310248864
is thick,-3,0,0,-3,-3,-3,-2,-3,-2,-3,0,0,-1.8333333333333333,1.403458930534474
is to be found in every village,0,1,0,-1,1,-3,1,1,-1,1,1,0,0.08333333333333333,1.2401124093721456
is underpaid,0,1,1,1,1,-1,-2,-1,-2,0,0,1,-0.08333333333333333,1.1645001528813148
is uneducated,0,1,0,-2,0,1,-2,1,-1,0,1,0,-0.08333333333333333,1.0836246694508318
is well paid,0,0,1,0,1,2,2,0,-1,1,1,1,0.6666666666666666,0.8876253645985945
keeps up with receipts and expenses,0,1,1,-2,1,2,1,3,2,2,1,0,1.0,1.2792042981336627
knows a lot about computers,-1,1,0,-1,1,-2,2,2,1,-1,1,0,0.25,1.2880570286640687
knows a lot about medicines,-1,1,1,-3,3,1,1,2,1,2,2,0,0.8333333333333334,1.5859229221975182
knows how to manage children,-2,0,0,-2,1,1,-1,2,1,2,1,0,0.25,1.3568010505999362
knows many people,0,1,1,0,-3,-2,-2,-2,-1,2,0,0,-0.5,1.5075567228888183
