feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
has a dark colour,-2,1,0,-2,1,-1,-1,-1,1,-3,-1,-3,-0.9166666666666666,1.4433756729740643
has a hard core,-1,3,0,2,1,0,0,-1,2,-3,-1,-3,-0.08333333333333333,1.880924981991251
has a little crown,0,3,0,1,0,-1,0,-1,2,-3,0,-3,-0.16666666666666666,1.7494587907710375
has a peel,2,3,2,3,3,0,3,1,3,2,2,-3,1.75,1.764549903980152
has a prickly peel,-3,3,0,-1,0,-1,-1,-1,1,-3,-1,-3,-0.8333333333333334,1.7494587907710375
has a rose colour,-2,-3,0,-1,0,-1,1,-1,2,-3,1,-3,-0.8333333333333334,1.696699112626596
has a smooth peel,-1,3,1,0,1,-1,0,-1,0,-3,1,-3,-0.25,1.712255291076124
has a soft peel,1,3,0,-1,0,-1,-1,0,0,-3,1,-3,-0.3333333333333333,1.6696942198734437
has a stilk,1,2,2,2,3,-1,1,1,1,1,1,-3,0.9166666666666666,1.5642792899510296
has a stone,2,3,0,2,2,1,3,1,1,-1,2,-3,1.0833333333333333,1.729862492345632
has flesh,2,3,3,2,3,2,2,1,1,-3,3,2,1.75,1.6583123951777
has green leaves,-2,0,0,-1,0,-1,-3,-1,0,-3,-1,-3,-1.25,1.2154310870109943
has leaves,-2,-1,2,1,0,-1,-3,0,1,-3,-1,-3,-0.8333333333333334,1.696699112626596
has little bumps,-3,3,0,-2,0,-1,0,-1,0,-3,-1,-3,-0.9166666666666666,1.7298624923456323
has prickles,-3,3,0,-1,-2,-1,-3,-1,2,-3,-1,-3,-1.0833333333333333,1.9752253419585195
healthy,3,3,3,3,3,1,3,2,0,3,3,3,2.5,1.0
in cinderella it is used as a coach,-3,2,-1,-1,0,-2,-3,-2,3,-3,0,-3,-1.0833333333333333,2.0207259421636903
